,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"(0.683487425910102,)",,"(0.8255586942036947,)","(0.7740059746636285,)","(0.8073750813802083,)","(0.6663747787475586,)","(0.5268614027235243,)","(0.9340319845411512,)","(0.991459686226315,)","(0.9737514866722955,)","(0.9047710842556423,)","(0.902251222398546,)","(0.7502573649088542,)","(0.9793081733915541,)","(0.9544344160291883,)","(0.9367027388678657,)","(0.8046629163953993,)",,"(0.7117042117648654,)","(0.8962509155273437,)"
1,"(0.6272995842827691,)","(0.8854530334472657,)","(0.9960756513807508,)","(0.8580417209201389,)","(0.6926982667711046,)","(0.9813792493608263,)","(0.9853838668929206,)","(0.9035812695821126,)","(0.928278981314765,)","(0.981259818871816,)","(0.9066616694132487,)","(0.8990235646565755,)","(0.9857354852888319,)","(0.8717852486504449,)","(0.9963202138741811,)","(0.9111719714270697,)","(0.9876187059614393,)","(0.4583024766710069,)","(0.7893142700195312,)","(0.5409787919786242,)"
2,"(0.8603772375318739,)","(0.8814270655314127,)","(0.9684225850635104,)","(0.9403282801310221,)","(0.9529274463653564,)","(0.9979087988535563,)","(0.9836228211720784,)","(0.9707305060492621,)","(0.9936531742413839,)","(0.97909201780955,)","(0.8799903127882216,)","(0.958554932806227,)","(0.9413085089789497,)","(0.7976594077216255,)","(0.9262991852230495,)","(0.9904678106307984,)","(0.9401907285054525,)","(0.9103116035461426,)","(0.8005676481458875,)","(0.8349377314249674,)"
3,"(0.9745469119813707,)","(0.9112120734320747,)","(0.9372921519809299,)","(0.9830332067277696,)","(0.9337743123372396,)","(0.9314375559488932,)","(0.9655630509058635,)","(0.9579107072618273,)","(0.9322664684719509,)","(0.9073257552252876,)","(0.9839956760406494,)","(0.9978259298536513,)","(0.9906797448794047,)","(0.9771925184461806,)","(0.9141363885667589,)","(0.9489736186133491,)","(0.9514173030853271,)","(0.9460314220852322,)","(0.8765107154846191,)",
4,"(0.9886100901497735,)","(0.9709937360551623,)","(0.9759030024210612,)","(0.9771782610151503,)","(0.9720473633872138,)","(0.9548912790086534,)","(0.9998479146096442,)","(0.9743269655439589,)","(0.9401624785529242,)","(0.937625503540039,)","(0.9222231123182508,)","(0.955412228902181,)","(0.9605495055516561,)","(0.9992856391602092,)","(0.9857172475920783,)","(0.9942230621973673,)","(0.9995391070842743,)","(0.9736591312620375,)","(0.8731110784742567,)","(0.8082221137152777,)"
5,"(0.8737199359469944,)","(0.9210937235090467,)","(0.9069924036661784,)","(0.9378976239098443,)","(0.9880578690105014,)","(0.9902593572934468,)","(0.9655196507771809,)","(0.8892354329427083,)","(0.9379626803927952,)","(0.9908529606130388,)","(0.9882487257321676,)","(0.9804142369164361,)","(0.9822574549251133,)","(0.9469622029198541,)","(0.9516431967417399,)","(0.8984785185919868,)","(0.9218608167436387,)","(0.9960448371039496,)","(0.9797344207763672,)","(0.9732334878709581,)"
6,"(0.7938473171657986,)","(0.9839249584409926,)","(0.9472710238562689,)","(0.9734930859671699,)","(0.9803271717495389,)","(0.9945093512535095,)","(0.940286127726237,)","(0.9922191050317553,)","(0.9991452599565188,)","(0.981482474009196,)","(0.9767958031760322,)","(0.9946761078304714,)","(0.9977262285020616,)","(0.9621214654710558,)","(0.98357269499037,)","(0.9768389013078478,)","(0.8572355906168619,)","(0.9374052418602837,)","(0.9400750796000162,)","(0.8888968785603841,)"
7,"(0.9878825889693366,)","(0.9752774477005005,)","(0.9654099093543158,)","(0.9662216080559625,)","(0.9465872287750244,)","(0.9838272280163235,)","(0.9993374453650581,)","(0.922761959499783,)","(0.9885090682241652,)","(0.9629814094967313,)","(0.9556704150305854,)","(0.9912444280253516,)","(0.9854164706336127,)","(0.9978447001841333,)","(0.9746122890048556,)","(0.9170103920830621,)","(0.9638659026887682,)","(0.947085804409451,)","(0.9797816514968872,)","(0.9952064143286811,)"
8,"(0.9469104131062825,)","(0.98218322330051,)","(0.9641566488477918,)","(0.9836603972646926,)","(0.9989586717552609,)","(0.993780995077557,)","(0.992428970336914,)","(0.9875250392489963,)","(0.9953885184393989,)","(0.994264899359809,)","(0.9955044120550156,)","(0.9964094003041585,)","(0.9894441511895922,)","(0.9839581330617269,)","(0.9949579927656386,)","(0.9954354180230035,)","(0.9585033920076158,)","(0.9546044455634223,)","(0.921376355489095,)","(0.9104378700256348,)"
9,"(0.9810197896427578,)","(0.9697556071811252,)","(0.9173374811808268,)","(0.9998484783702426,)","(0.9667205280727811,)","(0.9636786407894559,)","(0.9961735725402832,)","(0.998065851132075,)","(0.9994786156548394,)","(0.9999724390968266,)","(0.9999660915798612,)","(0.9961532241768307,)","(0.9959303100903829,)","(0.9972785284121831,)","(0.9967687494224973,)","(0.9980740090211232,)","(0.9854136612680223,)","(0.9857790907224019,)","(0.9656975348790486,)","(0.9722003724839953,)"
10,"(0.9112385537889268,)","(0.9881487316555447,)","(0.969399176703559,)","(0.9887078788545397,)","(0.9635568168428209,)","(0.9590326997968885,)","(0.9961210350195567,)","(0.9860022068023682,)","(0.9971571716997358,)","(0.9997666899528769,)","(0.9999634231958124,)","(0.998978074391683,)","(0.9981232696109348,)","(0.9985214826133516,)","(0.9396904680464003,)","(0.9930854267544217,)","(0.9959640622138977,)","(0.9473266336652968,)","(0.9788495620091756,)","(0.9834661589728462,)"
11,"(0.9742106093300713,)","(0.9462180879380968,)","(0.992913748158349,)","(0.964322026570638,)","(0.9962861352496677,)","(0.9932690898577372,)","(0.999563083714909,)","(0.9935548994276259,)","(0.9991449266672134,)","(0.9989438747366269,)","(0.9863664415147569,)","(0.9998166110780504,)","(0.9837557435035705,)","(0.9931969980398814,)","(0.9235688951280382,)","(0.9723479482862685,)","(0.9847318781746759,)","(0.9916274083985223,)","(0.9948356204562717,)","(0.9679293606016371,)"
12,"(0.8997638596428765,)","(0.9838618636131287,)","(0.9429317951202393,)","(0.9972515768475003,)","(0.9815827634599473,)","(0.9822942839728461,)","(0.956577640109592,)","(0.9890223185221354,)","(0.9829422526889378,)","(0.9894361668162875,)","(0.9874060736762152,)","(0.9722884522544013,)","(0.9872356944613987,)","(0.9973633252912097,)","(0.953277153438992,)","(0.9550284491644965,)","(0.9965944949123594,)","(0.9699530919392904,)","(0.9757643911573622,)","(0.9789492077297635,)"
13,"(0.9375258498721653,)","(0.8353421317206489,)","(0.9278303835127089,)","(0.9909615159034729,)","(0.8968895806206597,)","(0.9780534095234341,)","(0.9816916041904026,)","(0.9925087074438731,)","(0.9922663463486565,)","(0.9845180935329861,)","(0.9945278631316291,)","(0.9947614229387707,)","(0.9790948232014974,)","(0.9453731960720486,)","(0.8851202540927463,)","(0.9055246777004666,)","(0.9263490464952256,)","(0.9816139194700453,)","(0.9966983420981301,)","(0.9005180146959093,)"
14,"(0.7333221011691623,)","(0.871218490600586,)","(0.9889310624864366,)","(0.9912469546000163,)","(0.9952021539211273,)","(0.9389884312947591,)","(0.9706582599216037,)","(0.9922419601016574,)","(0.9625653902689616,)","(0.9951388918691211,)","(0.9894105361567603,)","(0.9965093466970656,)","(0.983706737889184,)","(0.9538929992251926,)","(0.9967093742556042,)","(0.9945036464267307,)","(0.9345012029012044,)","(0.9941963487201266,)","(0.9724463038974338,)","(0.9275905079311795,)"
15,,"(0.9909011191791959,)","(0.9744975143008762,)","(0.9941484298970964,)","(0.9920327438248528,)","(0.9878091269069248,)","(0.9986017651028103,)","(0.9534719467163086,)","(0.979864223798116,)","(0.9402849780188667,)","(0.9377475420633952,)","(0.9528884251912435,)","(0.9467156410217286,)","(0.9871139248212178,)","(0.9847766862975227,)","(0.9988752643267313,)","(0.9894312626785702,)","(0.9997235278288523,)","(0.9252769470214843,)","(0.709912618001302,)"
16,"(0.34213765462239576,)","(0.9665692965189616,)","(0.9347430811987982,)","(0.999948236760166,)","(0.9793283489015367,)","(0.9927013324366676,)","(0.9996305555105209,)","(0.9975215488009983,)","(0.9702303647994995,)","(0.9576102574666341,)","(0.8115715450710721,)","(0.9338660452100965,)","(0.8954386817084419,)","(0.9819001767370436,)","(0.98973185883628,)","(0.9432446055942112,)","(0.9848849296569824,)","(0.994929716653294,)","(0.9591744078530205,)","(0.9164206875695122,)"
17,"(0.4954961988661024,)",,"(0.9486979908413358,)","(0.9312554995218912,)","(0.9722038533952501,)","(0.9569775131013658,)","(0.8996699439154731,)","(0.9857453015115526,)","(0.9157675425211589,)","(0.9606088134977553,)","(0.9243002944522434,)","(0.9575921323564317,)","(0.9567853371302286,)","(0.9464049445258247,)","(0.9936558081044091,)","(0.9091659228006999,)","(0.941353236304389,)","(0.9475994110107422,)","(0.9883873515658909,)",
18,,,,"(0.9369104491339789,)","(0.9377710978190104,)","(0.9769808398352728,)","(0.9596069441901313,)","(0.9301710764567057,)","(0.9358972761366102,)","(0.9749947706858317,)","(0.9544366359710693,)","(0.9415769894917806,)","(0.8172951168484158,)","(0.8892271465725369,)","(0.9234282811482748,)","(0.9715018298890855,)","(0.965555132759942,)",,,
19,,,,"(0.9567212926016914,)","(0.8879326820373535,)","(0.8827997631496853,)","(0.9594456142849392,)","(0.7603583017985026,)","(0.9931829664442274,)","(0.9964308434062534,)","(0.5323332892523871,)","(0.9848689953486125,)","(0.6783984502156575,)","(0.8674880451626248,)","(0.8210199779934353,)","(0.9333940029144288,)","(0.9739416387346056,)","(0.4989670223659939,)",,
