,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,42/400,100,56,[0.623],[0.3221],[0.0274],[0.9961],"[-7.7069,-7.7800]","[7.6890,9.6020]",26.17,2071.42
1,algoQD,1,75/400,100,45,[0.6406],[0.2958],[0.0023],[0.9986],"[-7.7996,-9.2531]","[7.6890,9.6020]",48.05,1040.19
2,algoQD,2,95/400,100,33,[0.6502],[0.2922],[0.0009],[0.9986],"[-9.6009,-9.2531]","[8.5168,9.6020]",61.77,1039.38
3,algoQD,3,125/400,100,42,[0.6212],[0.3045],[0.0009],[0.9986],"[-9.6009,-9.7281]","[8.5168,9.6020]",77.66,1039.68
4,algoQD,4,144/400,100,35,[0.6407],[0.2973],[0.0009],[0.9986],"[-9.6009,-9.7281]","[8.5168,9.6020]",92.26,1037.82
5,algoQD,5,166/400,100,38,[0.651],[0.2874],[0.0009],[0.9986],"[-9.6009,-9.7281]","[9.2383,9.9312]",108.06,1027.10
6,algoQD,6,183/400,100,32,[0.6554],[0.286],[0.0009],[0.9995],"[-9.6009,-9.7281]","[9.2383,9.9312]",119.94,1028.62
7,algoQD,7,198/400,100,30,[0.6713],[0.2794],[0.0009],[0.9995],"[-9.6009,-9.7281]","[9.2383,9.9312]",132.92,1027.29
8,algoQD,8,214/400,100,32,[0.6776],[0.28],[0.0079],[0.9995],"[-9.7497,-9.7281]","[9.5995,9.9312]",145.01,1028.50
9,algoQD,9,227/400,100,27,[0.6817],[0.2769],[0.0079],[0.9995],"[-9.8476,-9.7281]","[9.5995,9.9312]",154.74,1028.14
10,algoQD,10,239/400,100,26,[0.6793],[0.2836],[0.0079],[0.9995],"[-9.8476,-9.7281]","[9.5995,9.9312]",162.36,1029.05
11,algoQD,11,252/400,100,29,[0.6869],[0.28],[0.0079],[0.9998],"[-9.8476,-9.7281]","[9.5995,9.9312]",173.09,1029.14
12,algoQD,12,260/400,100,24,[0.6963],[0.2765],[0.0096],[0.9998],"[-9.8476,-9.7911]","[9.5995,9.9312]",181.05,1028.03
13,algoQD,13,266/400,100,19,[0.7002],[0.2798],[0.0096],[0.9998],"[-9.8476,-9.7911]","[9.5995,9.9312]",186.26,1028.07
14,algoQD,14,273/400,100,20,[0.71],[0.2766],[0.0096],[0.9998],"[-9.8476,-9.8176]","[9.5995,9.9312]",193.84,1029.27
15,algoQD,15,276/400,100,21,[0.7157],[0.2753],[0.0096],[0.9998],"[-9.8476,-9.8176]","[9.5995,9.9312]",197.54,1028.91
16,algoQD,16,278/400,100,13,[0.7247],[0.2663],[0.0096],[0.9998],"[-9.8476,-9.8176]","[9.5995,9.9312]",201.47,1028.77
17,algoQD,17,284/400,100,22,[0.7353],[0.26],[0.0096],[0.9999],"[-9.8476,-9.8176]","[9.5995,9.9312]",208.83,1028.29
18,algoQD,18,289/400,100,23,[0.7455],[0.259],[0.0084],[0.9999],"[-9.8476,-9.8176]","[9.5995,9.9312]",215.46,1027.25
19,algoQD,19,297/400,100,23,[0.7569],[0.2505],[0.0084],[0.9999],"[-9.8476,-9.8176]","[9.5995,9.9312]",224.78,1027.00
20,algoQD,20,304/400,100,20,[0.7633],[0.2483],[0.0084],[0.9999],"[-9.8476,-9.8176]","[9.5995,9.9312]",232.05,1027.53
21,algoQD,21,306/400,100,16,[0.7683],[0.2478],[0.0084],[0.9999],"[-9.8476,-9.8176]","[9.5995,9.9312]",235.11,1029.37
22,algoQD,22,311/400,100,24,[0.7737],[0.2439],[0.0096],[0.9999],"[-9.8526,-9.8176]","[9.5995,9.9312]",240.63,1028.52
23,algoQD,23,317/400,100,15,[0.7833],[0.2329],[0.0184],[0.9999],"[-9.8526,-9.8176]","[9.5995,9.9312]",248.31,1029.22
24,algoQD,24,317/400,100,11,[0.7888],[0.2298],[0.0184],[0.9999],"[-9.8526,-9.8176]","[9.5995,9.9312]",250.05,1028.62
25,algoQD,25,320/400,100,20,[0.7992],[0.2227],[0.0184],[1.],"[-9.8526,-9.8176]","[9.5995,9.9312]",255.74,1028.77
26,algoQD,26,321/400,100,13,[0.8026],[0.2223],[0.0184],[1.],"[-9.8526,-9.8176]","[9.5995,9.9312]",257.65,1028.37
27,algoQD,27,327/400,100,19,[0.8077],[0.2211],[0.0184],[1.],"[-9.8526,-9.9040]","[9.9742,9.9312]",264.13,1027.20
28,algoQD,28,332/400,100,15,[0.8132],[0.2149],[0.0184],[1.],"[-9.8526,-9.9040]","[9.9742,9.9312]",269.97,1027.43
29,algoQD,29,332/400,100,9,[0.8244],[0.1996],[0.0721],[1.],"[-9.8526,-9.9040]","[9.9742,9.9312]",273.71,1027.44
30,algoQD,30,335/400,100,11,[0.8257],[0.2004],[0.0721],[1.],"[-9.8526,-9.9040]","[9.9742,9.9312]",276.63,1026.63
31,algoQD,31,339/400,100,10,[0.8254],[0.2021],[0.0721],[1.],"[-9.8526,-9.9040]","[9.9742,9.9312]",279.82,1029.98
32,algoQD,32,343/400,100,14,[0.8321],[0.1983],[0.0721],[1.],"[-9.8526,-9.8176]","[9.9742,9.9312]",285.40,1028.37
33,algoQD,33,346/400,100,16,[0.8356],[0.1935],[0.0721],[1.],"[-9.8526,-9.8176]","[9.9742,9.9312]",289.11,1028.12
34,algoQD,34,349/400,100,7,[0.8333],[0.1977],[0.0686],[1.],"[-9.8526,-9.8176]","[9.9742,9.9312]",290.82,1027.68
35,algoQD,35,355/400,100,21,[0.8341],[0.1943],[0.0686],[1.],"[-9.8526,-9.8176]","[9.9742,9.9312]",296.09,1029.45
36,algoQD,36,357/400,100,12,[0.8381],[0.1905],[0.0686],[1.],"[-9.8526,-9.8176]","[9.9742,9.9312]",299.19,1027.90
37,algoQD,37,358/400,100,13,[0.8427],[0.1867],[0.0686],[1.],"[-9.8526,-9.8176]","[9.9742,9.9312]",301.67,1027.42
38,algoQD,38,359/400,100,14,[0.8483],[0.1807],[0.0686],[1.],"[-9.8526,-9.8176]","[9.9538,9.9312]",304.56,1027.31
39,algoQD,39,359/400,100,8,[0.8509],[0.1788],[0.0686],[1.],"[-9.8526,-9.8176]","[9.9538,9.9312]",305.46,1027.52
40,algoQD,40,361/400,100,7,[0.8515],[0.1793],[0.0686],[1.],"[-9.8526,-9.8176]","[9.9538,9.9312]",307.39,1028.21
41,algoQD,41,364/400,100,13,[0.853],[0.1769],[0.0686],[1.],"[-9.8526,-9.8176]","[9.9538,9.9312]",310.50,1028.50
42,algoQD,42,364/400,100,12,[0.8596],[0.1675],[0.0686],[1.],"[-9.8526,-9.8176]","[9.8836,9.9312]",312.89,1029.29
43,algoQD,43,364/400,100,5,[0.8612],[0.1669],[0.0686],[1.],"[-9.8526,-9.8176]","[9.8836,9.9312]",313.49,1029.19
44,algoQD,44,365/400,100,10,[0.8658],[0.1615],[0.0686],[1.],"[-9.8526,-9.8176]","[9.8836,9.9312]",316.03,1030.38
45,algoQD,45,367/400,100,9,[0.8663],[0.1638],[0.0578],[1.],"[-9.8526,-9.8176]","[9.8836,9.9312]",317.93,1028.24
46,algoQD,46,368/400,100,9,[0.8703],[0.1571],[0.0578],[1.],"[-9.8526,-9.8176]","[9.8836,9.9312]",320.27,1027.80
47,algoQD,47,368/400,100,8,[0.8734],[0.156],[0.0578],[1.],"[-9.8526,-9.8176]","[9.8836,9.9312]",321.42,1028.45
48,algoQD,48,368/400,100,7,[0.8746],[0.1554],[0.0578],[1.],"[-9.8526,-9.8176]","[9.8836,9.9312]",321.87,1027.05
49,algoQD,49,372/400,100,15,[0.8775],[0.1542],[0.0578],[1.],"[-9.8526,-9.8176]","[9.8836,9.8467]",326.44,1029.15
50,algoQD,50,372/400,100,10,[0.8815],[0.15],[0.0578],[1.],"[-9.8526,-9.8176]","[9.8836,9.8467]",327.92,1029.98
51,algoQD,51,373/400,100,7,[0.8831],[0.149],[0.0578],[1.],"[-9.8526,-9.8176]","[9.8836,9.8467]",329.39,1028.38
52,algoQD,52,373/400,100,8,[0.8858],[0.144],[0.0578],[1.],"[-9.8526,-9.8176]","[9.8836,9.8467]",330.42,1029.28
53,algoQD,53,373/400,100,3,[0.8861],[0.144],[0.0578],[1.],"[-9.8583,-9.8176]","[9.8836,9.8467]",330.51,1027.73
54,algoQD,54,374/400,100,11,[0.8916],[0.1374],[0.0578],[1.],"[-9.8583,-9.8176]","[9.7395,9.8467]",333.47,1027.33
55,algoQD,55,375/400,100,7,[0.8934],[0.1366],[0.0578],[1.],"[-9.8583,-9.8176]","[9.7395,9.8467]",335.03,1028.88
56,algoQD,56,375/400,100,3,[0.8945],[0.1364],[0.0578],[1.],"[-9.8583,-9.8176]","[9.7395,9.8467]",335.44,1029.69
57,algoQD,57,375/400,100,7,[0.8967],[0.1345],[0.0578],[1.],"[-9.8583,-9.8176]","[9.7395,9.8467]",336.28,1028.01
58,algoQD,58,376/400,100,12,[0.897],[0.1352],[0.0578],[1.],"[-9.8583,-9.8176]","[9.7395,9.8467]",337.25,1027.30
59,algoQD,59,376/400,100,2,[0.8971],[0.1349],[0.0578],[1.],"[-9.8583,-9.8176]","[9.7395,9.8467]",337.29,1027.32
60,algoQD,60,376/400,100,7,[0.8985],[0.1331],[0.0578],[1.],"[-9.8583,-9.8176]","[9.7395,9.8467]",337.84,1029.37
61,algoQD,61,376/400,100,9,[0.9021],[0.125],[0.1316],[1.],"[-9.8583,-9.8176]","[9.7395,9.8467]",339.18,1028.50
62,algoQD,62,377/400,100,9,[0.9034],[0.1242],[0.1316],[1.],"[-9.8583,-9.8176]","[9.8181,9.8467]",340.59,1028.30
63,algoQD,63,379/400,100,9,[0.9031],[0.1249],[0.1316],[1.],"[-9.8583,-9.8176]","[9.8181,9.8467]",342.27,1027.99
64,algoQD,64,381/400,100,9,[0.9041],[0.1248],[0.1316],[1.],"[-9.8583,-9.8546]","[9.8181,9.8467]",344.48,1027.23
65,algoQD,65,381/400,100,6,[0.9052],[0.1247],[0.1316],[1.],"[-9.8583,-9.8546]","[9.8181,9.8467]",344.86,1028.89
66,algoQD,66,381/400,100,5,[0.9076],[0.1209],[0.1316],[1.],"[-9.8583,-9.8546]","[9.8181,9.8467]",345.79,1029.24
67,algoQD,67,381/400,100,2,[0.9085],[0.1203],[0.1316],[1.],"[-9.8583,-9.8546]","[9.8181,9.8467]",346.13,1026.90
68,algoQD,68,381/400,100,6,[0.9095],[0.1197],[0.1316],[1.],"[-9.8583,-9.8546]","[9.8181,9.8467]",346.51,1029.11
69,algoQD,69,381/400,100,10,[0.9107],[0.1174],[0.1316],[1.],"[-9.8583,-9.8546]","[9.8181,9.8234]",346.99,1026.96
70,algoQD,70,381/400,100,6,[0.9113],[0.1172],[0.1316],[1.],"[-9.8583,-9.8546]","[9.8181,9.8234]",347.21,1027.67
71,algoQD,71,381/400,100,10,[0.9129],[0.117],[0.1316],[1.],"[-9.8583,-9.8546]","[9.8181,9.8234]",347.81,1027.71
72,algoQD,72,381/400,100,7,[0.9151],[0.1144],[0.1316],[1.],"[-9.8583,-9.8546]","[9.8181,9.8234]",348.64,1027.54
73,algoQD,73,381/400,100,5,[0.9163],[0.1138],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",349.13,1027.99
74,algoQD,74,381/400,100,5,[0.9172],[0.1137],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",349.44,1028.29
75,algoQD,75,381/400,100,6,[0.9184],[0.1134],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",349.90,1027.35
76,algoQD,76,381/400,100,11,[0.9229],[0.1084],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",351.62,1028.46
77,algoQD,77,381/400,100,7,[0.9237],[0.1083],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",351.93,1027.47
78,algoQD,78,381/400,100,1,[0.9237],[0.1083],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",351.93,1027.33
79,algoQD,79,381/400,100,6,[0.9243],[0.1074],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",352.17,1027.97
80,algoQD,80,382/400,100,3,[0.9239],[0.1078],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",352.92,1028.79
81,algoQD,81,382/400,100,4,[0.9251],[0.1055],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",353.39,1028.32
82,algoQD,82,382/400,100,8,[0.9262],[0.1052],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",353.80,1028.23
83,algoQD,83,382/400,100,4,[0.9273],[0.1048],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.8234]",354.22,1031.56
84,algoQD,84,382/400,100,8,[0.9293],[0.1025],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.9573]",354.98,1028.89
85,algoQD,85,382/400,100,10,[0.9308],[0.1024],[0.1316],[1.],"[-9.9363,-9.8546]","[9.8181,9.9573]",355.56,1027.44
86,algoQD,86,383/400,100,8,[0.9323],[0.0981],[0.1316],[1.],"[-9.9363,-9.9190]","[9.8181,9.9573]",357.06,1028.12
87,algoQD,87,384/400,100,8,[0.932],[0.0999],[0.1316],[1.],"[-9.9363,-9.9190]","[9.8181,9.9573]",357.89,1030.33
88,algoQD,88,384/400,100,4,[0.9339],[0.0932],[0.3039],[1.],"[-9.9363,-9.9190]","[9.8181,9.9573]",358.60,1026.36
89,algoQD,89,384/400,100,6,[0.9343],[0.0928],[0.3039],[1.],"[-9.9363,-9.9190]","[9.8181,9.9573]",358.77,1027.43
90,algoQD,90,384/400,100,8,[0.9362],[0.0883],[0.3408],[1.],"[-9.9363,-9.9190]","[9.8181,9.9573]",359.50,1027.24
91,algoQD,91,384/400,100,7,[0.9367],[0.0884],[0.3408],[1.],"[-9.9363,-9.9190]","[9.8181,9.9573]",359.71,1027.77
92,algoQD,92,384/400,100,6,[0.9378],[0.0876],[0.3408],[1.],"[-9.9363,-9.9190]","[9.8181,9.9573]",360.10,1028.48
93,algoQD,93,384/400,100,5,[0.9392],[0.0862],[0.3408],[1.],"[-9.9363,-9.9190]","[9.8181,9.9573]",360.65,1028.36
94,algoQD,94,385/400,100,8,[0.9379],[0.0909],[0.3408],[1.],"[-9.9363,-9.9190]","[9.8181,9.9573]",361.11,1029.83
95,algoQD,95,385/400,100,8,[0.9386],[0.0908],[0.3408],[1.],"[-9.9363,-9.9190]","[9.8181,9.9573]",361.34,1028.37
96,algoQD,96,386/400,100,4,[0.9391],[0.0908],[0.3408],[1.],"[-9.9363,-9.9956]","[9.8181,9.9573]",362.47,1027.10
97,algoQD,97,386/400,100,4,[0.9395],[0.0907],[0.3408],[1.],"[-9.9363,-9.9956]","[9.8181,9.9573]",362.65,1028.50
98,algoQD,98,387/400,100,8,[0.9386],[0.0966],[0.2807],[1.],"[-9.9363,-9.9956]","[9.8181,9.9573]",363.24,1028.91
99,algoQD,99,388/400,100,6,[0.9392],[0.0963],[0.2807],[1.],"[-9.9363,-9.9956]","[9.8181,9.9573]",364.39,10.30
