,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],"[(-9.958078, -6.7498403)]","[(-9.69354, -5.950025)]",[],[],"[(-9.474846, -2.334839)]","[(-9.152559, -1.6192516)]","[(-9.122756, -0.57720464)]","[(-9.25853, 0.772553)]","[(-9.409711, 1.4056385)]","[(-9.54226, 2.9382548)]","[(-9.138991, 3.559962)]","[(-9.255379, 4.0046153)]",[],"[(-9.083447, 6.76046)]",[],[],[]
1,[],[],[],[],"[(-8.246305, -5.524224)]","[(-8.294721, -4.3425765)]","[(-8.069659, -3.8907773)]","[(-8.450465, -2.6163583)]","[(-8.6371355, -1.1157969)]","[(-8.802783, -0.8767531)]","[(-8.371102, 0.17768548)]","[(-8.980242, 1.7780682)]","[(-8.143514, 2.8519247)]","[(-8.623273, 3.3248386)]","[(-8.111869, 4.1933656)]","[(-8.216064, 5.4216)]","[(-8.240514, 6.0224786)]",[],[],[]
2,[],[],"[(-7.09456, -7.8733172)]","[(-7.220718, -6.826313)]","[(-7.0517597, -5.954954)]","[(-7.556234, -4.844657)]","[(-7.6583343, -3.1875396)]","[(-7.283361, -2.2603977)]","[(-7.9474626, -1.4287897)]","[(-7.364247, -0.6070681)]","[(-7.342473, 0.6941877)]","[(-7.02352, 1.8274264)]","[(-7.2432942, 2.6624632)]","[(-7.118596, 3.4427512)]","[(-7.7160716, 4.5945544)]","[(-7.561047, 5.9402204)]","[(-7.1735897, 6.5241623)]","[(-7.71998, 7.768393)]",[],[]
3,[],"[(-6.840573, -8.483297)]","[(-6.075052, -7.9807825)]","[(-6.182666, -6.729359)]","[(-6.56597, -5.9303646)]","[(-6.6537538, -4.5954595)]","[(-6.593501, -3.085738)]","[(-6.116125, -2.1348865)]","[(-6.308371, -1.044686)]","[(-6.827038, -0.316638)]","[(-6.5278964, 0.2640495)]","[(-6.894604, 1.4025055)]","[(-6.2939453, 2.5273302)]","[(-6.1191716, 3.3498237)]","[(-6.4597864, 4.026053)]","[(-6.75225, 5.701938)]","[(-6.265085, 6.014766)]",[],"[(-6.729088, 8.2152405)]","[(-6.1313596, 9.802342)]"
4,"[(-5.4979067, -9.558599)]",[],"[(-5.9202375, -7.216488)]","[(-5.6664524, -6.282052)]","[(-5.304651, -5.5487995)]","[(-5.283038, -4.177785)]","[(-5.5576572, -3.8676157)]","[(-5.363584, -2.3225646)]","[(-5.6564417, -1.3577493)]","[(-5.9424834, -0.61887616)]","[(-5.9150224, 0.7621448)]","[(-5.7839603, 1.6623822)]","[(-5.176862, 2.0228584)]","[(-5.8603554, 3.9941492)]","[(-5.462799, 4.8300004)]","[(-5.648371, 5.773589)]","[(-5.716133, 6.3093905)]","[(-5.820784, 7.7436056)]","[(-5.3207116, 8.020666)]","[(-5.2399364, 9.740625)]"
5,[],"[(-4.213503, -8.876386)]","[(-4.1214976, -7.5392804)]","[(-4.751377, -6.7564487)]","[(-4.731546, -5.702653)]","[(-4.0290446, -4.722233)]","[(-4.4438076, -3.614238)]","[(-4.0198674, -2.4381702)]","[(-4.228399, -1.0318267)]","[(-4.8113346, -0.28178778)]","[(-4.7827992, 0.14279297)]","[(-4.7662277, 1.606762)]","[(-4.9658, 2.820644)]","[(-4.461036, 3.7204533)]","[(-4.2804623, 4.2075024)]","[(-4.1972065, 5.1488805)]","[(-4.5129905, 6.7260404)]","[(-4.0185723, 7.1563754)]","[(-4.5577435, 8.17656)]",[]
6,"[(-3.3096824, -9.776743)]","[(-3.3865485, -8.702891)]","[(-3.5146935, -7.8193264)]","[(-3.5885882, -6.027117)]","[(-3.123397, -5.671997)]","[(-3.6208985, -4.9901147)]","[(-3.096581, -3.7427614)]","[(-3.6960645, -2.3445501)]","[(-3.3764775, -1.0635247)]","[(-3.8594732, -0.6391033)]","[(-3.8124166, 0.19174404)]","[(-3.0182674, 1.9377035)]","[(-3.174596, 2.3125663)]","[(-3.0804079, 3.5763142)]","[(-3.809297, 4.9529424)]","[(-3.6359358, 5.2707696)]","[(-3.728237, 6.9847984)]","[(-3.7816827, 7.692326)]","[(-3.003666, 8.227075)]","[(-3.5506961, 9.809945)]"
7,"[(-2.828158, -9.011836)]","[(-2.2107434, -8.73787)]","[(-2.1388657, -7.433251)]","[(-2.0177543, -6.228057)]","[(-2.5009542, -5.4767413)]","[(-2.4249449, -4.0067153)]","[(-2.390247, -3.97508)]","[(-2.3713403, -2.459603)]","[(-2.724862, -1.7194315)]","[(-2.4810236, -0.21693897)]","[(-2.0359945, 0.19706278)]","[(-2.6841066, 1.056248)]","[(-2.0584748, 2.5474439)]","[(-2.0161738, 3.0749543)]","[(-2.4641678, 4.746856)]","[(-2.976557, 5.0720253)]","[(-2.931135, 6.99083)]","[(-2.1963973, 7.0780106)]","[(-2.6285434, 8.02379)]","[(-2.4829135, 9.183002)]"
8,"[(-1.9023992, -9.901057)]","[(-1.0119684, -8.305715)]","[(-1.9178495, -7.6181793)]","[(-1.5995777, -6.5522146)]","[(-1.8713887, -5.1017375)]","[(-1.9436347, -4.9146557)]","[(-1.4358333, -3.942593)]","[(-1.5583856, -2.1399214)]","[(-1.2246221, -1.0591004)]","[(-1.4268582, -0.81258625)]","[(-1.1050372, 0.30342814)]","[(-1.8634913, 1.397997)]","[(-1.0094385, 2.722219)]","[(-1.3539582, 3.7100155)]","[(-1.5581926, 4.1451354)]","[(-1.484333, 5.560497)]","[(-1.663059, 6.3618345)]","[(-1.634084, 7.167902)]",[],"[(-1.2327495, 9.097189)]"
9,"[(-0.9830469, -9.079227)]","[(-0.3961133, -8.740895)]","[(-0.78448874, -7.239078)]","[(-0.7133036, -6.827656)]","[(-0.97319794, -5.8274937)]","[(-0.24912274, -4.6263657)]","[(-0.34055382, -3.1223674)]","[(-0.626509, -2.5222204)]","[(-0.2637098, -1.377247)]","[(-0.9211947, -0.9324762)]","[(-0.22998787, 0.35530022)]","[(-0.5921156, 1.185722)]","[(-0.37804848, 2.4933248)]","[(-0.22701073, 3.8852725)]","[(-0.8364356, 4.4327526)]","[(-0.82247174, 5.620271)]","[(-0.7175061, 6.939457)]","[(-0.5151141, 7.0582886)]","[(-0.4001161, 8.516957)]","[(-0.7588, 9.406573)]"
