,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,1,0,1,1,1,1,3,3,3,6,1,1,2,2,1,1,1,0
1,0,0,0,0,1,1,2,5,2,3,6,2,4,2,3,4,2,6,0,0
2,0,0,3,4,1,2,2,4,4,6,7,3,1,2,5,4,5,4,1,2
3,0,2,2,4,6,2,2,6,3,5,4,5,4,4,8,3,4,3,2,1
4,0,3,2,3,5,3,8,6,2,4,5,6,5,6,3,2,4,3,2,0
5,2,7,2,4,4,5,3,4,4,4,5,5,3,4,3,7,4,4,3,1
6,2,2,1,5,3,2,4,3,5,2,3,4,7,3,6,5,5,2,6,2
7,2,4,1,4,4,3,5,7,5,4,4,5,2,3,2,3,1,3,1,3
8,1,6,4,3,5,2,3,7,4,5,14,4,5,9,7,4,3,2,1,2
9,4,3,3,2,2,3,6,3,6,8,7,7,5,3,6,4,3,2,2,0
10,6,4,4,5,3,5,7,3,5,11,4,3,6,3,5,3,1,2,1,0
11,3,4,5,2,2,4,9,3,3,3,8,5,4,4,4,2,3,1,1,2
12,3,3,4,5,3,4,4,9,4,4,5,6,7,3,4,1,2,2,0,1
13,0,3,2,3,5,2,3,4,5,6,4,4,3,2,1,1,1,1,1,0
14,0,1,2,3,2,2,4,4,2,4,4,3,6,3,2,1,2,0,0,0
15,0,0,1,0,3,2,2,4,4,1,5,2,1,1,0,0,0,0,0,0
16,0,0,1,1,1,2,2,2,3,3,3,3,2,2,0,0,0,0,0,0
17,0,0,0,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
