,0
0,3
1,30
2,105
3,106
4,126
5,131
6,133
7,150
8,188
9,189
10,201
11,216
12,218
13,226
14,252
15,257
16,293
17,306
18,330
19,333
20,334
21,338
22,350
23,364
24,366
25,367
26,379
27,380
28,381
29,398
30,401
31,408
32,409
33,415
34,423
35,437
36,438
37,439
38,443
39,453
40,457
41,464
42,467
43,472
44,474
45,481
46,484
47,494
48,496
49,498
50,499
51,504
52,506
53,510
54,511
55,512
56,513
57,521
58,523
59,524
60,527
61,529
62,531
63,536
64,540
65,541
66,543
67,548
68,555
69,567
70,568
71,573
72,574
73,578
74,579
75,580
76,589
77,590
78,593
79,596
80,601
81,606
82,607
83,612
84,616
85,617
86,619
87,622
88,625
89,627
90,629
91,632
92,643
93,644
94,645
95,649
96,650
97,652
98,656
99,657
100,658
101,659
102,660
103,662
104,663
105,664
106,668
107,670
108,672
109,677
110,678
111,681
112,682
113,683
114,687
115,688
116,696
117,697
118,701
119,703
120,707
121,708
122,710
123,711
124,713
125,714
126,716
127,717
128,719
129,723
130,724
131,725
132,728
133,730
134,732
135,734
136,735
137,736
138,737
139,738
140,739
141,741
142,742
143,744
144,747
145,749
146,750
147,751
148,753
149,754
150,756
151,758
152,759
153,760
154,762
155,763
156,766
157,768
158,769
159,770
160,771
161,772
162,773
163,774
164,775
165,776
166,777
167,778
168,779
169,780
170,783
171,785
172,787
173,789
174,790
175,791
176,792
177,793
178,794
179,795
180,796
181,797
182,805
183,806
184,807
185,809
186,810
187,811
188,812
189,814
190,815
191,816
192,817
193,818
194,819
195,821
196,823
197,824
198,825
199,826
200,827
201,828
202,829
203,832
204,833
205,834
206,835
207,837
208,838
209,839
210,841
211,842
212,844
213,845
214,846
215,847
216,848
217,849
218,850
219,851
220,852
221,853
222,854
223,855
224,856
225,857
226,858
227,859
228,860
229,861
230,862
231,863
232,864
233,865
234,866
235,867
236,868
237,869
238,870
239,871
240,872
241,874
242,875
243,876
244,877
245,878
246,879
247,880
248,881
249,882
250,883
251,884
252,885
253,886
254,887
255,888
256,889
257,890
258,891
259,892
260,893
