,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.009384, -7.2361813)]",[],[],[],[],[],[],"[(-9.27361, -0.14290428)]",[],"[(-9.949956, 1.5915979)]",[],[],"[(-9.286572, 4.3152213)]",[],[],[],[],[]
1,[],[],[],[],[],[],"[(-8.587281, -3.5912826)]","[(-8.937855, -2.5390859)]",[],[],"[(-8.45823, 0.85729617)]","[(-8.345334, 1.9588448)]","[(-8.107548, 2.0948744)]","[(-8.120335, 3.4982467)]","[(-8.010534, 4.1201897)]",[],"[(-8.160446, 6.615381)]",[],[],[]
2,"[(-7.353144, -9.212693)]",[],[],"[(-7.4766393, -6.4711866)]","[(-7.380245, -5.086455)]","[(-7.697643, -4.1840806)]","[(-7.6409807, -3.5327125)]","[(-7.0072727, -2.1773298)]","[(-7.21838, -1.2640246)]","[(-7.9962387, -0.093349844)]","[(-7.5141907, 0.8168168)]","[(-7.2638636, 1.361402)]","[(-7.655166, 2.4572294)]","[(-7.6757684, 3.3095913)]","[(-7.558119, 4.6599264)]","[(-7.1377378, 5.4654365)]",[],[],[],[]
3,"[(-6.600996, -9.093518)]",[],[],[],[],"[(-6.1949387, -4.791361)]","[(-6.9643626, -3.5215578)]","[(-6.3098683, -2.0644865)]","[(-6.113301, -1.3157544)]","[(-6.8282847, -0.7976998)]","[(-6.4499044, 0.38677973)]","[(-6.075058, 1.317178)]","[(-6.566698, 2.711541)]","[(-6.2598243, 3.1400518)]","[(-6.1364713, 4.699715)]",[],"[(-6.4510036, 6.30198)]",[],[],[]
4,"[(-5.7398653, -9.125207)]",[],"[(-5.847455, -7.317024)]","[(-5.2068768, -6.2489195)]","[(-5.129941, -5.498146)]","[(-5.2335925, -4.991435)]","[(-5.598874, -3.1157808)]","[(-5.426645, -2.1541088)]","[(-5.022931, -1.8196223)]","[(-5.6372485, -0.6641935)]","[(-5.8285613, 0.26654917)]","[(-5.48557, 1.0079588)]","[(-5.606629, 2.3241644)]","[(-5.6889253, 3.6049488)]","[(-5.9266124, 4.329963)]","[(-5.836287, 5.7676854)]","[(-5.4691057, 6.028134)]",[],[],[]
5,"[(-4.2055273, -9.132908)]",[],"[(-4.768942, -7.312333)]",[],"[(-4.537177, -5.4420633)]","[(-4.234523, -4.589165)]","[(-4.796907, -3.0884972)]","[(-4.7050695, -2.6038415)]","[(-4.005288, -1.6489455)]","[(-4.1623483, -0.7926558)]","[(-4.2333317, 0.14406356)]","[(-4.0329585, 1.1664503)]","[(-4.917929, 2.9872177)]","[(-4.349333, 3.19488)]","[(-4.2694106, 4.464341)]","[(-4.844951, 5.826993)]",[],"[(-4.061818, 7.006861)]",[],[]
6,[],[],[],[],"[(-3.1128843, -5.3874702)]","[(-3.8732243, -4.7454433)]","[(-3.1652377, -3.048101)]","[(-3.780768, -2.9577327)]","[(-3.131653, -1.6992445)]","[(-3.519992, -0.54980236)]","[(-3.236045, 0.7058472)]","[(-3.466324, 1.6763202)]","[(-3.4051743, 2.8457978)]","[(-3.1770234, 3.2317388)]","[(-3.1451356, 4.614343)]","[(-3.718697, 5.414854)]","[(-3.9297874, 6.142461)]","[(-3.8469067, 7.95712)]",[],[]
7,"[(-2.0639048, -9.064244)]",[],"[(-2.0076876, -7.0145707)]","[(-2.605576, -6.3816895)]","[(-2.0088341, -5.4570737)]","[(-2.4760706, -4.3559666)]","[(-2.5798743, -3.3862848)]","[(-2.3391397, -2.2483265)]","[(-2.411535, -1.5573572)]","[(-2.820711, -0.76820624)]","[(-2.6434534, 0.4516001)]","[(-2.018846, 1.0128297)]","[(-2.4842756, 2.1774945)]","[(-2.0566442, 3.5803123)]","[(-2.4912028, 4.7215996)]","[(-2.693136, 5.407401)]","[(-2.493521, 6.44956)]","[(-2.142246, 7.3108215)]",[],[]
8,"[(-1.2112064, -9.377449)]","[(-1.4732405, -8.192724)]","[(-1.0299681, -7.9574566)]","[(-1.5839429, -6.169674)]","[(-1.4623381, -5.5518413)]","[(-1.0600141, -4.288895)]","[(-1.0540434, -3.7915587)]","[(-1.350961, -2.2158191)]","[(-1.2097355, -1.4731823)]","[(-1.6451604, -0.6007686)]","[(-1.7331687, 0.20530984)]","[(-1.1965038, 1.8601216)]","[(-1.0815004, 2.4189367)]","[(-1.6185579, 3.2237108)]","[(-1.1140158, 4.309104)]","[(-1.0413691, 5.091337)]","[(-1.5742779, 6.098273)]","[(-1.2168084, 7.0610456)]","[(-1.9154856, 8.09316)]",[]
9,"[(-0.4181183, -9.100486)]","[(-0.49398446, -8.304812)]","[(-0.68117523, -7.4040823)]","[(-0.6134152, -6.268663)]","[(-0.9743529, -5.407695)]","[(-0.4280097, -4.625084)]","[(-0.8440929, -3.2067153)]","[(-0.032206945, -2.6424592)]","[(-0.29456675, -1.166859)]","[(-0.16938823, -0.71908724)]","[(-0.09125069, 0.10961124)]","[(-0.7828469, 1.6667268)]","[(-0.9810185, 2.835544)]","[(-0.8157723, 3.1296465)]","[(-0.085062794, 4.1400433)]","[(-0.33175686, 5.340336)]","[(-0.004136539, 6.5796247)]","[(-0.3086001, 7.9216576)]","[(-0.69946235, 8.449296)]","[(-0.31280547, 9.888233)]"
