,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,27/400,100,40,[0.8408],[0.1804],[0.1995],[0.9974],"[-3.9352,-6.6232]","[3.4105,3.3846]",22.70,2086.20
1,algoQD,1,41/400,100,28,[0.8544],[0.174],[0.1995],[0.9997],"[-3.9352,-7.0523]","[4.6007,3.3846]",35.03,1050.73
2,algoQD,2,50/400,100,22,[0.8463],[0.2038],[0.0403],[0.9997],"[-3.9352,-7.9184]","[4.6007,3.4501]",42.31,1046.01
3,algoQD,3,57/400,100,16,[0.8684],[0.1786],[0.0403],[0.9997],"[-4.3922,-7.9184]","[4.6007,3.4501]",49.50,1044.63
4,algoQD,4,65/400,100,10,[0.8437],[0.2075],[0.0403],[0.9997],"[-4.3922,-7.9184]","[4.6012,3.4501]",54.84,1043.11
5,algoQD,5,76/400,100,20,[0.8324],[0.2042],[0.1363],[0.9997],"[-4.3922,-7.9184]","[5.5856,3.4501]",63.26,1042.45
6,algoQD,6,87/400,100,26,[0.8313],[0.2058],[0.1363],[0.9997],"[-5.2836,-7.9184]","[5.9102,4.1501]",72.32,1041.67
7,algoQD,7,92/400,100,16,[0.8413],[0.1982],[0.1363],[0.9997],"[-5.2836,-7.9184]","[6.8246,4.1501]",77.40,1037.77
8,algoQD,8,97/400,100,19,[0.8647],[0.172],[0.1363],[0.9997],"[-5.2836,-7.9184]","[6.8246,4.1501]",83.87,1036.04
9,algoQD,9,103/400,100,22,[0.8657],[0.1754],[0.1363],[0.9997],"[-5.2836,-7.9184]","[6.8246,4.2213]",89.16,1036.26
10,algoQD,10,110/400,100,20,[0.8732],[0.1686],[0.1363],[0.9997],"[-5.2836,-8.7935]","[7.4693,4.2213]",96.05,1036.18
11,algoQD,11,114/400,100,18,[0.8863],[0.1616],[0.1363],[0.9998],"[-5.1144,-8.7935]","[7.4693,5.4470]",101.04,1036.94
12,algoQD,12,124/400,100,14,[0.8766],[0.1775],[0.0708],[0.9998],"[-5.4441,-8.7935]","[7.4864,5.4470]",108.70,1036.46
13,algoQD,13,128/400,100,13,[0.8722],[0.1862],[0.0708],[0.9998],"[-5.4441,-8.7935]","[7.4864,5.4470]",111.64,1036.16
14,algoQD,14,133/400,100,17,[0.866],[0.1998],[0.0708],[0.9998],"[-5.4441,-8.7935]","[7.9483,5.4470]",115.18,1036.91
15,algoQD,15,136/400,100,18,[0.8733],[0.1932],[0.0708],[0.9998],"[-5.4441,-8.7935]","[8.3041,5.4470]",118.77,1036.37
16,algoQD,16,137/400,100,10,[0.882],[0.1859],[0.0708],[0.9998],"[-5.4441,-8.7935]","[8.3041,5.4470]",120.83,1036.65
17,algoQD,17,140/400,100,12,[0.8846],[0.1841],[0.0708],[0.9999],"[-5.3346,-8.7935]","[8.3041,5.4470]",123.84,1049.42
18,algoQD,18,144/400,100,13,[0.8778],[0.1917],[0.0708],[0.9999],"[-5.3346,-8.7935]","[8.3041,5.4470]",126.40,1049.39
19,algoQD,19,145/400,100,9,[0.8792],[0.1929],[0.0708],[0.9999],"[-5.3346,-8.7935]","[8.3041,5.4470]",127.49,1050.17
20,algoQD,20,151/400,100,14,[0.8703],[0.1992],[0.0708],[0.9999],"[-5.3346,-8.7935]","[8.3638,5.4470]",131.41,1050.23
21,algoQD,21,154/400,100,7,[0.8682],[0.2007],[0.0708],[0.9999],"[-5.3346,-9.0336]","[8.3638,5.4470]",133.71,1050.58
22,algoQD,22,155/400,100,7,[0.8671],[0.2044],[0.0708],[0.9999],"[-5.3346,-9.0336]","[8.3638,5.4470]",134.40,1050.16
23,algoQD,23,158/400,100,7,[0.8668],[0.2017],[0.0708],[0.9999],"[-5.3346,-9.0336]","[8.3638,5.4470]",136.95,1050.87
24,algoQD,24,162/400,100,9,[0.8643],[0.2017],[0.0708],[0.9999],"[-5.3346,-9.0869]","[8.3638,7.8709]",140.02,1053.55
25,algoQD,25,163/400,100,9,[0.8672],[0.1983],[0.0708],[0.9999],"[-5.3346,-9.0869]","[8.3638,7.8709]",141.35,1049.26
26,algoQD,26,165/400,100,7,[0.8729],[0.1899],[0.0708],[0.9999],"[-5.3346,-9.4805]","[8.3638,7.8709]",144.03,1048.44
27,algoQD,27,167/400,100,5,[0.8707],[0.1906],[0.0708],[0.9999],"[-5.3346,-9.6831]","[8.3638,7.8709]",145.40,1048.37
28,algoQD,28,167/400,100,5,[0.8757],[0.1832],[0.0708],[0.9999],"[-5.3346,-9.6831]","[8.3638,7.8709]",146.24,1048.64
29,algoQD,29,170/400,100,8,[0.8753],[0.1804],[0.0708],[0.9999],"[-5.3346,-9.6831]","[8.3638,7.8709]",148.81,1047.95
30,algoQD,30,170/400,100,7,[0.8794],[0.1744],[0.0708],[0.9999],"[-5.3346,-9.6831]","[8.3638,7.8709]",149.50,1050.66
31,algoQD,31,173/400,100,13,[0.8783],[0.1804],[0.0708],[0.9999],"[-5.3346,-9.6831]","[8.3638,7.8709]",151.94,1048.97
32,algoQD,32,173/400,100,5,[0.8797],[0.1806],[0.0708],[0.9999],"[-5.3346,-9.6831]","[8.3638,7.8709]",152.19,1049.73
33,algoQD,33,177/400,100,10,[0.8808],[0.1791],[0.0708],[0.9999],"[-5.3346,-9.6831]","[8.3638,7.8709]",155.90,1048.87
34,algoQD,34,178/400,100,7,[0.8775],[0.1869],[0.0654],[0.9999],"[-5.3346,-9.6831]","[8.3638,7.8709]",156.19,1050.29
35,algoQD,35,179/400,100,8,[0.8792],[0.1867],[0.0654],[0.9999],"[-5.4458,-9.6831]","[8.3638,7.8709]",157.37,1048.84
36,algoQD,36,182/400,100,5,[0.8767],[0.1865],[0.0654],[0.9999],"[-5.4458,-9.6831]","[9.1544,7.8709]",159.56,1048.93
37,algoQD,37,185/400,100,7,[0.8753],[0.1871],[0.0654],[0.9999],"[-5.4458,-9.6831]","[9.1544,7.8709]",161.94,1051.00
38,algoQD,38,186/400,100,10,[0.8796],[0.1845],[0.0654],[0.9999],"[-5.4458,-9.6831]","[9.1544,7.8709]",163.61,1049.96
39,algoQD,39,187/400,100,5,[0.8798],[0.1834],[0.0654],[0.9999],"[-5.4458,-9.6831]","[9.1722,7.8709]",164.52,1047.22
40,algoQD,40,187/400,100,2,[0.8804],[0.1822],[0.0654],[0.9999],"[-5.4458,-9.6831]","[9.1722,7.8709]",164.63,1048.87
41,algoQD,41,188/400,100,6,[0.8834],[0.1773],[0.0708],[0.9999],"[-5.4458,-9.6831]","[9.1722,7.8709]",166.08,1051.02
42,algoQD,42,188/400,100,4,[0.8849],[0.1761],[0.0708],[0.9999],"[-5.4458,-9.6831]","[9.1722,7.8709]",166.36,1049.01
43,algoQD,43,189/400,100,4,[0.884],[0.1769],[0.0708],[0.9999],"[-5.4458,-9.6831]","[9.1722,7.8709]",167.07,1049.52
44,algoQD,44,191/400,100,11,[0.8875],[0.1742],[0.0708],[0.9999],"[-5.5975,-9.6831]","[9.1722,7.8709]",169.52,1050.75
45,algoQD,45,192/400,100,9,[0.886],[0.1778],[0.0708],[0.9999],"[-6.3738,-9.6831]","[9.1722,7.8709]",170.11,1050.63
46,algoQD,46,193/400,100,7,[0.8859],[0.177],[0.0708],[0.9999],"[-6.3738,-9.6831]","[9.1722,7.8709]",170.99,1050.59
47,algoQD,47,194/400,100,7,[0.884],[0.1816],[0.0708],[0.9999],"[-6.3738,-9.6831]","[9.1722,7.8709]",171.50,1050.07
48,algoQD,48,197/400,100,8,[0.8822],[0.1814],[0.0708],[0.9999],"[-6.3738,-9.6831]","[9.1722,7.8709]",173.79,1051.14
49,algoQD,49,198/400,100,4,[0.8811],[0.1823],[0.0708],[0.9999],"[-6.3738,-9.6831]","[9.1722,7.8709]",174.45,1050.84
50,algoQD,50,198/400,100,3,[0.8828],[0.179],[0.0708],[0.9999],"[-6.3738,-9.6831]","[9.1722,7.8709]",174.79,1052.56
51,algoQD,51,202/400,100,8,[0.8794],[0.1805],[0.0708],[0.9999],"[-6.4525,-9.6831]","[9.1722,7.8709]",177.64,1051.38
52,algoQD,52,204/400,100,6,[0.8782],[0.1806],[0.0708],[0.9999],"[-6.4525,-9.6831]","[9.1722,7.8709]",179.16,1051.03
53,algoQD,53,204/400,100,6,[0.8809],[0.1767],[0.0708],[0.9999],"[-6.4525,-9.6831]","[9.1722,7.8709]",179.70,1051.64
54,algoQD,54,206/400,100,13,[0.8836],[0.1719],[0.0708],[0.9999],"[-6.8161,-9.6831]","[9.1722,7.8709]",182.03,1051.87
55,algoQD,55,208/400,100,4,[0.8824],[0.1733],[0.0708],[0.9999],"[-6.8161,-9.6831]","[9.1722,7.8709]",183.55,1051.55
56,algoQD,56,208/400,100,4,[0.8844],[0.172],[0.0708],[0.9999],"[-6.8161,-9.6831]","[9.1722,7.8709]",183.96,1053.15
57,algoQD,57,211/400,100,7,[0.8847],[0.1707],[0.0708],[0.9999],"[-6.8161,-9.6831]","[9.1722,7.8709]",186.67,1052.15
58,algoQD,58,215/400,100,8,[0.8804],[0.1792],[0.0214],[1.],"[-6.8161,-9.6831]","[9.1722,7.8709]",189.28,1051.79
59,algoQD,59,216/400,100,7,[0.8834],[0.1776],[0.0214],[1.],"[-6.8161,-9.6831]","[9.1722,7.5903]",190.81,1050.68
60,algoQD,60,216/400,100,4,[0.8843],[0.1777],[0.0214],[1.],"[-6.8161,-9.6831]","[9.1722,7.5903]",191.00,1053.37
61,algoQD,61,217/400,100,6,[0.887],[0.1715],[0.0214],[1.],"[-6.8161,-9.6831]","[9.1722,7.5903]",192.48,1052.83
62,algoQD,62,219/400,100,7,[0.8868],[0.1714],[0.0214],[1.],"[-6.8161,-9.6831]","[9.1722,8.3448]",194.21,1050.89
63,algoQD,63,220/400,100,7,[0.8852],[0.1756],[0.0214],[1.],"[-6.8161,-9.6831]","[9.1722,8.3448]",194.75,1052.23
64,algoQD,64,220/400,100,2,[0.8853],[0.1757],[0.0214],[1.],"[-6.8161,-9.6831]","[9.1722,8.3448]",194.77,1051.62
65,algoQD,65,220/400,100,7,[0.8876],[0.1752],[0.0214],[1.],"[-6.8161,-9.6831]","[9.1722,8.3448]",195.28,1051.88
66,algoQD,66,220/400,100,6,[0.8962],[0.1546],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,8.3448]",197.17,1052.24
67,algoQD,67,221/400,100,3,[0.8947],[0.1574],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,8.7966]",197.73,1051.83
68,algoQD,68,223/400,100,7,[0.8926],[0.1588],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,9.0276]",199.05,1052.48
69,algoQD,69,225/400,100,5,[0.8919],[0.1597],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,9.0276]",200.68,1052.66
70,algoQD,70,226/400,100,7,[0.8951],[0.1555],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,9.0276]",202.30,1053.58
71,algoQD,71,229/400,100,7,[0.8953],[0.1548],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,9.0276]",205.03,1052.18
72,algoQD,72,231/400,100,6,[0.8935],[0.1583],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,9.0276]",206.41,1051.76
73,algoQD,73,231/400,100,5,[0.8954],[0.1574],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,9.0276]",206.85,1051.71
74,algoQD,74,232/400,100,2,[0.8952],[0.1572],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,9.0276]",207.68,1051.54
75,algoQD,75,234/400,100,4,[0.8927],[0.1605],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,9.0276]",208.89,1052.63
76,algoQD,76,237/400,100,7,[0.8888],[0.1645],[0.0708],[1.],"[-6.8161,-9.7378]","[9.1722,9.0276]",210.65,1054.81
77,algoQD,77,239/400,100,7,[0.8861],[0.1716],[0.0708],[1.],"[-6.8161,-9.6831]","[9.1722,9.2707]",211.77,1052.36
78,algoQD,78,241/400,100,7,[0.8844],[0.1738],[0.0708],[1.],"[-6.8161,-9.6831]","[9.1722,9.2707]",213.15,1054.77
79,algoQD,79,243/400,100,7,[0.8852],[0.1735],[0.0708],[1.],"[-7.2460,-9.6831]","[9.1722,9.2707]",215.10,1051.08
80,algoQD,80,246/400,100,5,[0.8828],[0.1755],[0.0708],[1.],"[-7.2460,-9.6831]","[9.1722,9.2707]",217.18,1053.57
