,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],"[(-9.038674, -5.4912434)]",[],"[(-9.268862, -3.8620224)]","[(-9.001921, -2.2463605)]","[(-9.167917, -1.1006498)]","[(-9.286674, -0.88477916)]","[(-9.465373, 0.6890108)]","[(-9.400318, 1.601999)]","[(-9.279012, 2.2561662)]","[(-9.138683, 3.7239614)]","[(-9.348896, 4.608318)]",[],[],[],[],[]
1,[],"[(-8.514427, -8.010739)]",[],"[(-8.122748, -6.0370774)]","[(-8.033584, -5.691483)]","[(-8.092841, -4.481057)]","[(-8.592921, -3.1615727)]","[(-8.618966, -2.010832)]","[(-8.7141485, -1.7645409)]","[(-8.351498, -0.83143127)]","[(-8.210555, 0.18629482)]","[(-8.6697, 1.6457235)]","[(-8.439366, 2.8504653)]","[(-8.930784, 3.378171)]",[],"[(-8.138608, 5.4312115)]","[(-8.824643, 6.365622)]",[],[],[]
2,[],[],"[(-7.3856463, -7.491281)]","[(-7.6356063, -6.56796)]","[(-7.324771, -5.623928)]","[(-7.0211124, -4.1970935)]","[(-7.1008983, -3.3767397)]","[(-7.4203086, -2.3519797)]","[(-7.4147305, -1.6874168)]","[(-7.9136524, -0.70227903)]","[(-7.031109, 0.5469894)]","[(-7.0166926, 1.2516985)]","[(-7.176848, 2.503885)]","[(-7.835142, 3.5688622)]","[(-7.5467052, 4.284204)]","[(-7.5219226, 5.928458)]","[(-7.9331985, 6.4131813)]",[],[],[]
3,"[(-6.3329544, -9.455215)]",[],"[(-6.3738256, -7.00386)]","[(-6.6643095, -6.0002847)]","[(-6.772129, -5.716393)]","[(-6.5491567, -4.01351)]","[(-6.9091167, -3.4871254)]","[(-6.995615, -2.4592693)]","[(-6.018028, -1.6527647)]","[(-6.453059, -0.41207287)]","[(-6.8375983, 0.18502718)]","[(-6.731443, 1.0958918)]","[(-6.781565, 2.1555724)]","[(-6.265433, 3.7659917)]","[(-6.392824, 4.5862746)]","[(-6.5571823, 5.9718924)]","[(-6.078456, 6.049696)]",[],"[(-6.9832215, 8.04521)]",[]
4,"[(-5.371725, -9.4433565)]",[],"[(-5.101192, -7.543003)]","[(-5.8632736, -6.9119396)]","[(-5.0575867, -5.0588226)]","[(-5.4376945, -4.1205363)]","[(-5.7044406, -3.7023141)]","[(-5.869005, -2.2706592)]","[(-5.7940044, -1.5291818)]","[(-5.0284605, -0.9369623)]","[(-5.2643423, 0.32740515)]","[(-5.0242605, 1.038546)]","[(-5.581738, 2.0127585)]","[(-5.3745165, 3.4969022)]","[(-5.0848994, 4.666611)]","[(-5.1309705, 5.094935)]","[(-5.3151336, 6.338628)]",[],[],[]
5,[],"[(-4.8770766, -8.492635)]","[(-4.614673, -7.9869823)]","[(-4.4072375, -6.075404)]","[(-4.316728, -5.081371)]","[(-4.3055944, -4.207666)]","[(-4.4617214, -3.1308105)]","[(-4.5909057, -2.528231)]","[(-4.207825, -1.992568)]","[(-4.4854126, -0.79247856)]","[(-4.451439, 0.66374826)]","[(-4.4690123, 1.1219668)]","[(-4.8279886, 2.2797928)]","[(-4.0972466, 3.0577917)]","[(-4.244676, 4.62352)]","[(-4.735499, 5.0088086)]","[(-4.7874584, 6.2983475)]","[(-4.3364434, 7.4750104)]",[],[]
6,[],"[(-3.511318, -8.962606)]","[(-3.5369432, -7.3225627)]","[(-3.690638, -6.743795)]","[(-3.7963507, -5.250361)]","[(-3.2785137, -4.4460006)]","[(-3.8930392, -3.5983696)]","[(-3.9603705, -2.9909322)]","[(-3.6186125, -1.5533218)]","[(-3.330677, -0.5956272)]","[(-3.4327927, 0.9619486)]","[(-3.4705262, 1.7766178)]","[(-3.0759926, 2.0859551)]","[(-3.242501, 3.5214198)]","[(-3.3977537, 4.6314707)]","[(-3.958377, 5.3984313)]","[(-3.062593, 6.5237846)]","[(-3.3520334, 7.051677)]",[],[]
7,"[(-2.101966, -9.274121)]","[(-2.258675, -8.55244)]","[(-2.0473614, -7.2428193)]","[(-2.8634953, -6.293026)]","[(-2.257984, -5.678118)]","[(-2.8429406, -4.943709)]","[(-2.9547765, -3.0036626)]","[(-2.7774858, -2.1739645)]","[(-2.3301568, -1.1899121)]","[(-2.2831306, -0.024680838)]","[(-2.542083, 0.77765036)]","[(-2.3534563, 1.2673738)]","[(-2.330386, 2.2665162)]","[(-2.2387326, 3.4787512)]","[(-2.1766658, 4.478192)]","[(-2.7171955, 5.245354)]","[(-2.3488486, 6.002136)]","[(-2.2162778, 7.5196266)]",[],[]
8,"[(-1.4177856, -9.535688)]","[(-1.1695721, -8.102165)]","[(-1.4718511, -7.0768223)]","[(-1.7128835, -6.240889)]","[(-1.8204513, -5.295312)]","[(-1.7201716, -4.3917418)]","[(-1.2075609, -3.087669)]","[(-1.5675431, -2.1326566)]","[(-1.3535699, -1.5768579)]","[(-1.0671451, -0.16196933)]","[(-1.473548, 0.1941919)]","[(-1.7811689, 1.8373653)]","[(-1.0154474, 2.9988194)]","[(-1.9473176, 3.4073126)]","[(-1.2040205, 4.261541)]","[(-1.7715691, 5.4779687)]","[(-1.189213, 6.623603)]","[(-1.478875, 7.5334163)]","[(-1.0372616, 8.874476)]","[(-1.0993876, 9.87247)]"
9,"[(-0.96060896, -9.239222)]","[(-0.62572473, -8.736093)]","[(-0.08898538, -7.6115494)]","[(-0.08384198, -6.1714)]","[(-0.98484206, -5.8998704)]","[(-0.51477975, -4.243946)]","[(-0.8153849, -3.3584898)]","[(-0.9800788, -2.4080486)]","[(-0.4309593, -1.138895)]","[(-0.89319247, -0.12864266)]","[(-0.14118509, 0.27957818)]","[(-0.8531662, 1.8632436)]","[(-0.92155993, 2.5128849)]","[(-0.2619841, 3.879052)]","[(-0.70382696, 4.604541)]","[(-0.70910305, 5.607568)]","[(-0.8459438, 6.9504194)]","[(-0.18853036, 7.385177)]","[(-0.18269931, 8.416351)]","[(-0.98545736, 9.053311)]"
10,"[(0.813231, -9.075446)]","[(0.96441334, -8.061462)]","[(0.3113063, -7.14013)]","[(0.74405134, -6.67845)]","[(0.33268756, -5.844686)]","[(0.14804314, -4.0630927)]","[(0.9260512, -3.5219295)]","[(0.008244688, -2.7065196)]","[(0.030322444, -1.1318066)]","[(0.16894022, -0.96631294)]","[(0.24798313, 0.1828497)]","[(0.78277516, 1.8837456)]","[(0.5913489, 2.6415288)]","[(0.9742042, 3.1974459)]","[(0.91791373, 4.217058)]","[(0.9416055, 5.098258)]","[(0.6607524, 6.532023)]","[(0.0022166092, 7.4489408)]","[(0.0400211, 8.31729)]","[(0.7638496, 9.075777)]"
11,"[(1.1951909, -9.959839)]","[(1.1557089, -8.932899)]","[(1.0927489, -7.1962037)]","[(1.8364644, -6.089801)]","[(1.7754738, -5.4325256)]","[(1.1030439, -4.2733035)]","[(1.3767089, -3.7961423)]","[(1.4825854, -2.4899137)]","[(1.8981977, -1.9428939)]","[(1.8313379, -0.28931895)]","[(1.7347629, 0.70741624)]","[(1.1308666, 1.1239169)]","[(1.0283592, 2.3010716)]","[(1.0957403, 3.2691712)]","[(1.6688209, 4.39887)]","[(1.9636723, 5.7128973)]","[(1.7540337, 6.6312127)]","[(1.6076466, 7.182225)]","[(1.5602438, 8.222643)]",[]
12,"[(2.6641386, -9.056898)]","[(2.2709646, -8.819144)]","[(2.2712393, -7.6095676)]","[(2.0256603, -6.054901)]","[(2.9929683, -5.2063003)]","[(2.5605965, -4.547436)]","[(2.1353128, -3.6228397)]","[(2.0622075, -2.9991012)]","[(2.940336, -1.3270301)]","[(2.2580497, -0.34633)]","[(2.565273, 0.8875185)]","[(2.0285459, 1.2029432)]","[(2.427932, 2.069104)]","[(2.119993, 3.4304996)]","[(2.0800295, 4.2927737)]","[(2.8259747, 5.5528035)]","[(2.6094677, 6.0109386)]","[(2.5239236, 7.4692297)]","[(2.8152318, 8.911989)]",[]
13,"[(3.4100535, -9.825727)]","[(3.0581892, -8.189935)]","[(3.4838572, -7.3785653)]","[(3.9869897, -6.8506536)]","[(3.1113966, -5.2472444)]","[(3.8696907, -4.119648)]","[(3.4228547, -3.426815)]","[(3.8897655, -2.298884)]","[(3.3016636, -1.9360172)]","[(3.6769066, -0.807459)]","[(3.4540966, 0.9401103)]","[(3.2464128, 1.6979276)]","[(3.8510823, 2.7363968)]","[(3.3377342, 3.7563148)]","[(3.499549, 4.9679203)]","[(3.8225853, 5.355738)]","[(3.665176, 6.9357147)]","[(3.9905403, 7.0211835)]","[(3.8632905, 8.035301)]","[(3.928792, 9.18843)]"
14,"[(4.386527, -9.492099)]","[(4.2403665, -8.136009)]","[(4.9255114, -7.5865793)]","[(4.582631, -6.853445)]","[(4.4979157, -5.7525268)]","[(4.493851, -4.005208)]","[(4.270952, -3.6507697)]","[(4.5329504, -2.8407416)]","[(4.3519516, -1.3267758)]","[(4.5907893, -0.13128515)]","[(4.7956877, 0.15919782)]","[(4.4299407, 1.5764574)]","[(4.079177, 2.4440591)]","[(4.778512, 3.1329744)]","[(4.0273237, 4.774751)]","[(4.557121, 5.439188)]","[(4.454819, 6.7564325)]","[(4.149894, 7.2767224)]","[(4.3223143, 8.342987)]",[]
15,"[(5.3266788, -9.092021)]","[(5.362037, -8.091314)]","[(5.446476, -7.052034)]","[(5.0446467, -6.8034053)]","[(5.9852505, -5.268387)]","[(5.2034044, -4.567934)]","[(5.3254876, -3.0057316)]","[(5.9218984, -2.4117107)]","[(5.772309, -1.2336711)]","[(5.2337556, -0.57441944)]","[(5.311692, 0.08488399)]","[(5.735555, 1.5095766)]","[(5.931702, 2.143412)]","[(5.123637, 3.4763944)]","[(5.336549, 4.856715)]","[(5.160533, 5.5490456)]","[(5.028677, 6.0136333)]","[(5.1377645, 7.087669)]",[],[]
16,"[(6.3583484, -9.249547)]","[(6.963618, -8.073359)]","[(6.1160607, -7.375724)]","[(6.9518666, -6.8002563)]","[(6.962703, -5.025902)]","[(6.5005255, -4.5026474)]","[(6.562256, -3.7092202)]","[(6.2215147, -2.9601727)]","[(6.2933464, -1.16365)]","[(6.3382645, -0.93408155)]","[(6.1692057, 0.4466504)]","[(6.916483, 1.6695741)]","[(6.587187, 2.5441518)]","[(6.1483035, 3.3462577)]","[(6.790971, 4.1370482)]","[(6.872916, 5.5209055)]","[(6.198907, 6.339068)]","[(6.062785, 7.9019117)]",[],[]
17,"[(7.762845, -9.593112)]",[],"[(7.7493644, -7.1552205)]","[(7.451367, -6.513927)]","[(7.1310043, -5.0019827)]","[(7.502865, -4.68777)]","[(7.256369, -3.8537679)]","[(7.9569726, -2.155338)]","[(7.228168, -1.0849265)]","[(7.3845587, -0.47155684)]","[(7.284538, 0.12879166)]","[(7.844286, 1.3082285)]","[(7.748222, 2.7255027)]","[(7.39985, 3.7146535)]","[(7.3087554, 4.1168427)]","[(7.1474695, 5.2406464)]","[(7.204902, 6.6730227)]","[(7.5052357, 7.9892745)]","[(7.7348056, 8.00401)]",[]
18,[],"[(8.438229, -8.734011)]",[],"[(8.007601, -6.488587)]","[(8.056021, -5.731489)]","[(8.317661, -4.821842)]","[(8.213411, -3.7295647)]","[(8.578161, -2.621044)]","[(8.8801565, -1.5926967)]","[(8.752095, -0.06182771)]","[(8.351085, 0.30936906)]","[(8.39191, 1.3263085)]","[(8.019572, 2.0839205)]","[(8.198112, 3.314537)]","[(8.480028, 4.2166367)]","[(8.773704, 5.4378753)]","[(8.465781, 6.061968)]",[],"[(8.645749, 8.359331)]",[]
19,[],[],[],[],"[(9.41325, -5.2756076)]","[(9.613177, -4.7102304)]","[(9.437901, -3.3250062)]","[(9.342594, -2.7817326)]","[(9.693758, -1.7859137)]","[(9.77591, -0.2419331)]","[(9.101852, 0.85883045)]","[(9.55969, 1.1141169)]","[(9.473551, 2.0762432)]","[(9.777086, 3.648072)]","[(9.025802, 4.328832)]","[(9.809762, 5.9166107)]","[(9.389478, 6.744274)]",[],"[(9.5869055, 8.293197)]",[]
