,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,"(0.9186471515231662,)","(0.44481468200683594,)","(0.8090452829996745,)","(0.8455052375793457,)","(0.7978263007269966,)","(0.8933518939548069,)",,"(0.8907317267523871,)","(0.886083984375,)","(0.8650813632541232,)","(0.924684821234809,)","(0.8658206091986762,)","(0.6612830268012153,)","(0.6911047193739149,)","(0.7639173719618055,)","(0.8081429375542535,)",
1,,,,"(0.989285323354933,)","(0.741655053032769,)","(0.9784979608323839,)","(0.7938721126980252,)","(0.8030547247992621,)","(0.9974016507466634,)","(0.9851628409491645,)","(0.8794746398925781,)","(0.8400923622979058,)","(0.8571982701619466,)","(0.8045282999674479,)","(0.8293550491333008,)","(0.7355743832058377,)","(0.6602666219075521,)","(0.880190806918674,)","(0.7925477769639757,)",
2,,,,"(0.9944610873858134,)","(0.9773773458268907,)","(0.9505349000295004,)","(0.893799548678928,)","(0.9253047201368544,)","(0.9186522218916151,)","(0.9891863008340199,)","(0.9880752974086338,)","(0.9911948766973283,)","(0.9957334558169048,)","(0.8948511759440104,)","(0.9978645061453183,)","(0.9690591441260443,)","(0.9772572729322645,)","(0.7922593010796442,)","(0.9228309154510498,)","(0.9311372545030382,)"
3,,"(0.7435524198744032,)","(0.9099580976698134,)","(0.7865751266479493,)","(0.9768838220172458,)","(0.9912817584143745,)","(0.9754859659406874,)","(0.8995396826002333,)","(0.9966164542569055,)","(0.991957253879971,)","(0.9980357435014513,)","(0.9881539742151896,)","(0.992687714099884,)","(0.9947162171204885,)","(0.9507305569118923,)","(0.929113303290473,)","(0.8485527674357096,)","(0.8753620677524143,)","(0.9921342107984755,)","(0.9324237399631077,)"
4,,"(0.7425557454427083,)","(0.8806206597222223,)","(0.9971204068925645,)","(0.9909820159276327,)","(0.961218449804518,)","(0.9349223454793294,)","(0.9474963982899983,)","(0.9837104386753506,)","(0.9940488391452366,)","(0.9404708650377062,)","(0.9994228531916937,)","(0.9909888300630781,)","(0.9885391619470384,)","(0.9362926059299045,)","(0.986880726284451,)","(0.8840540462070041,)","(0.9673142539130317,)","(0.9843485116958618,)","(0.9485044002532959,)"
5,"(0.8715527322557237,)","(0.9704050911797417,)","(0.9553137355380588,)","(0.9910581284099155,)","(0.9880939298205905,)","(0.9959163679016961,)","(0.9975152240859138,)","(0.9936517371071709,)","(0.9982403099536896,)","(0.9902623885207706,)","(0.9904004083739386,)","(0.9985259201791551,)","(0.990529254410002,)","(0.9729402171240913,)","(0.9610680792066786,)","(0.9967102269331615,)","(0.9993026747471756,)","(0.9892400317721897,)","(0.9890297889709473,)","(0.9345307191212973,)"
6,"(0.7059054268731011,)","(0.8676279809739855,)","(0.8926202668084039,)","(0.9949622124433517,)","(0.9971733225716485,)","(0.9976948870552911,)","(0.9473943127526178,)","(0.9838697128825717,)","(0.9794263945685493,)","(0.9976165811220805,)","(0.9935532046688927,)","(0.9922731180985769,)","(0.9978475451469422,)","(0.9868093477355109,)","(0.9243352254231771,)","(0.9023209359910753,)","(0.9997762070761786,)","(0.9852946162223816,)","(0.9990254539582465,)","(0.9209305339389378,)"
7,"(0.9028148121303983,)","(0.888745477464464,)","(0.9187540266248915,)","(0.9809336185455322,)","(0.9955961866511239,)","(0.9805425537957085,)","(0.9978090749846564,)","(0.9997740242216322,)","(0.9936876277128855,)","(0.9983417954709795,)","(0.9908079809612698,)","(0.9955471396446228,)","(0.9922717418935564,)","(0.990118318133884,)","(0.9975805867049429,)","(0.9913368887371488,)","(0.9928799437152015,)","(0.9878486063745286,)","(0.9959602875841989,)","(0.9371264987521701,)"
8,"(0.8094965616861979,)","(0.8653453614976672,)","(0.9078537411159939,)","(0.9966794795460171,)","(0.9986610651016236,)","(0.9959465185801188,)","(0.9988564648562007,)","(0.9934963252809312,)","(0.9949981934494443,)","(0.9997456161098348,)","(0.9974982576237784,)","(0.9955647074513965,)","(0.9833266152275933,)","(0.9908118499649896,)","(0.9516470379299588,)","(0.939045164320204,)","(0.9613390737109714,)","(0.9882293846872118,)","(0.9794038348727756,)","(0.7342312706841363,)"
9,"(0.9921084973547194,)","(0.7281887478298611,)","(0.9953667432069778,)","(0.9790802478790284,)","(0.9919429838657379,)","(0.996495615111457,)","(0.9961099396149318,)","(0.9985477147830857,)","(0.9977490216493606,)","(0.9998912473519643,)","(0.9995228697856268,)","(0.9977488146887885,)","(0.9973643806245592,)","(0.9811635030640496,)","(0.9896402517954509,)","(0.9825500276353624,)","(0.9047505908542209,)","(0.9190368334452311,)","(0.9225667635599772,)","(0.9616989003287422,)"
10,"(0.5830321417914497,)","(0.7870246887207031,)","(0.8011145061916776,)","(0.8082839965820312,)","(0.9976168016592661,)","(0.9655166625976562,)","(0.9960697733693653,)","(0.996951613161299,)","(0.9962636782063379,)","(0.9997743037218849,)","(0.999509769015842,)","(0.9945325321621366,)","(0.9990519205729167,)","(0.977018944422404,)","(0.9793770472208659,)","(0.9712231927447849,)","(0.9498554335700141,)","(0.9984569622410668,)","(0.909396669599745,)",
11,"(0.7499112447102865,)","(0.5348205142550998,)","(0.6139485677083334,)","(0.992389006084866,)","(0.993631551000807,)","(0.9945759197076162,)","(0.99762524879641,)","(0.999234386285146,)","(0.9996016754458348,)","(0.9996055760317378,)","(0.9998674233754475,)","(0.9995366308424208,)","(0.9936887429820167,)","(0.9975256376796299,)","(0.985923421382904,)","(0.9788563357459175,)","(0.9947387033038669,)","(0.9318714989556207,)","(0.9550067583719889,)","(0.7865908092922634,)"
12,"(0.9935748504267798,)","(0.6307018280029297,)","(0.897626601325141,)","(0.9952403810289171,)","(0.9990910579760869,)","(0.9912067307366266,)","(0.9739058494567872,)","(0.9881862534417046,)","(0.9943636099497477,)","(0.9947822676764594,)","(0.9951455172565248,)","(0.9950477192799251,)","(0.9830290476481119,)","(0.9648125039206611,)","(0.99544910689195,)","(0.9734974755181207,)","(0.9884317676226299,)","(0.9755718045764499,)","(0.9458597289191352,)","(0.8664898766411675,)"
13,,"(0.6595746358235677,)","(0.2923279656304253,)","(0.9813476456536188,)","(0.9546765751308866,)","(0.9918698271115621,)","(0.9988858752780491,)","(0.9986026091708078,)","(0.9983052781886524,)","(0.9998173700438605,)","(0.9999270915985108,)","(0.9974106258816189,)","(0.9714019007152981,)","(0.9769560522503323,)","(0.9796325524648031,)","(0.9853221694628398,)","(0.9799594362576802,)","(0.9498340871598986,)","(0.9906508684158325,)",
14,"(0.9382732603285048,)","(0.6296875,)","(0.6821384429931641,)","(0.9472470654381646,)","(0.9246137883928087,)","(0.974473155869378,)","(0.992267268233829,)","(0.9994714006781578,)","(0.9990182086825371,)","(0.98906948433982,)","(0.9401568836636014,)","(0.9423794216579862,)","(0.9935383154286279,)","(0.9954958972003725,)","(0.9348091973198784,)","(0.9690502802530925,)","(0.9948035723633236,)","(0.9815672132703993,)",,
15,"(0.5493970659044054,)","(0.5111608293321397,)","(0.5955662197536893,)","(0.8743933147854275,)","(0.8301872889200846,)","(0.8173532274034288,)","(0.9788740396499633,)","(0.9873315917121039,)","(0.9897767808702257,)","(0.9581353584925334,)","(0.9847937769360012,)","(0.9512020323011611,)","(0.9924603740374247,)","(0.9213337792290581,)","(0.8431512620713976,)","(0.9481477525499132,)","(0.9050746281941732,)","(0.8920440673828125,)","(0.7858700434366862,)",
16,"(0.09343761867947042,)",,"(0.5171828375922309,)","(0.9542483329772949,)","(0.7128691991170247,)","(0.9130029360453288,)","(0.9094836129082574,)","(0.9308562172783745,)","(0.989602251847585,)","(0.9969244423839781,)","(0.8793972863091363,)","(0.9803907937473721,)","(0.9903246588177151,)","(0.9748818609449599,)","(0.9937398195266723,)","(0.7471900516086154,)","(0.8949573092990452,)","(0.8411468717787001,)",,"(0.996366806825002,)"
17,,,"(0.23732935587565096,)","(0.9296613481309679,)","(0.8434262699551053,)","(0.9168062422010633,)","(0.9228576236300998,)","(0.9307464917500814,)","(0.9991596433851454,)","(0.9914678997463651,)","(0.9697922600640191,)","(0.9825495110617743,)","(0.9786163475778368,)","(0.9517375098334419,)","(0.9977283689710829,)","(0.6345615810818142,)","(0.7127023273044162,)","(0.7702230665418837,)",,
18,,,,,"(0.4715750800238715,)","(0.7812367757161458,)","(0.6759538650512695,)","(0.8551469167073568,)","(0.9396353509691027,)","(0.9963734944661459,)","(0.9551839616563585,)","(0.9920352088080512,)","(0.9748076809777154,)","(0.9412558237711588,)","(0.13456141153971346,)","(0.76270997789171,)","(0.7322015550401475,)","(0.970072873433431,)",,
19,,,,,"(0.31027069091796877,)","(0.2979556613498263,)",,"(0.7142587661743164,)","(0.9426441828409831,)","(0.9430650287204319,)","(0.9570399496290419,)","(0.957150912284851,)","(0.954969957139757,)",,,,"(0.5627191331651475,)",,,
