,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,1,2,1,2,2,1,0,1,1,0,0,0,1
1,0,0,0,0,0,0,1,2,1,2,3,2,2,3,2,0,1,0,0,0
2,0,0,0,0,0,1,2,3,2,1,4,3,3,2,1,1,3,0,0,0
3,0,0,0,2,2,2,2,2,3,3,2,4,2,4,4,3,2,1,1,0
4,0,1,0,1,1,2,4,3,4,6,2,5,3,4,4,3,2,2,0,0
5,0,2,0,1,3,2,3,4,5,3,3,5,3,5,2,2,1,2,2,0
6,0,2,1,3,2,3,4,5,3,6,5,2,4,3,4,3,1,1,1,1
7,1,1,1,4,4,6,2,5,6,5,8,6,2,4,6,3,3,1,1,1
8,1,1,0,4,6,4,7,5,5,5,6,6,5,3,5,2,1,2,1,1
9,0,1,3,4,6,7,6,5,6,15,8,8,6,9,3,3,1,1,2,2
10,0,2,3,3,4,5,8,4,6,5,8,7,7,8,6,2,2,4,2,0
11,1,4,3,3,2,7,4,6,4,8,8,9,8,6,5,3,2,1,1,1
12,1,2,4,3,3,4,4,5,4,4,4,5,3,5,3,2,3,1,3,2
13,1,2,4,4,5,4,6,3,2,3,5,3,5,2,3,3,1,3,1,3
14,1,1,3,2,4,3,1,4,3,2,6,4,5,6,2,2,2,2,3,1
15,1,3,1,2,3,4,3,7,6,3,3,2,4,4,5,2,2,2,1,1
16,0,0,1,3,3,3,4,4,4,5,3,5,1,5,2,3,1,1,1,0
17,0,1,0,3,2,2,4,2,2,2,3,3,3,2,2,3,1,0,1,0
18,0,0,1,1,2,2,2,3,2,3,2,2,2,3,2,1,2,1,0,0
19,0,1,0,1,1,1,2,2,1,4,3,2,1,2,0,1,1,0,0,0
