,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.301311, -7.1863875)]","[(-9.894294, -6.8452287)]","[(-9.788639, -5.747245)]","[(-9.732723, -4.664778)]","[(-9.54449, -3.135213)]","[(-9.701249, -2.3402975)]","[(-9.927212, -1.7222596)]","[(-9.391353, -0.46672606)]","[(-9.023765, 0.22961782)]","[(-9.925286, 1.0346044)]","[(-9.628636, 2.8191004)]","[(-9.172002, 3.3079143)]","[(-9.351591, 4.61053)]","[(-9.377381, 5.14448)]",[],"[(-9.011508, 7.370401)]",[],[]
1,[],[],"[(-8.775819, -7.7964625)]","[(-8.966837, -6.3134522)]","[(-8.726255, -5.795364)]","[(-8.953841, -4.2468185)]","[(-8.923901, -3.768837)]","[(-8.14552, -2.564036)]","[(-8.831982, -1.3826749)]","[(-8.735734, -0.98075825)]","[(-8.024633, 0.07553957)]","[(-8.500995, 1.137683)]","[(-8.312175, 2.191058)]","[(-8.809913, 3.0531104)]","[(-8.465947, 4.461426)]","[(-8.784263, 5.9995646)]","[(-8.687816, 6.828639)]","[(-8.88976, 7.413793)]",[],[]
2,[],"[(-7.0103846, -8.479285)]","[(-7.880174, -7.2220044)]","[(-7.4870324, -6.231613)]","[(-7.8912086, -5.7501497)]","[(-7.8009, -4.3451166)]","[(-7.5216646, -3.6187766)]","[(-7.8542385, -2.63846)]","[(-7.348857, -1.2424986)]","[(-7.1615696, -0.3762483)]","[(-7.730584, 0.75159776)]","[(-7.695718, 1.6009145)]","[(-7.00912, 2.5523136)]","[(-7.5543227, 3.4826343)]","[(-7.0975404, 4.7022724)]","[(-7.1464753, 5.2492123)]","[(-7.3620358, 6.986518)]","[(-7.1590667, 7.020618)]","[(-7.676862, 8.5355835)]",[]
3,"[(-6.230419, -9.521093)]","[(-6.6499715, -8.839065)]","[(-6.3971124, -7.2052913)]","[(-6.4524374, -6.7637343)]","[(-6.8696933, -5.664503)]","[(-6.933418, -4.4189525)]","[(-6.5398045, -3.3792343)]","[(-6.0524464, -2.5070405)]","[(-6.0008044, -1.5970485)]","[(-6.229074, -0.5698247)]","[(-6.101274, 0.19486229)]","[(-6.4842362, 1.8407184)]","[(-6.0902724, 2.721339)]","[(-6.4627852, 3.7844343)]","[(-6.215365, 4.4050713)]","[(-6.600622, 5.1973963)]","[(-6.592737, 6.566946)]","[(-6.6885233, 7.1469393)]","[(-6.594434, 8.020083)]",[]
4,"[(-5.796746, -9.401581)]","[(-5.6488585, -8.35753)]","[(-5.2947755, -7.507259)]","[(-5.424873, -6.593524)]","[(-5.6415687, -5.660711)]","[(-5.0365696, -4.8442516)]","[(-5.934073, -3.9760704)]","[(-5.288736, -2.147084)]","[(-5.0878057, -1.6103445)]","[(-5.52103, -0.1681411)]","[(-5.0689154, 0.43863457)]","[(-5.238232, 1.782939)]","[(-5.218865, 2.0652666)]","[(-5.639203, 3.786395)]","[(-5.1689334, 4.1084137)]","[(-5.7916274, 5.7420273)]","[(-5.1077075, 6.965028)]","[(-5.662996, 7.063487)]","[(-5.600503, 8.719902)]","[(-5.781416, 9.996948)]"
5,"[(-4.541406, -9.425343)]","[(-4.9824634, -8.041712)]","[(-4.2331734, -7.1161985)]","[(-4.4544644, -6.435639)]","[(-4.324984, -5.2513976)]","[(-4.9086065, -4.0746284)]","[(-4.975414, -3.8450866)]","[(-4.4992023, -2.2934556)]","[(-4.1686444, -1.6493076)]","[(-4.8361087, -0.6563248)]","[(-4.04217, 0.35788837)]","[(-4.7179236, 1.4421575)]","[(-4.628894, 2.931043)]","[(-4.9475327, 3.318102)]","[(-4.2201138, 4.43368)]","[(-4.4107046, 5.8434844)]","[(-4.3440413, 6.2287703)]","[(-4.0678163, 7.507378)]","[(-4.042106, 8.7641945)]","[(-4.863623, 9.237863)]"
6,"[(-3.3524745, -9.495715)]","[(-3.175918, -8.545404)]","[(-3.1062508, -7.402636)]","[(-3.6546364, -6.234349)]","[(-3.0174055, -5.0260005)]","[(-3.0400515, -4.4718595)]","[(-3.2326674, -3.7690976)]","[(-3.7371995, -2.4325671)]","[(-3.4984176, -1.276306)]","[(-3.0363748, -0.33583823)]","[(-3.9808102, 0.204528)]","[(-3.9383805, 1.618051)]","[(-3.4903464, 2.1554124)]","[(-3.471351, 3.2059746)]","[(-3.2887418, 4.0250063)]","[(-3.4321556, 5.986193)]","[(-3.7137368, 6.5498676)]","[(-3.9945002, 7.1642647)]","[(-3.1029124, 8.474405)]","[(-3.743089, 9.4111)]"
7,"[(-2.0705955, -9.564683)]","[(-2.372213, -8.159228)]","[(-2.569473, -7.889273)]","[(-2.850249, -6.060963)]","[(-2.1403573, -5.0825834)]","[(-2.7009678, -4.300125)]","[(-2.1220517, -3.5482347)]","[(-2.169161, -2.170093)]","[(-2.758361, -1.6697335)]","[(-2.0322137, -0.81301504)]","[(-2.774989, 0.6434757)]","[(-2.6105986, 1.237758)]","[(-2.3476303, 2.6950278)]","[(-2.2541282, 3.3371987)]","[(-2.9645479, 4.3973885)]","[(-2.0101123, 5.1863227)]","[(-2.8759031, 6.868101)]","[(-2.912082, 7.714011)]","[(-2.7374103, 8.610826)]","[(-2.8544862, 9.139347)]"
8,"[(-1.9799851, -9.2405615)]","[(-1.4984528, -8.554732)]","[(-1.1361194, -7.0191584)]","[(-1.2389289, -6.5982966)]","[(-1.6989461, -5.1033187)]","[(-1.1113638, -4.079067)]","[(-1.2402627, -3.3321598)]","[(-1.7429954, -2.3468332)]","[(-1.2252728, -1.5238212)]","[(-1.5357589, -0.8194175)]","[(-1.5508482, 0.9063174)]","[(-1.4253272, 1.4366333)]","[(-1.3024082, 2.4084532)]","[(-1.7942921, 3.6658518)]","[(-1.1865491, 4.3775535)]","[(-1.8337665, 5.3597045)]","[(-1.4283568, 6.682243)]","[(-1.8538802, 7.2952604)]","[(-1.3289372, 8.76022)]","[(-1.3213445, 9.554005)]"
9,"[(-0.80064654, -9.279276)]","[(-0.68546, -8.86291)]","[(-0.75759673, -7.067387)]","[(-0.20935962, -6.6528115)]","[(-0.80146754, -5.6428423)]","[(-0.38665324, -4.698989)]","[(-0.90291023, -3.0715418)]","[(-0.47875625, -2.494835)]","[(-0.49116552, -1.4135563)]","[(-0.47942266, -0.4658039)]","[(-0.2092865, 0.48963824)]","[(-0.5958479, 1.0207214)]","[(-0.3359668, 2.5115805)]","[(-0.27991548, 3.6044524)]","[(-0.609484, 4.817715)]","[(-0.60594994, 5.4088583)]","[(-0.39137873, 6.5369325)]","[(-0.7552208, 7.9798)]","[(-0.44042444, 8.376679)]","[(-0.50456226, 9.899562)]"
