,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,"(0.45573336283365884,)","(0.9705579121907552,)","(0.8781427171495225,)","(0.9859730958938598,)","(0.9874154249827067,)","(0.9931479116280874,)","(0.9922955811023713,)","(0.8181154674953884,)","(0.9273339165581598,)","(0.8471780141194661,)","(0.7638718499077691,)","(0.894270388285319,)","(0.830112796359592,)","(0.8851088417900933,)",,,"(0.45616243150499125,)"
1,,"(0.7124955495198568,)","(0.6074684566921658,)","(0.8283014085557725,)","(0.9740526835123698,)","(0.9933333939976162,)","(0.9917810175153944,)","(0.9240037494235569,)","(0.9625476307339138,)","(0.9631344689263238,)","(0.9988904317220052,)","(0.9832994487550524,)","(0.9943617396884494,)","(0.9767223225699531,)","(0.9138114081488715,)","(0.9626920964982775,)","(0.8866112285190159,)",,"(0.9417728212144639,)","(0.9879498574468825,)"
2,"(0.6125162760416667,)",,"(0.6504603491889106,)","(0.988668770260281,)","(0.9523720529344347,)","(0.9053419748942058,)","(0.9831550452444289,)","(0.9638994216918946,)","(0.9938671853807237,)","(0.9913516653908624,)","(0.9922346121735043,)","(0.980162427160475,)","(0.9679679022894965,)","(0.9991271542178259,)","(0.9405672550201416,)","(0.912927770614624,)","(0.9282290723588732,)","(0.9242290920681424,)","(0.4260169135199653,)","(0.8505407333374023,)"
3,"(0.7997566858927408,)","(0.9369989448123508,)","(0.9465745713975694,)","(0.9790574603610569,)","(0.8161481645372178,)","(0.9291095521714953,)","(0.9830395314428542,)","(0.8684948603312175,)","(0.977877598338657,)","(0.9731599701775445,)","(0.9737170139948527,)","(0.976854501830207,)","(0.9889263398117489,)","(0.940941826502482,)","(0.9985069238477283,)","(0.9175741407606337,)","(0.9898651970757378,)","(0.9698861413531833,)","(0.985728367169698,)","(0.9372408443027073,)"
4,"(0.9587994681464301,)","(0.912276930279202,)","(0.7617176055908204,)","(0.8325168185763889,)","(0.9295156531863742,)","(0.8885527716742622,)","(0.9012375089857313,)","(0.9998971899350484,)","(0.9954899470011394,)","(0.9951825744575924,)","(0.9636298788918389,)","(0.9912109037240346,)","(0.9202198611365424,)","(0.9744164148966471,)","(0.9806004603703816,)","(0.9619766500261094,)","(0.9706279622183905,)","(0.9930752277374267,)","(0.9783813714981079,)","(0.8307699839274089,)"
5,"(0.9502797232733833,)","(0.960101678636339,)","(0.9678243743048773,)","(0.7802708519829644,)","(0.9939852436383565,)","(0.8817208713955349,)","(0.9926774594518873,)","(0.9832806216345893,)","(0.9896468487050798,)","(0.9821922938028972,)","(0.9617748657862345,)","(0.9747555096944173,)","(0.9327034049563938,)","(0.9542056189643012,)","(0.9756089925765992,)","(0.9956104218959808,)","(0.9581506252288818,)","(0.9956598069932726,)","(0.9361417611440023,)","(0.780531480577257,)"
6,"(0.907872814602322,)","(0.9739150232738919,)","(0.8769383006625705,)","(0.9824040412902832,)","(0.9797362009684245,)","(0.9929662704467773,)","(0.9214065551757813,)","(0.9994069440911214,)","(0.9951890468597412,)","(0.9952469375398424,)","(0.9895030531618331,)","(0.9951347774929471,)","(0.9884505033493042,)","(0.9744572109646268,)","(0.9850516504711575,)","(0.9953209393554263,)","(0.9667055474387275,)","(0.9682957967122395,)","(0.9296513663397895,)","(0.8715166197882758,)"
7,"(0.9083410051133898,)","(0.967574307653639,)","(0.9772975948121813,)","(0.9269559860229493,)","(0.9610639519161648,)","(0.9599724451700846,)","(0.9453922271728515,)","(0.9786741468641493,)","(0.9933800114525689,)","(0.99500313103199,)","(0.9971483806769054,)","(0.9881091237068176,)","(0.9976307779550553,)","(0.997682956357797,)","(0.9978416177961561,)","(0.8765723122490777,)","(0.9897916369967991,)","(0.9662710295783149,)","(0.9267113155788845,)","(0.9630904250674778,)"
8,"(0.985364376174079,)","(0.9790859580039978,)","(0.9985823263724645,)","(0.9956839233636856,)","(0.98515651623408,)","(0.9895711296134525,)","(0.9766024324629042,)","(0.9996868318981594,)","(0.9950161404079861,)","(0.9993239170975156,)","(0.9975889543692271,)","(0.9987819380230374,)","(0.998678939210044,)","(0.9940618640846677,)","(0.9510890324910481,)","(0.9449382570054796,)","(0.929220888349745,)","(0.8554345448811849,)","(0.8938168949551053,)","(0.7725322511461046,)"
9,"(0.995523046122657,)","(0.7181564331054687,)","(0.9424112108018663,)","(0.9905498994721307,)","(0.9945212523142497,)","(0.99448145892885,)","(0.9961284200350443,)","(0.9952850285503599,)","(0.9972814644376436,)","(0.9997780667410956,)","(0.9996441610157489,)","(0.9991321881612142,)","(0.9993668993314108,)","(0.9991510221527682,)","(0.9913157675001356,)","(0.9472054163614909,)","(0.8995579295688205,)","(0.8949398888481988,)","(0.9253684732649061,)","(0.902754889594184,)"
10,"(0.9361430168151855,)","(0.9549562083350287,)","(0.9611914263831245,)","(0.9921145723925696,)","(0.970069169998169,)","(0.976519775390625,)","(0.9875230736202664,)","(0.9993433634440104,)","(0.999004136522611,)","(0.9999250306023492,)","(0.999639910997616,)","(0.9993826624419954,)","(0.9624589708116319,)","(0.9916062672932943,)","(0.9704991499582927,)","(0.9884130067295498,)","(0.9481832822163899,)","(0.978706709543864,)","(0.9472411420610216,)","(0.9901922722657521,)"
11,"(0.9366999838087293,)","(0.9492251925998264,)","(0.9716684103012085,)","(0.9990915351443821,)","(0.9853941387600369,)","(0.9967311279641258,)","(0.9964780161778132,)","(0.9950658235285017,)","(0.9965855615006552,)","(0.9999043676588271,)","(0.9967450088924832,)","(0.9924704432487488,)","(0.9890259385108948,)","(0.9871120611826579,)","(0.9979210111829969,)","(0.9466948297288683,)","(0.9900167531437344,)","(0.8376417371961805,)","(0.9934305528799693,)","(0.9991190738148159,)"
12,"(0.9311262130737304,)","(0.9968625181251102,)","(0.9200302441914876,)","(0.942293898264567,)","(0.9828540802001953,)","(0.9801717387305365,)","(0.9926111857096355,)","(0.9877877844704522,)","(0.9856069101227655,)","(0.9993354697608285,)","(0.9854133937093946,)","(0.9922934333483379,)","(0.999209561281734,)","(0.9875889076126947,)","(0.9759277290768094,)","(0.9040926827324761,)","(0.8360149807400173,)","(0.9765954971313476,)","(0.9898156517081791,)","(0.9596677038404676,)"
13,"(0.9514602979024251,)","(0.9430561277601454,)","(0.9987701800134446,)","(0.9808810101615058,)","(0.9958348946438895,)","(0.9898824055989583,)","(0.9881386836369832,)","(0.9983836318055789,)","(0.9579521285163032,)","(0.9576281865437826,)","(0.9957423776388168,)","(0.982258160909017,)","(0.9903953605228,)","(0.9908975183963775,)","(0.9897505124409993,)","(0.9865480979283651,)","(0.8469185723198784,)","(0.9649765862358941,)","(0.911849233839247,)","(0.9559969398710463,)"
14,"(0.9655015150705973,)","(0.9704465786616008,)","(0.9744462728500366,)","(0.9888981123765309,)","(0.9680711269378662,)","(0.9191456370883517,)","(0.9908580667442746,)","(0.9948877609438367,)","(0.9858870877159966,)","(0.9862112296952141,)","(0.9886795812182956,)","(0.9833708975050185,)","(0.9854541367954678,)","(0.9468635982937283,)","(0.9883069356282552,)","(0.9584760771857368,)","(0.976758148935106,)","(0.9234221034579807,)","(0.6034430185953776,)","(0.9992618103822072,)"
15,"(0.9165353563096789,)","(0.9827611472871568,)","(0.895644728342692,)","(0.9607872009277344,)","(0.9715372403462728,)","(0.9831487072838677,)","(0.9818721506330702,)","(0.9568576547834609,)","(0.9856853750016954,)","(0.9593322965833876,)","(0.9456547366248237,)","(0.9979633490244547,)","(0.99206569592158,)","(0.9978418095244301,)","(0.9978188832600912,)","(0.9941970540417565,)","(0.9580920033984714,)","(0.9784132798512777,)","(0.8181919521755643,)",
16,"(0.6483008490668403,)","(0.6306778377956814,)","(0.9252119594150119,)","(0.921125766966078,)","(0.9532907221052381,)","(0.9723915285534329,)","(0.9450099839104547,)","(0.9406740188598632,)","(0.8981649186876085,)","(0.9797678960694207,)","(0.9863002141316731,)","(0.9928617795308431,)","(0.996441548731592,)","(0.9803513844807943,)","(0.9374575826856825,)","(0.9845683521694607,)","(0.9425390137566461,)","(0.3861566755506727,)",,
17,"(0.8634632958306206,)","(0.8447402424282497,)","(0.9212246841854519,)","(0.9058556238810221,)","(0.974500134256151,)","(0.9697121938069662,)","(0.9966319209999508,)","(0.985022947523329,)","(0.8512185520595974,)","(0.8901995446946885,)","(0.9099766625298394,)","(0.9822794304953681,)","(0.9939665595690409,)","(0.9417208618587918,)","(0.9552245352003309,)","(0.7702631208631727,)","(0.9918138331837124,)","(0.8045579698350694,)","(0.7817129558987088,)",
18,,"(0.69171265496148,)","(0.9689308007558187,)","(0.9190745724572076,)","(0.9206860171424018,)","(0.9685647434658474,)","(0.7891678280300565,)","(0.995977133512497,)","(0.9993151485919952,)","(0.8495000309414333,)","(0.9958641135030323,)","(0.9708447085486518,)","(0.9768725925021702,)","(0.997137615415785,)","(0.6692265616522894,)","(0.5595614115397135,)",,,,
19,"(0.7607349607679579,)","(0.8046250025431315,)","(0.9555434438917372,)","(0.8752971013387044,)","(0.8842163297865125,)","(0.9941070980495876,)","(0.9930463406774733,)","(0.9867478211720785,)","(0.9875820451312595,)","(0.9859214226404825,)","(0.9024977366129557,)","(0.9597773234049479,)","(0.9719595061408148,)","(0.8200436486138238,)","(0.9151123682657878,)","(0.4814041561550564,)",,,,
