,0
0,9
1,27
2,41
3,74
4,150
5,166
6,213
7,235
8,258
9,280
10,289
11,290
12,307
13,323
14,344
15,352
16,360
17,385
18,393
19,399
20,405
21,408
22,413
23,426
24,432
25,457
26,458
27,460
28,468
29,472
30,475
31,477
32,480
33,482
34,485
35,487
36,489
37,493
38,516
39,529
40,531
41,536
42,549
43,550
44,552
45,553
46,558
47,561
48,568
49,571
50,580
51,583
52,586
53,588
54,589
55,591
56,594
57,595
58,601
59,603
60,605
61,606
62,608
63,609
64,611
65,618
66,619
67,623
68,624
69,630
70,632
71,633
72,654
73,660
74,666
75,667
76,672
77,673
78,674
79,676
80,677
81,682
82,691
83,694
84,699
85,713
86,716
87,717
88,725
89,727
90,735
91,741
92,746
93,756
94,764
95,765
96,767
97,769
98,773
99,774
100,776
101,777
102,783
103,785
104,786
105,788
106,793
107,795
108,796
109,798
110,801
111,804
112,808
113,812
114,816
115,818
116,820
117,821
118,822
119,824
120,825
121,827
122,828
123,829
124,831
125,832
126,834
127,842
128,844
129,845
130,846
131,849
132,853
133,858
134,860
135,861
136,864
137,869
138,871
139,874
140,877
141,880
142,881
143,882
144,883
145,885
146,890
147,891
148,893
149,895
150,897
151,900
152,904
153,905
154,911
155,913
156,914
157,915
158,921
159,922
160,925
161,927
162,929
163,930
164,931
165,932
166,933
167,934
168,936
169,938
170,939
171,941
172,946
173,947
174,948
175,949
176,951
177,952
178,954
179,957
180,960
181,961
182,963
183,965
184,967
185,968
186,969
187,971
188,972
189,974
190,975
191,976
192,978
193,979
194,980
195,981
196,983
197,984
198,985
199,986
200,987
201,989
202,991
203,992
204,996
205,998
206,1001
207,1003
208,1006
209,1011
210,1012
211,1013
212,1015
213,1018
214,1020
215,1021
216,1022
217,1023
218,1025
219,1026
220,1028
221,1031
222,1033
223,1034
224,1038
225,1039
226,1042
227,1046
228,1048
229,1051
230,1053
231,1054
232,1055
233,1056
234,1057
235,1059
236,1060
237,1061
238,1065
239,1066
240,1068
241,1069
242,1070
243,1072
244,1073
245,1075
246,1077
247,1080
248,1081
249,1082
250,1085
251,1087
252,1088
253,1089
254,1090
255,1091
256,1092
257,1093
258,1094
259,1095
260,1097
261,1098
262,1099
263,1100
264,1102
265,1103
266,1107
267,1109
268,1110
269,1111
270,1115
271,1117
272,1118
273,1119
274,1122
275,1123
276,1124
277,1125
278,1126
279,1128
280,1129
281,1130
282,1132
283,1133
284,1134
285,1135
286,1138
287,1139
288,1141
289,1142
290,1143
291,1144
292,1145
293,1146
294,1147
295,1149
296,1150
297,1151
298,1152
299,1153
300,1154
301,1155
302,1156
303,1157
304,1158
305,1159
306,1160
307,1162
308,1163
309,1164
310,1165
311,1166
312,1167
313,1168
314,1169
315,1171
316,1172
317,1173
318,1177
319,1178
320,1179
321,1180
322,1181
323,1182
324,1183
325,1184
326,1185
327,1186
328,1188
329,1189
330,1190
331,1191
332,1192
333,1193
334,1194
335,1195
336,1196
337,1197
338,1198
339,1199
340,1200
341,1201
342,1202
343,1203
344,1204
345,1205
346,1206
347,1207
348,1208
349,1209
350,1210
351,1211
352,1212
353,1213
354,1214
355,1215
356,1216
357,1217
358,1218
359,1219
360,1220
361,1221
362,1222
363,1223
364,1224
365,1225
366,1226
367,1227
368,1228
369,1229
