,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],"[(-9.070114, -8.638625)]","[(-9.624674, -7.91757)]","[(-9.38156, -6.5047717)]","[(-9.388087, -5.028467)]","[(-9.111143, -4.0888534)]","[(-9.478431, -3.3495722)]","[(-9.270293, -2.5252078)]","[(-9.436935, -1.7962123)]","[(-9.475353, -0.48552704)]","[(-9.65117, 0.5723806)]","[(-9.223664, 1.4541669)]","[(-9.544884, 2.3757803)]","[(-9.620526, 3.631028)]","[(-9.141032, 4.835964)]","[(-9.202804, 5.1473613)]","[(-9.155341, 6.1602464)]","[(-9.127448, 7.3362064)]","[(-9.22855, 8.291193)]",[]
1,"[(-8.477555, -9.053945)]","[(-8.763942, -8.101889)]","[(-8.927669, -7.0551987)]","[(-8.931455, -6.908359)]","[(-8.922528, -5.176581)]","[(-8.289855, -4.624196)]","[(-8.608894, -3.8507657)]","[(-8.367497, -2.2692947)]","[(-8.541126, -1.0555027)]","[(-8.334746, -0.5358554)]","[(-8.029193, 0.78510135)]","[(-8.467766, 1.837698)]","[(-8.348359, 2.8379695)]","[(-8.559802, 3.7883809)]","[(-8.036215, 4.3685493)]","[(-8.586947, 5.2754545)]","[(-8.025081, 6.574062)]","[(-8.047476, 7.870309)]","[(-8.730897, 8.076837)]",[]
2,[],"[(-7.906555, -8.662802)]","[(-7.9596853, -7.136382)]","[(-7.355297, -6.554511)]","[(-7.7681727, -5.900681)]","[(-7.4932666, -4.1221275)]","[(-7.427386, -3.3491528)]","[(-7.505069, -2.77523)]","[(-7.6438155, -1.3422573)]","[(-7.145905, -0.13013616)]","[(-7.7624707, 0.19333531)]","[(-7.899945, 1.446984)]","[(-7.0534124, 2.7384253)]","[(-7.831411, 3.0599344)]","[(-7.47065, 4.401636)]","[(-7.923182, 5.2968507)]","[(-7.6552377, 6.6575828)]","[(-7.746884, 7.6511626)]","[(-7.0321045, 8.363601)]","[(-7.4335685, 9.173655)]"
3,"[(-6.415339, -9.9196615)]","[(-6.2098846, -8.099387)]","[(-6.8954983, -7.44282)]","[(-6.753955, -6.9958124)]","[(-6.639677, -5.576165)]","[(-6.72527, -4.0478754)]","[(-6.2045918, -3.7704315)]","[(-6.1921244, -2.2075417)]","[(-6.2102637, -1.4515893)]","[(-6.8079014, -0.6009314)]","[(-6.5611033, 0.08575786)]","[(-6.2938495, 1.5030978)]","[(-6.2245255, 2.0434856)]","[(-6.3064404, 3.9786038)]","[(-6.965219, 4.2498264)]","[(-6.4032655, 5.9824944)]","[(-6.103924, 6.654496)]","[(-6.896965, 7.3513904)]","[(-6.5900903, 8.880048)]","[(-6.4385343, 9.435931)]"
4,"[(-5.037905, -9.741437)]","[(-5.929956, -8.306483)]","[(-5.491902, -7.3661175)]","[(-5.081956, -6.4094496)]","[(-5.7671113, -5.686621)]","[(-5.6414905, -4.9198017)]","[(-5.831675, -3.3161163)]","[(-5.004178, -2.6336768)]","[(-5.168768, -1.6989697)]","[(-5.450459, -0.8986169)]","[(-5.4526134, 0.2776488)]","[(-5.506014, 1.1630946)]","[(-5.5471005, 2.8263533)]","[(-5.630837, 3.5117564)]","[(-5.3055587, 4.2722263)]","[(-5.9499354, 5.2090926)]","[(-5.83665, 6.3678875)]","[(-5.953528, 7.3829727)]","[(-5.4287767, 8.813781)]","[(-5.350918, 9.112453)]"
5,"[(-4.225902, -9.542534)]","[(-4.1771855, -8.923132)]","[(-4.635973, -7.739305)]","[(-4.3918457, -6.3812547)]","[(-4.3339667, -5.949313)]","[(-4.2350106, -4.024312)]","[(-4.940707, -3.6447067)]","[(-4.9777994, -2.8756313)]","[(-4.528269, -1.7647386)]","[(-4.432704, -0.846038)]","[(-4.94305, 0.5125547)]","[(-4.3672953, 1.1484996)]","[(-4.099301, 2.1664479)]","[(-4.0432262, 3.063463)]","[(-4.0102596, 4.6972566)]","[(-4.8132, 5.9753757)]","[(-4.7747264, 6.5018554)]","[(-4.2082205, 7.290144)]","[(-4.587303, 8.429337)]","[(-4.179296, 9.615396)]"
6,"[(-3.9464922, -9.140035)]","[(-3.4390368, -8.820925)]","[(-3.33873, -7.459922)]","[(-3.0792353, -6.3657665)]","[(-3.2731426, -5.377957)]","[(-3.2373402, -4.67471)]","[(-3.3916128, -3.3304584)]","[(-3.442372, -2.8652074)]","[(-3.0224109, -1.4360217)]","[(-3.2705364, -0.6893777)]","[(-3.5191383, 0.21381027)]","[(-3.7800221, 1.9613935)]","[(-3.1651018, 2.9361835)]","[(-3.6862187, 3.5235713)]","[(-3.9647534, 4.4082513)]","[(-3.2724023, 5.0105767)]","[(-3.9425392, 6.399685)]","[(-3.8678532, 7.321652)]","[(-3.8314793, 8.963495)]","[(-3.786414, 9.526955)]"
7,"[(-2.9741588, -9.059956)]","[(-2.3611727, -8.6079855)]","[(-2.3818047, -7.635102)]","[(-2.030689, -6.8565702)]","[(-2.6592245, -5.852547)]","[(-2.3556325, -4.2253776)]","[(-2.7406855, -3.621865)]","[(-2.9674325, -2.6707013)]","[(-2.5118752, -1.6901106)]","[(-2.2268555, -0.84961605)]","[(-2.2283275, 0.16370717)]","[(-2.867379, 1.2305287)]","[(-2.3095582, 2.780032)]","[(-2.0896513, 3.4371648)]","[(-2.4357903, 4.433686)]","[(-2.601122, 5.055942)]","[(-2.9669917, 6.36385)]","[(-2.7075586, 7.7711005)]","[(-2.4080226, 8.542747)]","[(-2.8114789, 9.105032)]"
8,"[(-1.1785661, -9.494608)]","[(-1.3253788, -8.797262)]","[(-1.0300465, -7.410894)]","[(-1.0403658, -6.6568675)]","[(-1.7068728, -5.5267167)]","[(-1.8555329, -4.1009207)]","[(-1.4105546, -3.27536)]","[(-1.9361312, -2.7205575)]","[(-1.0431954, -1.3639936)]","[(-1.3341745, -0.86307293)]","[(-1.778687, 0.7229028)]","[(-1.0680914, 1.0145228)]","[(-1.0540093, 2.8392665)]","[(-1.3564355, 3.1504886)]","[(-1.0396494, 4.5844884)]","[(-1.490467, 5.4316998)]","[(-1.6790221, 6.4118543)]","[(-1.6738918, 7.967173)]","[(-1.3165038, 8.3598)]","[(-1.39365, 9.519119)]"
9,"[(-0.9282471, -9.542379)]","[(-0.36872807, -8.014042)]","[(-0.68018955, -7.238234)]","[(-0.92041016, -6.500961)]","[(-0.6138028, -5.0518823)]","[(-0.7313078, -4.1055384)]","[(-0.9466083, -3.597491)]","[(-0.16663381, -2.2092519)]","[(-0.8070141, -1.4647856)]","[(-0.09213447, -0.3791237)]","[(-0.791525, 0.009101351)]","[(-0.38235888, 1.0279123)]","[(-0.021503106, 2.4111128)]","[(-0.76441944, 3.2567396)]","[(-0.82360923, 4.1205125)]","[(-0.027684813, 5.138427)]","[(-0.6625227, 6.219814)]","[(-0.2693484, 7.7766223)]","[(-0.5673242, 8.378736)]","[(-0.6882374, 9.24252)]"
