,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,49/400,100,62,[0.6426],[0.2831],[0.01],[0.9953],"[-7.4145,-9.4290]","[5.8288,7.2169]",31.49,2092.31
1,algoQD,1,81/400,100,51,[0.6671],[0.2724],[0.0168],[0.9983],"[-7.4145,-9.4290]","[5.8288,8.8121]",54.04,1050.94
2,algoQD,2,106/400,100,45,[0.6642],[0.2993],[0.0065],[0.9987],"[-7.7396,-9.4290]","[6.1456,8.8121]",70.41,1051.86
3,algoQD,3,121/400,100,35,[0.6886],[0.2796],[0.0065],[0.9987],"[-7.7396,-9.4290]","[6.4985,8.8121]",83.33,1051.36
4,algoQD,4,137/400,100,38,[0.7206],[0.2676],[0.0852],[0.9995],"[-8.2899,-9.4290]","[8.2117,8.8121]",98.73,1052.90
5,algoQD,5,155/400,100,36,[0.7249],[0.2618],[0.0322],[0.9995],"[-9.4943,-9.4290]","[8.2117,8.8121]",112.36,1050.06
6,algoQD,6,172/400,100,34,[0.7291],[0.2573],[0.003],[0.9995],"[-9.4943,-9.4290]","[8.2117,9.0583]",125.41,1052.82
7,algoQD,7,183/400,100,27,[0.7446],[0.2509],[0.003],[0.9995],"[-9.4943,-9.4290]","[8.2117,9.0583]",136.26,1051.85
8,algoQD,8,193/400,100,26,[0.7611],[0.2437],[0.003],[0.9995],"[-9.4943,-9.4290]","[9.4737,9.8443]",146.89,1051.99
9,algoQD,9,200/400,100,22,[0.7685],[0.2383],[0.003],[0.9995],"[-9.4943,-9.4290]","[9.4737,9.8443]",153.70,1051.24
10,algoQD,10,208/400,100,23,[0.7747],[0.2352],[0.0278],[0.9995],"[-9.4943,-9.9378]","[9.4737,9.8443]",161.14,1051.20
11,algoQD,11,215/400,100,18,[0.7797],[0.2326],[0.0278],[0.9995],"[-9.4943,-9.9378]","[9.4737,9.8443]",167.63,1053.11
12,algoQD,12,226/400,100,21,[0.7779],[0.2319],[0.0322],[0.9995],"[-9.6074,-9.9378]","[9.4737,9.8443]",175.79,1052.20
13,algoQD,13,236/400,100,24,[0.786],[0.2268],[0.0322],[0.9995],"[-9.6074,-9.9378]","[9.9032,9.8443]",185.50,1051.50
14,algoQD,14,239/400,100,24,[0.8099],[0.2005],[0.0348],[0.9995],"[-9.9529,-9.9378]","[9.9032,9.8443]",193.57,1052.03
15,algoQD,15,245/400,100,17,[0.8082],[0.2062],[0.0348],[0.9995],"[-9.9529,-9.9378]","[9.9032,9.8443]",198.02,1052.80
16,algoQD,16,249/400,100,20,[0.8162],[0.2029],[0.0348],[0.9995],"[-9.9529,-9.9378]","[9.9032,9.8443]",203.24,1053.03
17,algoQD,17,255/400,100,23,[0.8208],[0.2025],[0.0504],[0.9995],"[-9.9529,-9.9378]","[9.9032,9.8443]",209.30,1052.75
