,0
0,90
1,115
2,117
3,127
4,143
5,145
6,173
7,183
8,188
9,195
10,211
11,220
12,224
13,226
14,254
15,259
16,263
17,265
18,279
19,280
20,282
21,288
22,303
23,309
24,311
25,349
26,353
27,354
28,357
29,372
30,379
31,398
32,400
33,410
34,413
35,419
36,427
37,435
38,451
39,457
40,466
41,490
42,501
43,512
44,515
45,528
46,531
47,537
48,539
49,542
50,550
51,553
52,558
53,561
54,567
55,569
56,576
57,580
58,588
59,589
60,599
61,604
62,611
63,614
64,615
65,619
66,623
67,625
68,627
69,638
70,646
71,647
72,648
73,650
74,653
75,655
76,660
77,665
78,667
79,668
80,669
81,682
82,683
83,684
84,689
85,691
86,695
87,699
88,700
89,702
90,704
91,705
92,706
93,709
94,711
95,712
96,713
97,719
98,720
99,723
100,726
101,727
102,729
103,732
104,733
105,738
106,740
107,742
108,746
109,747
110,750
111,753
112,754
113,755
114,758
115,763
116,766
117,782
118,784
119,792
120,795
121,797
122,798
123,799
124,802
125,803
126,806
127,807
128,808
129,809
130,811
131,814
132,816
133,819
134,821
135,824
136,825
137,827
138,828
139,831
140,832
141,836
142,839
143,840
144,841
145,842
146,846
147,849
148,855
149,856
150,858
151,860
152,861
153,862
154,864
155,866
156,868
157,874
158,876
159,879
160,882
161,883
162,885
163,886
164,890
165,891
166,892
167,893
168,898
169,899
170,901
171,903
172,905
173,907
174,910
175,912
176,913
177,914
178,915
179,917
180,919
181,920
182,922
183,923
184,924
185,925
186,926
187,927
188,928
189,930
190,931
191,932
192,933
193,936
194,937
195,938
196,939
197,941
198,942
199,943
200,944
201,945
202,946
203,947
204,950
205,951
206,953
207,954
208,956
209,957
210,959
211,960
212,962
213,963
214,964
215,965
216,966
217,967
218,968
219,969
220,970
221,971
222,972
223,973
224,974
225,975
226,976
227,977
228,979
229,980
230,982
231,984
232,986
233,988
234,989
235,991
236,992
237,994
238,995
239,996
240,997
241,998
242,999
243,1000
244,1001
245,1002
246,1003
247,1004
248,1007
249,1008
250,1009
251,1010
252,1011
253,1012
254,1014
255,1015
256,1016
257,1017
258,1018
259,1020
260,1021
261,1022
262,1023
263,1024
264,1025
265,1026
266,1027
267,1029
268,1030
269,1031
270,1032
271,1033
272,1034
273,1035
274,1036
275,1037
276,1038
277,1039
278,1040
279,1041
280,1042
281,1043
282,1044
283,1045
284,1046
285,1047
286,1048
287,1049
288,1050
289,1051
290,1052
291,1053
292,1054
293,1056
294,1057
295,1058
296,1059
297,1060
298,1061
299,1062
300,1063
301,1064
302,1065
303,1066
