,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,"(0.44733416239420576,)","(0.8530131445990669,)","(0.8146439870198567,)","(0.8773934682210286,)","(0.8686135715908474,)","(0.8931761211819119,)","(0.9061993598937989,)","(0.9656100114186604,)","(0.9732392840915256,)",,"(0.9138643052842882,)",,,,
1,,,,,"(0.5080390082465278,)","(0.8480946752760146,)","(0.9369618680742052,)","(0.9996478968196445,)","(0.9460437191857232,)","(0.9948331183857388,)","(0.9931744840410021,)","(0.9922541194491916,)","(0.9984425066245927,)","(0.9870911531978184,)","(0.9728122764163547,)","(0.8790370835198297,)","(0.9167309655083551,)",,,
2,,,"(0.9751735634273953,)","(0.9812433838844299,)","(0.941053941514757,)","(0.9799180110295613,)","(0.9974505517217848,)","(0.9873431271976895,)","(0.9845282369189792,)","(0.9920058237181769,)","(0.98296260966195,)","(0.9997428300480048,)","(0.9890291710694631,)","(0.958577028910319,)","(0.9717573112911648,)","(0.987591286500295,)","(0.9793703688515557,)",,,
3,,,"(0.9910393834114075,)","(0.9953469885720148,)","(0.9856493446562026,)","(0.9951528920067682,)","(0.9842070460319519,)","(0.9887610077857971,)","(0.9969828099012374,)","(0.9843621677822537,)","(0.999718517727322,)","(0.9958753003014459,)","(0.9970364563994938,)","(0.9855297406514486,)","(0.9729267597198487,)","(0.9588080406188965,)","(0.9957685811652077,)","(0.9538803312513563,)","(0.9676778501934475,)",
4,,,"(0.7796971850925022,)","(0.8707039515177408,)","(0.9501276969909668,)","(0.9096589194403755,)","(0.9704197406768799,)","(0.9481806755065918,)","(0.9908612628777822,)","(0.9995119996368885,)","(0.994619678457578,)","(0.9826106945673625,)","(0.9845126920276218,)","(0.98259613249037,)","(0.9941358831193712,)","(0.9918363802962833,)","(0.9344553046756321,)","(0.9282815509372287,)","(0.697074826558431,)",
5,,"(0.6995466656155056,)","(0.843550173441569,)","(0.9989806317620807,)","(0.9827090952131483,)","(0.8959650887383355,)","(0.981476628780365,)","(0.9794459925757514,)","(0.9932141118579441,)","(0.9992767938309246,)","(0.9792209611998663,)","(0.9697716712951661,)","(0.9691495418548584,)","(0.9945000383589003,)","(0.9999211629231771,)","(0.9864598353703816,)","(0.9908061451382107,)","(0.9952709009250005,)","(0.8818183898925781,)",
6,,"(0.756572257147895,)","(0.859383593665229,)","(0.9544613838195801,)","(0.9823116302490235,)","(0.9721099668078952,)","(0.9328608247968886,)","(0.9970974031421873,)","(0.9982936382293701,)","(0.9986476690404945,)","(0.9853689048025344,)","(0.9880541298124526,)","(0.9932991557651096,)","(0.9712072875764635,)","(0.9847217559814453,)","(0.9869085947672526,)","(0.9935579988691542,)","(0.9933217816882663,)","(0.935332022772895,)","(0.8241985321044922,)"
7,,"(0.6743448045518663,)","(0.9785285976197985,)","(0.9449755827585856,)","(0.9790443115764194,)","(0.9722931146621704,)","(0.8773342980278863,)","(0.932078562842475,)","(0.9861944039662679,)","(0.9494742340511746,)","(0.9844168768988715,)","(0.9907200177510579,)","(0.937256113688151,)","(0.9929529143704309,)","(0.9875831551022,)","(0.9554036829206679,)","(0.9891221370961931,)","(0.9620074563556247,)","(0.9818704181247287,)","(0.9787840048472086,)"
8,,"(0.5975098080105252,)","(0.8896507051255967,)","(0.9697962972852919,)","(0.9778176731533474,)","(0.9642406834496392,)","(0.9795712033907572,)","(0.9887718902693854,)","(0.9988143116235733,)","(0.9995334287898407,)","(0.9955146633916431,)","(0.9997262795766194,)","(0.992293690972858,)","(0.9979706817203098,)","(0.953808863957723,)","(0.974356410238478,)","(0.9990519841512044,)","(0.9740710867775811,)","(0.9812397771411472,)","(0.9568507141537137,)"
9,,"(0.523972913953993,)","(0.4021885765923394,)","(0.8053197436862521,)","(0.9999698941906293,)","(0.9933560517099168,)","(0.9970558481083975,)","(0.9983453697628445,)","(0.9979583104451497,)","(0.999415519585212,)","(0.9999777230951521,)","(0.9959591153595183,)","(0.9987855198482672,)","(0.9935621904002295,)","(0.9974638197157119,)","(0.9843292395273845,)","(0.987675318453047,)","(0.9975739941000938,)","(0.9605531162685819,)","(0.9914968861473932,)"
