,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,29/400,100,43,[0.7806],[0.1801],[0.439],[0.9969],"[-4.2684,-3.8991]","[3.3143,4.1603]",22.64,2068.81
1,algoQD,1,40/400,100,31,[0.846],[0.1366],[0.5274],[0.9991],"[-4.2684,-3.8991]","[3.3143,4.5947]",33.84,1039.27
2,algoQD,2,53/400,100,28,[0.8357],[0.1583],[0.335],[0.9993],"[-4.4414,-4.0057]","[3.3143,4.5947]",44.29,1039.73
3,algoQD,3,58/400,100,23,[0.8552],[0.1324],[0.5037],[0.9996],"[-4.4414,-4.0057]","[4.4554,6.3548]",49.60,1038.63
4,algoQD,4,66/400,100,23,[0.8648],[0.1282],[0.5037],[0.9996],"[-4.4414,-4.0057]","[4.4554,6.3548]",57.07,1039.29
5,algoQD,5,70/400,100,15,[0.8692],[0.1293],[0.5037],[0.9996],"[-4.4414,-4.0057]","[4.7823,6.4563]",60.85,1037.68
6,algoQD,6,73/400,100,9,[0.8725],[0.1346],[0.4203],[0.9996],"[-4.8347,-4.0057]","[4.7823,6.4563]",63.69,1039.62
7,algoQD,7,80/400,100,19,[0.8823],[0.1229],[0.5618],[0.9996],"[-5.8577,-4.0057]","[4.8555,6.4563]",70.58,1037.71
8,algoQD,8,84/400,100,15,[0.8829],[0.1233],[0.5618],[0.9998],"[-5.8577,-4.0057]","[5.7298,6.6499]",74.17,1037.44
9,algoQD,9,89/400,100,15,[0.8718],[0.1382],[0.4966],[0.9998],"[-5.9943,-4.0057]","[6.1073,7.6894]",77.59,1039.02
10,algoQD,10,91/400,100,13,[0.8779],[0.1322],[0.499],[0.9999],"[-5.9943,-4.0057]","[6.1441,7.6894]",79.89,1037.10
11,algoQD,11,96/400,100,13,[0.8704],[0.1518],[0.2613],[0.9999],"[-5.9943,-4.0057]","[6.1441,7.6894]",83.56,1036.95
12,algoQD,12,104/400,100,17,[0.8616],[0.1689],[0.2344],[0.9999],"[-6.0954,-4.0057]","[6.1441,7.6894]",89.60,1037.63
13,algoQD,13,107/400,100,11,[0.86],[0.1741],[0.2344],[0.9999],"[-6.0954,-4.0057]","[6.5175,7.6894]",92.02,1039.26
14,algoQD,14,113/400,100,16,[0.8581],[0.173],[0.2344],[0.9999],"[-6.0954,-4.3809]","[6.5175,7.6894]",96.96,1038.52
15,algoQD,15,117/400,100,11,[0.8556],[0.1763],[0.2344],[0.9999],"[-6.2371,-4.7995]","[7.9800,7.6894]",100.10,1037.43
16,algoQD,16,124/400,100,19,[0.8462],[0.1855],[0.2344],[0.9999],"[-6.2371,-4.9955]","[7.9800,7.6894]",104.93,1038.20
17,algoQD,17,131/400,100,13,[0.8332],[0.1964],[0.2344],[0.9999],"[-6.2371,-4.9955]","[7.9800,7.6894]",109.16,1040.00
18,algoQD,18,133/400,100,7,[0.8347],[0.1949],[0.2344],[0.9999],"[-7.0779,-4.9955]","[7.9800,7.6894]",111.01,1039.80
19,algoQD,19,136/400,100,14,[0.8419],[0.1862],[0.2344],[0.9999],"[-7.0779,-4.9955]","[7.9800,7.6894]",114.50,1037.33
20,algoQD,20,139/400,100,13,[0.847],[0.1813],[0.2344],[0.9999],"[-7.0779,-5.2713]","[7.9800,7.6894]",117.73,1036.79
21,algoQD,21,145/400,100,15,[0.8468],[0.1784],[0.2344],[0.9999],"[-7.0779,-5.2713]","[7.9800,7.6894]",122.78,1039.52
22,algoQD,22,152/400,100,13,[0.8393],[0.1848],[0.2308],[0.9999],"[-7.0779,-7.1756]","[8.7965,7.6894]",127.58,1037.21
23,algoQD,23,157/400,100,13,[0.8387],[0.1827],[0.2308],[0.9999],"[-7.0779,-7.1756]","[8.7965,7.6894]",131.67,1037.12
24,algoQD,24,163/400,100,12,[0.8373],[0.1819],[0.2308],[0.9999],"[-7.0779,-7.1756]","[8.7965,7.9676]",136.49,1038.46
25,algoQD,25,165/400,100,11,[0.8375],[0.1823],[0.2308],[0.9999],"[-7.0779,-7.1756]","[8.7965,7.9676]",138.18,1037.51
26,algoQD,26,168/400,100,9,[0.8357],[0.1841],[0.2308],[1.],"[-7.7631,-7.1756]","[8.7965,7.9676]",140.39,1037.24
27,algoQD,27,173/400,100,13,[0.8369],[0.1807],[0.2308],[1.],"[-7.7631,-7.9766]","[8.7965,7.9676]",144.78,1038.85
28,algoQD,28,177/400,100,11,[0.8375],[0.1799],[0.2308],[1.],"[-7.7631,-7.9766]","[8.7965,7.9676]",148.24,1038.08
29,algoQD,29,181/400,100,11,[0.8407],[0.1753],[0.2308],[1.],"[-8.9774,-7.9766]","[8.7965,7.9676]",152.17,1039.18
30,algoQD,30,185/400,100,12,[0.8425],[0.1725],[0.2308],[1.],"[-8.9774,-7.9766]","[8.7965,7.8394]",155.87,1038.11
31,algoQD,31,188/400,100,17,[0.8484],[0.1711],[0.2308],[1.],"[-8.9774,-7.9766]","[8.7965,7.8394]",159.51,1037.37
32,algoQD,32,191/400,100,7,[0.8451],[0.1753],[0.2308],[1.],"[-8.9774,-7.9766]","[8.7965,7.8394]",161.41,1037.58
33,algoQD,33,193/400,100,9,[0.8473],[0.1714],[0.2308],[1.],"[-8.9774,-7.9766]","[8.7965,7.6894]",163.54,1037.53
34,algoQD,34,196/400,100,9,[0.8514],[0.1706],[0.2308],[1.],"[-8.9774,-7.9766]","[9.2534,7.4814]",166.88,1036.33
35,algoQD,35,202/400,100,15,[0.8583],[0.161],[0.2308],[1.],"[-8.9774,-7.9766]","[9.4339,7.4814]",173.38,1035.26
36,algoQD,36,206/400,100,13,[0.8604],[0.16],[0.2308],[1.],"[-8.9774,-7.9766]","[9.4339,7.4814]",177.25,1035.52
37,algoQD,37,208/400,100,11,[0.863],[0.1585],[0.2308],[1.],"[-8.9774,-8.1281]","[9.4339,7.4814]",179.50,1035.93
38,algoQD,38,210/400,100,15,[0.8646],[0.1607],[0.2308],[1.],"[-8.9774,-8.1281]","[9.4339,7.4814]",181.57,1035.01
39,algoQD,39,213/400,100,12,[0.8688],[0.1586],[0.2308],[1.],"[-8.9774,-8.1749]","[9.4339,7.4814]",185.05,1037.55
40,algoQD,40,219/400,100,12,[0.8709],[0.1592],[0.2308],[1.],"[-9.3441,-8.1749]","[9.4339,7.4814]",190.74,1036.13
41,algoQD,41,220/400,100,7,[0.8784],[0.1492],[0.2308],[1.],"[-9.3441,-8.1749]","[9.4339,7.4814]",193.24,1034.91
42,algoQD,42,222/400,100,12,[0.8847],[0.142],[0.2308],[1.],"[-9.3441,-9.0592]","[9.4339,7.4814]",196.40,1034.91
43,algoQD,43,224/400,100,5,[0.8858],[0.1379],[0.326],[1.],"[-9.3441,-9.0592]","[9.4339,7.4814]",198.43,1035.44
44,algoQD,44,225/400,100,10,[0.8882],[0.1371],[0.326],[1.],"[-9.3441,-9.7809]","[9.4339,7.4814]",199.85,1036.21
45,algoQD,45,230/400,100,11,[0.8923],[0.1276],[0.3729],[1.],"[-9.3441,-9.7809]","[9.4339,7.5273]",205.24,1036.43
46,algoQD,46,231/400,100,11,[0.8994],[0.1156],[0.4035],[1.],"[-9.3441,-9.7809]","[9.4339,7.9324]",207.77,1038.08
47,algoQD,47,233/400,100,7,[0.8972],[0.1185],[0.4035],[1.],"[-9.3441,-9.7809]","[9.9999,7.9324]",209.05,1037.02
48,algoQD,48,234/400,100,5,[0.8984],[0.1175],[0.4035],[1.],"[-9.3441,-9.7809]","[9.9999,7.9324]",210.24,1036.30
49,algoQD,49,235/400,100,12,[0.8988],[0.1235],[0.2892],[1.],"[-9.3441,-9.7809]","[9.9999,7.9324]",211.23,1035.60
50,algoQD,50,239/400,100,12,[0.8987],[0.1256],[0.2892],[1.],"[-9.3441,-9.7809]","[9.9999,8.1238]",214.80,1036.86
51,algoQD,51,243/400,100,12,[0.9009],[0.1241],[0.2892],[1.],"[-9.3441,-9.7809]","[9.9999,8.1238]",218.92,1036.85
