,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,[],[],[],[],[],[],[],"[(-6.4279013, -2.6926694)]",[],[],[],[],[],[],[],[],[],[],[],[]
4,[],[],[],[],[],"[(-5.246227, -4.684241)]","[(-5.379381, -3.089267)]","[(-5.4903135, -2.9625912)]",[],"[(-5.3321266, -0.40135315)]","[(-5.045632, 0.3903865)]","[(-5.7797384, 1.3073282)]",[],[],[],[],[],[],[],[]
5,[],[],[],"[(-4.075021, -6.508707)]","[(-4.10498, -5.609287)]","[(-4.5807495, -4.176592)]","[(-4.2615147, -3.6750507)]","[(-4.5213013, -2.0868657)]","[(-4.275401, -1.5891305)]","[(-4.191581, -0.32395297)]","[(-4.33091, 0.13171501)]","[(-4.673247, 1.9791919)]","[(-4.551248, 2.549063)]","[(-4.0142865, 3.0107403)]",[],[],[],[],[],[]
6,[],[],[],"[(-3.1612709, -6.834255)]","[(-3.5932496, -5.4973893)]","[(-3.0273747, -4.4024076)]","[(-3.204195, -3.8041136)]","[(-3.137617, -2.8394325)]","[(-3.3383214, -1.309809)]","[(-3.8960652, -0.11434551)]","[(-3.6645768, 0.8330004)]","[(-3.5326796, 1.7127889)]","[(-3.2708046, 2.1451557)]","[(-3.9005556, 3.7097936)]",[],[],[],[],[],[]
7,[],"[(-2.2601256, -8.0165)]","[(-2.3981063, -7.4081903)]","[(-2.7731187, -6.3639774)]","[(-2.3821712, -5.6905103)]","[(-2.165654, -4.95325)]","[(-2.680647, -3.004054)]","[(-2.1576362, -2.5705988)]","[(-2.3002007, -1.728842)]","[(-2.1889777, -0.96280193)]","[(-2.7109306, 0.46777692)]","[(-2.1300862, 1.464594)]","[(-2.854478, 2.7127893)]","[(-2.0252783, 3.774773)]",[],[],[],[],[],[]
8,[],"[(-1.918303, -8.774447)]","[(-1.1216421, -7.6800456)]","[(-1.7991952, -6.2835674)]","[(-1.6016756, -5.7656217)]","[(-1.2656624, -4.834622)]","[(-1.145214, -3.582546)]","[(-1.088548, -2.1863656)]","[(-1.2589486, -1.1976094)]","[(-1.805974, -0.33000377)]","[(-1.1104349, 0.09904246)]","[(-1.2335788, 1.739303)]","[(-1.787186, 2.611317)]","[(-1.14175, 3.1952097)]","[(-1.2053046, 4.9919286)]","[(-1.2154433, 5.6042047)]",[],[],[],[]
9,[],"[(-0.99178934, -8.563975)]","[(-0.12692179, -7.348807)]","[(-0.66801137, -6.106073)]","[(-0.12932003, -5.733749)]","[(-0.6473387, -4.9557123)]","[(-0.6875015, -3.9653442)]","[(-0.119935825, -2.6773434)]","[(-0.14715806, -1.4586824)]","[(-0.6610204, -0.97438943)]","[(-0.028662115, 0.2579654)]","[(-0.27521914, 1.9097998)]","[(-0.08484681, 2.714146)]","[(-0.10726857, 3.980487)]","[(-0.5214283, 4.3381658)]","[(-0.5658634, 5.1228933)]",[],[],[],[]
