,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,"(0.2663654751247829,)","(0.0582579718695746,)",,,,,,,,,,,,
4,,,,,"(0.5129678514268663,)","(0.25916502210828996,)","(0.48765636020236547,)","(0.14135148790147567,)","(0.47021340264214406,)","(0.7604237026638455,)",,"(0.41826659308539493,)","(0.705792236328125,)","(0.6110404968261718,)",,,,,,
5,,,"(0.7275765313042535,)","(0.5512260437011718,)","(0.668625979953342,)","(0.8423080020480685,)","(0.6305938296847873,)","(0.8998829311794705,)","(0.9921053171157836,)","(0.9676560401916504,)","(0.9776512569851346,)","(0.8525028546651204,)","(0.8904047012329102,)","(0.9542548656463623,)",,,,,,
6,,,"(0.6257582770453559,)","(0.6126673804389106,)","(0.620125240749783,)","(0.881842835744222,)","(0.8794351471794977,)","(0.9909547322326236,)","(0.982801882425944,)","(0.9922488225830925,)","(0.9718316819932725,)","(0.997870331340366,)","(0.9502183861202664,)","(0.9692400773366292,)","(0.7638682047526042,)",,,,,
7,,"(0.5065406799316405,)","(0.8758102522956001,)","(0.8733130243089464,)","(0.940404658847385,)","(0.8359655592176649,)","(0.9183565192752414,)","(0.9898111820220947,)","(0.973121452331543,)","(0.9989687022235658,)","(0.9987551689147949,)","(0.9991058856248856,)","(0.990311990181605,)","(0.9829951802889506,)","(0.8510873582628038,)","(0.8678294923570421,)",,,,
8,,"(0.8598350842793783,)","(0.9855689790513781,)","(0.8678157170613607,)","(0.9024362670050727,)","(0.9904247495863173,)","(0.9971896118587917,)","(0.9996042092641194,)","(0.9994414963656002,)","(0.9995157876776324,)","(0.9998748266034656,)","(0.9972713907559713,)","(0.998764016230901,)","(0.9701158205668131,)","(0.9864481170972188,)","(0.5318130493164062,)",,,,
9,"(0.5206211937798394,)","(0.9107191933525933,)","(0.9108631981743707,)","(0.9677856233384874,)","(0.9980924394395616,)","(0.9991026136610243,)","(0.9959105147255791,)","(0.9985750476519267,)","(0.9986786524454753,)","(0.9995535744561089,)","(0.9997727659013537,)","(0.9992011858357324,)","(0.9900591340329912,)","(0.9537534289889865,)","(0.9651766671074762,)","(0.971601563029819,)",,,,
10,"(0.796739747789171,)","(0.7464123407999674,)","(0.9761758751339382,)","(0.9986335754394531,)","(0.9986614856455062,)","(0.985967923535241,)","(0.9976689553923077,)","(0.9982659512095982,)","(0.9976907554599974,)","(0.9999652240011427,)","(0.9999903838874565,)","(0.9974448207351897,)","(0.9986676871776581,)","(0.9881891171137492,)","(0.923022535112169,)",,,,,
11,"(0.9445708539750841,)","(0.8634298960367839,)","(0.9993355645073785,)","(0.9435631963941786,)","(0.9951080037487878,)","(0.9895981046888563,)","(0.9951131936576632,)","(0.9945472909344567,)","(0.9947121659914653,)","(0.9996829681926304,)","(0.9972675402959188,)","(0.9977352582746082,)","(0.9937992665502761,)","(0.9451728502909342,)","(0.8288583119710287,)",,,,,
12,,"(0.9605657842424181,)","(0.9969967418246799,)","(0.9893192225032382,)","(0.9907974614037408,)","(0.98763470782174,)","(0.9982098205222024,)","(0.9933582471476661,)","(0.9966801308923298,)","(0.9985141454471482,)","(0.9967923906114367,)","(0.9841757257779439,)","(0.9912956337134043,)","(0.974911281797621,)","(0.7885035196940104,)","(0.2921056959364149,)",,,,
13,"(0.974661037656996,)","(0.9717454062567816,)","(0.9892267915937636,)","(0.9971429026789136,)","(0.9966607567336824,)","(0.9991903516981336,)","(0.9986166636149089,)","(0.99020307858785,)","(0.9938244309690264,)","(0.9905823793676164,)","(0.9782701306872897,)","(0.9973663972483741,)","(0.9362751060061985,)","(0.9250701692369249,)",,,,,,
14,,,"(0.9673501782947116,)","(0.9806304838922288,)","(0.9991688503159417,)","(0.9962529314888848,)","(0.9944376660717859,)","(0.9931474698914422,)","(0.9811576843261719,)","(0.9676076253255208,)","(0.8808677249484592,)","(0.8653098318311903,)","(0.8137720743815104,)","(0.053100077311197924,)","(0.10764244927300348,)",,"(0.5180024041069878,)",,,
15,,,"(0.9621964904997083,)","(0.9694919294781155,)","(0.9942344963550568,)","(0.9933688693576389,)","(0.996858290831248,)","(0.9679491308000353,)","(0.9897455374399821,)","(0.9878644731309679,)","(0.956746334499783,)","(0.6849760267469618,)","(0.7620406256781684,)","(0.30656517876519096,)","(0.0923983256022135,)",,,,,
16,,,,"(0.987528744008806,)","(0.9937703390916188,)","(0.9723481787575616,)","(0.9943405350049337,)","(0.9914591047498915,)","(0.9493151240878634,)","(0.9701087103949653,)","(0.9568679279751248,)","(0.941761228773329,)","(0.8207828097873264,)","(0.5809203253851996,)",,"(0.6549912770589192,)",,,,
17,,,,"(0.969570353296068,)","(0.954353682200114,)","(0.9703257666693793,)","(0.9326039632161458,)","(0.9923433515760633,)","(0.9648893038431803,)","(0.9657964918348524,)","(0.9934268421596951,)","(0.7359647538926866,)","(0.8097415500217013,)","(0.46238115098741317,)",,,,,,
18,,,,"(0.8641885439554851,)","(0.9946314675940408,)","(0.8131957583957248,)","(0.8942983839246962,)","(0.985404019885593,)","(0.8293407016330295,)","(0.9087548997667101,)","(0.9979806918236944,)","(0.6343400319417318,)","(0.7664194742838542,)",,,,,,,
19,,,,,,"(0.7888280444675022,)",,"(0.9798160129123263,)","(0.6195163302951389,)","(0.8170198652479383,)","(0.664292695787218,)",,,,,,,,,
