,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,21/400,100,33,[0.8515],[0.165],[0.4204],[1.],"[-3.1411,-2.0125]","[2.6518,3.1206]",17.88,2065.53
1,algoQD,1,33/400,100,23,[0.8296],[0.1674],[0.4204],[1.],"[-3.5379,-2.7925]","[4.8976,3.8041]",27.38,1038.35
2,algoQD,2,40/400,100,14,[0.8335],[0.1586],[0.4204],[1.],"[-3.5379,-2.7925]","[4.8976,3.8041]",33.34,1037.85
3,algoQD,3,47/400,100,18,[0.8639],[0.1381],[0.5206],[1.],"[-3.5379,-2.7925]","[4.8976,3.8041]",40.60,1036.03
4,algoQD,4,52/400,100,18,[0.8773],[0.1296],[0.3686],[1.],"[-3.5379,-3.8582]","[4.8976,4.0455]",45.62,1034.84
5,algoQD,5,54/400,100,10,[0.8863],[0.1259],[0.3686],[1.],"[-4.4404,-3.8582]","[4.8976,4.0455]",47.86,1035.89
6,algoQD,6,58/400,100,12,[0.8958],[0.123],[0.3686],[1.],"[-4.4404,-3.8582]","[5.8095,4.0455]",51.95,1036.95
7,algoQD,7,59/400,100,6,[0.903],[0.1166],[0.3686],[1.],"[-4.4404,-3.8582]","[5.8095,4.0455]",53.27,1035.79
8,algoQD,8,61/400,100,9,[0.9035],[0.1179],[0.3686],[1.],"[-4.4404,-4.5327]","[5.8095,4.0455]",55.11,1035.04
9,algoQD,9,63/400,100,8,[0.9103],[0.1159],[0.3686],[1.],"[-4.8332,-4.5327]","[5.8095,4.0455]",57.35,1035.77
10,algoQD,10,68/400,100,15,[0.8977],[0.151],[0.1759],[1.],"[-4.8332,-4.5327]","[5.8095,5.4798]",61.04,1036.36
11,algoQD,11,69/400,100,7,[0.8918],[0.1723],[0.1759],[1.],"[-4.8332,-4.5327]","[5.8095,5.4798]",61.54,1036.56
12,algoQD,12,69/400,100,6,[0.8985],[0.1702],[0.1759],[1.],"[-4.8332,-4.5327]","[5.8095,5.4798]",62.00,1036.54
13,algoQD,13,73/400,100,9,[0.8938],[0.1757],[0.1759],[1.],"[-5.1657,-5.2989]","[5.8095,5.4798]",65.24,1038.62
14,algoQD,14,77/400,100,8,[0.8867],[0.1783],[0.1759],[1.],"[-5.1657,-5.2989]","[5.8095,5.4798]",68.27,1036.22
15,algoQD,15,81/400,100,13,[0.895],[0.1574],[0.1936],[1.],"[-5.1657,-5.2989]","[5.8095,5.4798]",72.50,1036.72
16,algoQD,16,84/400,100,6,[0.8946],[0.1538],[0.1936],[1.],"[-5.1657,-5.2989]","[6.0615,5.4798]",75.14,1036.14
17,algoQD,17,85/400,100,6,[0.9],[0.151],[0.1936],[1.],"[-5.1657,-5.2989]","[6.0615,5.4798]",76.50,1037.94
18,algoQD,18,87/400,100,7,[0.897],[0.1541],[0.1936],[1.],"[-5.1657,-5.2989]","[6.0615,5.4798]",78.03,1036.53
19,algoQD,19,92/400,100,11,[0.8953],[0.1502],[0.1936],[1.],"[-5.1657,-5.6222]","[6.0615,5.4798]",82.36,1036.67
20,algoQD,20,94/400,100,7,[0.8966],[0.1463],[0.1936],[1.],"[-5.1657,-6.3181]","[6.0615,5.4798]",84.28,1036.05
21,algoQD,21,97/400,100,9,[0.8948],[0.1465],[0.1936],[1.],"[-5.1657,-6.3181]","[6.0615,5.4798]",86.80,1035.82
22,algoQD,22,101/400,100,12,[0.8929],[0.1436],[0.33],[1.],"[-5.1657,-6.3726]","[6.0615,5.4798]",90.18,1037.57
23,algoQD,23,102/400,100,9,[0.8956],[0.1481],[0.33],[1.],"[-5.1657,-6.3726]","[6.0615,5.4798]",91.35,1037.08
24,algoQD,24,103/400,100,8,[0.8975],[0.1514],[0.33],[1.],"[-5.1657,-6.3726]","[6.0615,5.4798]",92.44,1037.30
25,algoQD,25,104/400,100,4,[0.8971],[0.1516],[0.33],[1.],"[-5.1657,-6.3726]","[6.0615,5.4798]",93.30,1033.33
26,algoQD,26,105/400,100,4,[0.8965],[0.1511],[0.33],[1.],"[-5.1657,-6.3726]","[6.0615,5.4798]",94.13,1034.62
27,algoQD,27,106/400,100,5,[0.8993],[0.1474],[0.33],[1.],"[-5.1657,-6.3726]","[6.2552,5.4798]",95.32,1033.98
28,algoQD,28,108/400,100,6,[0.9027],[0.1468],[0.33],[1.],"[-5.2016,-6.3726]","[6.2552,5.4798]",97.50,1036.58
29,algoQD,29,112/400,100,7,[0.8923],[0.1553],[0.33],[1.],"[-5.2016,-6.3726]","[6.2552,5.5487]",99.94,1033.52
30,algoQD,30,112/400,100,2,[0.8927],[0.1554],[0.33],[1.],"[-5.2016,-6.3726]","[6.2552,5.5487]",99.98,1036.33
31,algoQD,31,113/400,100,5,[0.8915],[0.1564],[0.33],[1.],"[-5.2016,-6.3726]","[6.2552,5.5487]",100.74,1036.05
32,algoQD,32,114/400,100,10,[0.8949],[0.1538],[0.33],[1.],"[-5.2016,-6.3726]","[6.2552,5.5487]",102.02,1034.05
33,algoQD,33,114/400,100,4,[0.8975],[0.1526],[0.33],[1.],"[-5.2016,-6.3726]","[6.2552,5.5487]",102.31,1035.84
34,algoQD,34,115/400,100,6,[0.8976],[0.152],[0.33],[1.],"[-5.2016,-6.3726]","[6.2552,5.5487]",103.22,1034.23
35,algoQD,35,115/400,100,4,[0.8981],[0.1521],[0.33],[1.],"[-5.2016,-6.3726]","[6.2552,5.5487]",103.28,1033.97
36,algoQD,36,118/400,100,8,[0.8896],[0.161],[0.33],[1.],"[-5.2016,-6.3726]","[6.2552,5.5487]",104.97,1033.71
37,algoQD,37,119/400,100,2,[0.8896],[0.1604],[0.33],[1.],"[-5.2016,-6.3726]","[6.2552,5.5487]",105.87,1033.43
38,algoQD,38,120/400,100,6,[0.8906],[0.1579],[0.33],[1.],"[-5.2016,-6.8710]","[6.2552,5.5487]",106.87,1034.31
39,algoQD,39,123/400,100,5,[0.8851],[0.162],[0.33],[1.],"[-5.2016,-6.8710]","[6.2552,5.5487]",108.87,1035.01
40,algoQD,40,125/400,100,2,[0.8828],[0.1627],[0.33],[1.],"[-6.1793,-6.8710]","[6.2552,5.8873]",110.35,1035.47
41,algoQD,41,125/400,100,0,[0.8828],[0.1627],[0.33],[1.],"[-6.1793,-6.8710]","[6.2552,5.8873]",110.35,1034.10
42,algoQD,42,126/400,100,1,[0.8792],[0.1671],[0.33],[1.],"[-6.1793,-6.8710]","[6.2552,5.8873]",110.78,1036.33
43,algoQD,43,126/400,100,5,[0.8805],[0.1676],[0.33],[1.],"[-6.1793,-6.8710]","[6.2552,5.8873]",110.95,1033.84
44,algoQD,44,127/400,100,7,[0.8838],[0.1618],[0.33],[1.],"[-6.1793,-6.8710]","[6.2552,5.8873]",112.24,1035.40
45,algoQD,45,128/400,100,4,[0.8863],[0.1571],[0.4048],[1.],"[-6.1793,-6.8710]","[6.2552,5.8873]",113.45,1033.21
46,algoQD,46,128/400,100,5,[0.8889],[0.1552],[0.4048],[1.],"[-6.1793,-6.8710]","[6.2552,5.8873]",113.78,1034.88
47,algoQD,47,129/400,100,5,[0.8946],[0.1513],[0.4048],[1.],"[-6.1793,-6.8710]","[6.2552,5.8873]",115.40,1034.94
48,algoQD,48,129/400,100,4,[0.898],[0.1475],[0.4048],[1.],"[-6.1793,-6.8710]","[6.2552,5.8873]",115.84,1034.35
