,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,[],[],[],[],[],[],[],[],"[(-7.5939283, -1.5797141)]",[],[],"[(-7.406876, 1.6123435)]","[(-7.1188326, 2.7150092)]",[],[],"[(-7.113529, 5.145761)]",[],[],[],[]
3,[],[],[],[],[],[],[],"[(-6.924245, -2.596519)]","[(-6.2019725, -1.5982845)]","[(-6.2438507, -0.21204665)]","[(-6.9979906, 0.44385454)]",[],"[(-6.8754425, 2.6962519)]","[(-6.48251, 3.4415183)]","[(-6.098838, 4.196384)]",[],[],[],[],[]
4,[],[],[],[],[],[],"[(-5.3039412, -3.1442358)]","[(-5.028897, -2.016368)]","[(-5.6356378, -1.047179)]","[(-5.2969613, -0.93912065)]","[(-5.447691, 0.3964052)]","[(-5.7861266, 1.9190943)]","[(-5.0391555, 2.451975)]","[(-5.001152, 3.1983101)]","[(-5.6825333, 4.060616)]","[(-5.694344, 5.520802)]","[(-5.45264, 6.738295)]",[],[],[]
5,[],[],"[(-4.1396484, -7.9974685)]",[],"[(-4.0017414, -5.234724)]","[(-4.0563893, -4.336881)]","[(-4.45045, -3.0940573)]","[(-4.211585, -2.508238)]","[(-4.5954437, -1.6566793)]","[(-4.607313, -0.8580559)]","[(-4.6973567, 0.7512033)]","[(-4.020366, 1.2075723)]","[(-4.3027115, 2.9151661)]","[(-4.171649, 3.1353996)]","[(-4.2971816, 4.8158393)]","[(-4.1662807, 5.1964054)]","[(-4.365107, 6.7322564)]",[],[],[]
6,[],[],[],"[(-3.1824553, -6.8946896)]","[(-3.355718, -5.1705666)]","[(-3.0474718, -4.438415)]","[(-3.1961455, -3.2213523)]","[(-3.866406, -2.032549)]","[(-3.6329057, -1.813919)]","[(-3.578318, -0.443296)]","[(-3.6949944, 0.5293897)]","[(-3.5309753, 1.0094489)]","[(-3.5051494, 2.3793225)]","[(-3.3410885, 3.2705781)]","[(-3.617411, 4.5708456)]","[(-3.4568167, 5.1317124)]","[(-3.7507923, 6.282896)]","[(-3.071362, 7.206668)]",[],[]
7,[],[],[],"[(-2.0321155, -6.081925)]","[(-2.537379, -5.009655)]","[(-2.2146432, -4.3977776)]","[(-2.1267204, -3.6793807)]","[(-2.1708343, -2.4381945)]","[(-2.9878526, -1.4343989)]","[(-2.364363, -0.71483576)]","[(-2.7204916, 0.6610365)]","[(-2.9023604, 1.6233795)]","[(-2.3401506, 2.558285)]","[(-2.436363, 3.8912556)]","[(-2.1342745, 4.006812)]","[(-2.8264537, 5.853487)]","[(-2.5214155, 6.3924704)]","[(-2.0251868, 7.384922)]","[(-2.0701323, 8.328644)]",[]
8,[],"[(-1.4396833, -8.591145)]",[],"[(-1.2329589, -6.774465)]","[(-1.250744, -5.6446414)]","[(-1.0198963, -4.1501136)]","[(-1.4973525, -3.5401428)]","[(-1.3944736, -2.4912214)]","[(-1.4508383, -1.5311036)]","[(-1.029419, -0.1340229)]","[(-1.3406788, 0.24999946)]","[(-1.5147976, 1.9116926)]","[(-1.125479, 2.5631483)]","[(-1.9975032, 3.0571532)]","[(-1.6951728, 4.5306344)]","[(-1.0139002, 5.4268756)]","[(-1.0886167, 6.6535554)]","[(-1.1456714, 7.2334967)]","[(-1.9637668, 8.997228)]",[]
9,[],"[(-0.24141616, -8.349442)]","[(-0.025964137, -7.559518)]","[(-0.45443022, -6.820624)]","[(-0.25753513, -5.9200044)]","[(-0.13159479, -4.8347797)]","[(-0.8600821, -3.2293782)]","[(-0.05411885, -2.209871)]","[(-0.05402801, -1.077888)]","[(-0.37278295, -0.10069217)]","[(-0.549665, 0.018896455)]","[(-0.7630162, 1.0982285)]","[(-0.15742156, 2.1011662)]","[(-0.90200293, 3.3496816)]","[(-0.9940326, 4.0218196)]","[(-0.3652457, 5.386475)]","[(-0.116591595, 6.422402)]","[(-0.8087175, 7.526748)]",[],[]
