,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,29/400,100,51,[0.8823],[0.1061],[0.5179],[0.9966],"[-2.8258,-3.0246]","[3.8186,2.3090]",25.59,2069.93
1,algoQD,1,36/400,100,22,[0.9081],[0.098],[0.5233],[0.9982],"[-3.1393,-3.0246]","[3.8186,4.0283]",32.69,1040.37
2,algoQD,2,38/400,100,17,[0.9332],[0.0858],[0.5233],[0.9999],"[-3.6053,-3.0246]","[4.3767,4.0283]",35.46,1040.29
3,algoQD,3,47/400,100,17,[0.9259],[0.0943],[0.5233],[0.9999],"[-4.5676,-3.0246]","[4.3767,4.0283]",43.52,1040.38
4,algoQD,4,51/400,100,12,[0.9157],[0.1402],[0.1904],[0.9999],"[-4.5676,-4.1401]","[4.3767,4.0283]",46.70,1041.70
5,algoQD,5,56/400,100,14,[0.9304],[0.0949],[0.5588],[0.9999],"[-4.5676,-4.2569]","[4.3767,4.2975]",52.10,1039.12
6,algoQD,6,57/400,100,5,[0.9326],[0.0943],[0.5588],[0.9999],"[-5.7240,-4.2569]","[4.3767,4.2975]",53.16,1038.94
7,algoQD,7,60/400,100,12,[0.9328],[0.0931],[0.5588],[0.9999],"[-5.7240,-4.2569]","[4.3767,4.2975]",55.97,1039.31
8,algoQD,8,63/400,100,11,[0.9405],[0.0801],[0.5821],[0.9999],"[-5.7240,-4.2569]","[4.3767,4.5669]",59.25,1039.60
9,algoQD,9,66/400,100,6,[0.9208],[0.1419],[0.0289],[0.9999],"[-5.7240,-4.2569]","[4.3767,4.7002]",60.77,1037.52
10,algoQD,10,68/400,100,9,[0.9195],[0.1407],[0.0289],[0.9999],"[-5.7240,-4.2569]","[4.3767,4.7002]",62.52,1039.41
11,algoQD,11,73/400,100,10,[0.9251],[0.1111],[0.3302],[0.9999],"[-5.7240,-4.3577]","[5.0640,4.7002]",67.54,1038.85
12,algoQD,12,74/400,100,7,[0.9237],[0.1134],[0.3302],[0.9999],"[-5.7240,-4.3577]","[5.0640,4.7002]",68.36,1039.62
13,algoQD,13,77/400,100,7,[0.9159],[0.1218],[0.3302],[0.9999],"[-5.7240,-4.3577]","[5.0640,4.7002]",70.53,1038.87
14,algoQD,14,78/400,100,7,[0.9154],[0.1236],[0.3694],[0.9999],"[-5.7240,-4.4522]","[5.0640,4.7002]",71.40,1038.87
15,algoQD,15,80/400,100,11,[0.9196],[0.12],[0.3694],[0.9999],"[-5.7240,-4.4522]","[5.0640,4.7002]",73.57,1039.06
16,algoQD,16,83/400,100,7,[0.9151],[0.1239],[0.3694],[0.9999],"[-5.7240,-4.4522]","[5.0640,4.7002]",75.95,1038.65
17,algoQD,17,83/400,100,5,[0.9191],[0.1231],[0.3694],[0.9999],"[-5.7240,-4.4522]","[5.0640,4.7002]",76.28,1038.22
18,algoQD,18,84/400,100,8,[0.9211],[0.1182],[0.4786],[0.9999],"[-5.7240,-4.4522]","[5.0640,4.7002]",77.37,1039.60
19,algoQD,19,85/400,100,5,[0.9226],[0.1179],[0.4786],[0.9999],"[-5.7240,-4.4522]","[5.0640,4.7002]",78.42,1037.50
20,algoQD,20,87/400,100,10,[0.925],[0.1138],[0.5788],[0.9999],"[-5.7240,-4.4522]","[5.6491,5.3207]",80.48,1037.62
21,algoQD,21,89/400,100,6,[0.9228],[0.1167],[0.5788],[0.9999],"[-5.7240,-4.4522]","[5.6491,5.3207]",82.13,1038.71
22,algoQD,22,89/400,100,4,[0.9264],[0.1141],[0.5788],[0.9999],"[-5.7240,-4.4522]","[5.6491,5.3207]",82.45,1038.04
23,algoQD,23,90/400,100,6,[0.9271],[0.1135],[0.5788],[0.9999],"[-5.7240,-4.4522]","[5.6491,5.3207]",83.44,1038.01
24,algoQD,24,93/400,100,6,[0.9279],[0.1127],[0.5788],[0.9999],"[-5.7240,-4.4522]","[6.7506,5.3207]",86.30,1037.85
25,algoQD,25,93/400,100,2,[0.9285],[0.1129],[0.5788],[0.9999],"[-5.7240,-4.4522]","[6.7506,5.3207]",86.35,1038.35
26,algoQD,26,95/400,100,3,[0.927],[0.1124],[0.5788],[0.9999],"[-5.7240,-4.4522]","[6.7506,5.3207]",88.06,1039.70
27,algoQD,27,96/400,100,4,[0.9282],[0.112],[0.5788],[0.9999],"[-5.7240,-4.4522]","[6.7506,5.3207]",89.11,1039.56
28,algoQD,28,96/400,100,4,[0.9287],[0.1117],[0.5788],[0.9999],"[-5.7240,-4.4522]","[6.7506,5.3207]",89.16,1039.99
29,algoQD,29,98/400,100,4,[0.9201],[0.1311],[0.2562],[0.9999],"[-5.7240,-4.4522]","[6.7506,5.6401]",90.17,1038.47
30,algoQD,30,99/400,100,5,[0.9206],[0.1305],[0.2562],[0.9999],"[-5.7240,-4.4522]","[6.7506,5.6401]",91.14,1038.87
31,algoQD,31,99/400,100,1,[0.9206],[0.1306],[0.2562],[0.9999],"[-5.7240,-4.4522]","[6.7506,5.6401]",91.14,1040.91
