,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,,,"(0.3521687401665581,)",,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,"(0.6027913411458333,)","(0.4832499186197916,)","(0.572311528523763,)","(0.8864640129937066,)","(0.7700219896104601,)","(0.873053518931071,)",,,,,,,
4,,,,,"(0.6633104960123698,)","(0.5810469309488933,)","(0.7267242219712999,)","(0.7639933692084419,)","(0.6647379133436415,)","(0.9788445353507995,)","(0.8277982076009114,)","(0.9636735147900052,)","(0.8984716203477647,)","(0.9767308844460382,)",,,,,,
5,,,,,"(0.375762473212348,)","(0.7313904444376628,)","(0.9558085123697917,)","(0.8752146614922418,)","(0.9767166905932956,)","(0.9295077217949761,)","(0.9509785334269205,)","(0.9965470039182239,)","(0.9878999167018466,)","(0.9794997029834324,)","(0.9886038382848104,)",,,,,
6,,,,"(0.7023189332750108,)","(0.7458808051215278,)","(0.9272147867414686,)","(0.94596266746521,)","(0.9981893062591553,)","(0.9558014419343737,)","(0.9947754277123345,)","(0.9782397031784058,)","(0.9954997963375516,)","(0.9972341211305724,)","(0.9974197543329663,)","(0.9119076304965549,)","(0.8429600397745768,)","(0.6750002331203884,)",,,
7,,,,"(0.6736403783162435,)","(0.8759258058336046,)","(0.9875371058781942,)","(0.9695153766208224,)","(0.9908074471685622,)","(0.9977753963735368,)","(0.9979038026597765,)","(0.9997860378689236,)","(0.9987588670518663,)","(0.9834169175889756,)","(0.9952326327562332,)","(0.9996140586005317,)","(0.9748782502280341,)","(0.9971492833561367,)","(0.9449134349822998,)",,
8,,,,"(0.9670243899027506,)","(0.9968185424804688,)","(0.9971242219209671,)","(0.991360600789388,)","(0.9880240652296278,)","(0.9982732772827149,)","(0.9995262194838789,)","(0.9901645991537306,)","(0.9995301246643067,)","(0.9996813774108887,)","(0.985257445441352,)","(0.9749752627478705,)","(0.9926372528076172,)","(0.9945569356282552,)",,,
9,,,"(0.929575612809923,)","(0.9121296988593207,)","(0.995920451482137,)","(0.9871051920784845,)","(0.9977309690581427,)","(0.9989079316457112,)","(0.9999912791781955,)","(0.9998057984643512,)","(0.9997443069186476,)","(0.9989891648292542,)","(0.9980636371506585,)","(0.9990598051084413,)","(0.9907660345236461,)","(0.9284074889289008,)","(0.9122014575534396,)",,"(0.32821307712131076,)",
10,,,,"(0.8499418470594617,)","(0.8921559227837457,)","(0.9955510821607377,)","(0.991103716691335,)","(0.9972311006651984,)","(0.999973262184196,)","(0.9995868023071024,)","(0.9993425511651569,)","(0.9984601580434376,)","(0.9992265403270721,)","(0.9998638908068339,)","(0.9921817474895054,)","(0.8615368207295735,)","(0.9427834934658474,)","(0.9879117356406317,)",,
11,,,,"(0.9898778531286452,)","(0.9989846275912391,)","(0.9668628639645047,)","(0.9858492559856838,)","(0.9963659922281901,)","(0.9998232490486569,)","(0.9990374306837718,)","(0.9976007319158978,)","(0.9988767029510603,)","(0.998313178618749,)","(0.989678312672509,)","(0.9930418696668413,)","(0.98767569065094,)","(0.9872515784369574,)",,,
12,,,,,"(0.9296125835842557,)","(0.9748828093210856,)","(0.9484457068973118,)","(0.9942609151204427,)","(0.9739858203464085,)","(0.998626098367903,)","(0.998030557566219,)","(0.9770175245073106,)","(0.9916157954268985,)","(0.993265829483668,)","(0.983258491092258,)","(0.9723113377888998,)",,,,
13,,,,"(0.48112551371256507,)",,,"(0.851389217376709,)","(0.9388798766665989,)","(0.9977681722905901,)","(0.9955040507846409,)","(0.9997825195391973,)","(0.9904328558180068,)","(0.9689365148544311,)","(0.998004416624705,)","(0.9339891115824381,)","(0.942232698864407,)","(0.8156192143758139,)",,,
14,,,,,,,"(0.9430363337198893,)","(0.9365271038479275,)","(0.997152974208196,)","(0.9990302297804091,)","(0.9793429321712918,)","(0.9973921802308824,)","(0.966355816523234,)","(0.9828750557369657,)","(0.9750257598029243,)",,,,,
15,,,,,,,,"(0.9992223024368286,)","(0.9882513046264648,)","(0.9978943864504496,)","(0.9411920070648193,)","(0.9193762037489149,)","(0.9675884697172377,)","(0.9260822137196859,)","(0.8335715187920465,)",,,"(0.9503527323404948,)",,
16,,,,,,"(0.45108786688910585,)","(0.9779159386952718,)","(0.7673345777723524,)",,"(0.9311592419942221,)","(0.7139623853895399,)","(0.7613329357571073,)","(0.8635244475470649,)",,,,,,,
17,,,,,,,,,,"(0.8705432256062826,)",,"(0.704608408610026,)",,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
