,0
0,71
1,99
2,116
3,122
4,123
5,135
6,146
7,165
8,171
9,183
10,197
11,216
12,225
13,237
14,238
15,246
16,248
17,264
18,267
19,274
20,278
21,281
22,287
23,292
24,294
25,295
26,305
27,317
28,319
29,324
30,329
31,330
32,331
33,332
34,338
35,339
36,348
37,353
38,354
39,355
40,361
41,362
42,364
43,366
44,373
45,376
46,377
47,380
48,382
49,383
50,386
51,389
52,390
53,394
54,395
55,398
56,400
57,406
58,413
59,414
60,415
61,416
62,418
63,422
64,427
65,428
66,429
67,430
68,431
69,432
70,434
71,435
72,438
73,439
74,442
75,443
76,444
77,448
78,449
79,454
80,455
81,458
82,461
83,463
84,466
85,467
86,468
87,470
88,471
89,473
90,474
91,476
92,479
93,480
94,482
95,483
96,485
97,487
98,488
99,490
100,492
101,493
102,496
103,497
104,499
105,500
106,501
107,502
108,503
109,504
110,505
111,506
112,507
113,509
114,510
115,511
116,512
117,513
118,515
119,516
120,517
121,518
122,519
123,520
124,521
125,522
126,524
127,527
128,528
129,530
130,531
131,532
132,533
133,535
134,536
135,538
136,539
137,540
138,542
139,543
140,544
141,545
142,546
143,547
144,549
145,550
146,552
147,553
148,554
149,555
150,556
151,557
152,558
153,559
154,560
155,561
156,562
157,563
158,564
159,565
160,566
161,567
162,568
163,569
164,570
165,571
166,572
