,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,48/400,100,71,[0.6997],[0.2285],[0.0447],[0.9967],"[-9.0950,-7.0392]","[5.1848,6.6181]",33.59,2071.94
1,algoQD,1,76/400,100,51,[0.7046],[0.2491],[0.0293],[0.9978],"[-9.0950,-7.0392]","[5.6851,7.9468]",53.55,1041.71
2,algoQD,2,94/400,100,39,[0.726],[0.2548],[0.0066],[0.9978],"[-9.8277,-7.0392]","[5.9732,8.1148]",68.25,1041.08
3,algoQD,3,112/400,100,40,[0.7371],[0.2482],[0.0066],[0.9978],"[-9.8277,-7.0392]","[6.1621,8.1148]",82.55,1042.23
4,algoQD,4,123/400,100,29,[0.7445],[0.2445],[0.015],[0.9989],"[-9.8277,-7.0392]","[6.2000,8.1148]",91.57,1043.79
5,algoQD,5,133/400,100,30,[0.7658],[0.2324],[0.015],[0.9997],"[-9.8277,-7.0392]","[6.2000,8.1148]",101.85,1040.41
6,algoQD,6,147/400,100,24,[0.7587],[0.2319],[0.015],[0.9997],"[-9.8277,-7.0392]","[7.6766,8.1148]",111.53,1040.24
7,algoQD,7,155/400,100,24,[0.7667],[0.224],[0.015],[0.9997],"[-9.8277,-7.0392]","[7.6766,8.1148]",118.83,1042.64
8,algoQD,8,165/400,100,28,[0.7807],[0.2185],[0.015],[0.9997],"[-9.8277,-7.4267]","[7.6766,8.1148]",128.81,1042.65
9,algoQD,9,170/400,100,27,[0.793],[0.2155],[0.0378],[0.9997],"[-9.8277,-7.4267]","[7.6766,8.1148]",134.81,1041.59
10,algoQD,10,182/400,100,24,[0.7943],[0.2156],[0.0661],[0.9997],"[-9.8277,-8.4354]","[7.6766,8.1148]",144.57,1040.84
11,algoQD,11,192/400,100,25,[0.7967],[0.2155],[0.0661],[0.9997],"[-9.8277,-8.4354]","[7.6766,8.1384]",152.97,1041.95
12,algoQD,12,197/400,100,18,[0.8021],[0.2131],[0.0661],[0.9997],"[-9.8277,-8.4354]","[7.6766,9.3827]",158.02,1040.63
13,algoQD,13,206/400,100,17,[0.7994],[0.209],[0.0661],[0.9997],"[-9.8277,-8.4354]","[9.1947,9.3827]",164.67,1041.23
14,algoQD,14,211/400,100,22,[0.808],[0.2054],[0.0661],[0.9997],"[-9.8277,-8.4354]","[9.1947,9.3827]",170.49,1039.88
15,algoQD,15,217/400,100,25,[0.8069],[0.21],[0.0661],[0.9999],"[-9.8277,-8.4354]","[9.1947,9.3827]",175.10,1041.23
16,algoQD,16,223/400,100,18,[0.808],[0.2068],[0.0661],[0.9999],"[-9.8277,-8.9548]","[9.1947,9.3827]",180.18,1040.64
17,algoQD,17,228/400,100,19,[0.8169],[0.2028],[0.0389],[0.9999],"[-9.8277,-8.9548]","[9.1947,9.3827]",186.25,1041.01
18,algoQD,18,236/400,100,19,[0.8159],[0.2041],[0.0389],[0.9999],"[-9.8953,-8.9548]","[9.1947,9.3827]",192.56,1040.26
