,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,56/400,100,71,[0.5775],[0.2825],[0.0087],[0.9745],"[-5.2580,-6.8508]","[7.7027,8.7356]",32.34,2069.28
1,algoQD,1,89/400,100,55,[0.627],[0.2797],[0.0087],[0.9987],"[-7.8946,-6.8630]","[8.3283,8.7356]",55.81,1040.41
2,algoQD,2,123/400,100,53,[0.6262],[0.2878],[0.0058],[0.9987],"[-7.8946,-8.7294]","[8.3283,8.7356]",77.03,1038.14
3,algoQD,3,139/400,100,40,[0.653],[0.2832],[0.0009],[0.9995],"[-7.8946,-8.7294]","[8.3283,8.7356]",90.77,1037.11
4,algoQD,4,158/400,100,38,[0.6808],[0.2761],[0.0009],[0.9995],"[-8.5735,-8.7294]","[9.9998,8.7356]",107.57,1039.52
5,algoQD,5,171/400,100,28,[0.6975],[0.27],[0.0009],[0.9995],"[-8.5735,-8.7294]","[9.9998,8.7356]",119.27,1042.92
6,algoQD,6,180/400,100,26,[0.7139],[0.2668],[0.0009],[0.9995],"[-8.5735,-9.2438]","[9.9998,9.1234]",128.51,1040.49
7,algoQD,7,191/400,100,35,[0.738],[0.2579],[0.0009],[0.9995],"[-8.5735,-9.2438]","[9.9998,9.1234]",140.97,1041.52
8,algoQD,8,202/400,100,28,[0.7292],[0.2657],[0.0091],[0.9995],"[-9.8132,-9.2438]","[9.9998,9.1234]",147.29,1039.72
9,algoQD,9,213/400,100,34,[0.7386],[0.2618],[0.0091],[0.9995],"[-9.8132,-9.2438]","[9.9998,9.3775]",157.32,1042.14
10,algoQD,10,222/400,100,21,[0.7501],[0.2478],[0.0091],[0.9995],"[-9.8132,-9.2438]","[9.9998,9.3775]",166.52,1040.75
11,algoQD,11,231/400,100,34,[0.7686],[0.2364],[0.0091],[0.9995],"[-9.8132,-9.2438]","[9.9998,9.3775]",177.55,1039.28
12,algoQD,12,237/400,100,20,[0.7762],[0.2341],[0.0091],[0.9999],"[-9.8132,-9.2438]","[9.9998,9.3775]",183.96,1039.92
13,algoQD,13,241/400,100,22,[0.7888],[0.2309],[0.0091],[0.9999],"[-9.8132,-9.2438]","[9.9998,9.3775]",190.10,1039.36
14,algoQD,14,250/400,100,28,[0.7957],[0.2236],[0.0091],[0.9999],"[-9.8132,-9.2438]","[9.9998,9.3775]",198.93,1040.66
15,algoQD,15,252/400,100,18,[0.8069],[0.2146],[0.0091],[0.9999],"[-9.8132,-9.2438]","[9.9998,9.3775]",203.34,1040.51
16,algoQD,16,255/400,100,14,[0.8107],[0.2138],[0.0091],[0.9999],"[-9.8132,-9.2438]","[9.9998,9.3775]",206.74,1039.81
17,algoQD,17,262/400,100,24,[0.8182],[0.2086],[0.0091],[0.9999],"[-9.9847,-9.2438]","[9.9998,9.3775]",214.36,1040.70
18,algoQD,18,267/400,100,20,[0.8239],[0.2001],[0.0091],[0.9999],"[-9.9847,-9.2816]","[9.9998,9.3775]",219.97,1039.96
