,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],"[(-9.3939495, -8.3959465)]","[(-9.475166, -7.4462605)]","[(-9.569945, -6.459262)]","[(-9.423337, -5.6790547)]","[(-9.236438, -4.905498)]","[(-9.117543, -3.0195363)]","[(-9.71793, -2.4716856)]","[(-9.106855, -1.2970407)]","[(-9.211278, -0.6528893)]","[(-9.822342, 0.23644596)]","[(-9.694819, 1.5058504)]","[(-9.758556, 2.725683)]","[(-9.903238, 3.6019928)]","[(-9.786807, 4.5725756)]","[(-9.494628, 5.662341)]","[(-9.026249, 6.9214306)]",[],"[(-9.398388, 8.623795)]","[(-9.317691, 9.767569)]"
1,"[(-8.103421, -9.611575)]","[(-8.667053, -8.556126)]","[(-8.067835, -7.7152247)]","[(-8.292578, -6.54545)]","[(-8.969967, -5.455855)]","[(-8.1691475, -4.4563646)]","[(-8.209372, -3.910363)]","[(-8.705448, -2.265456)]","[(-8.1110935, -1.6196163)]","[(-8.671393, -0.44003192)]","[(-8.64114, 0.74795604)]","[(-8.87376, 1.8949766)]","[(-8.352848, 2.5306542)]","[(-8.74851, 3.8716307)]","[(-8.4462185, 4.999257)]","[(-8.404621, 5.679129)]","[(-8.623732, 6.1536956)]","[(-8.548461, 7.0961847)]",[],[]
2,"[(-7.3857074, -9.119476)]","[(-7.131322, -8.856601)]","[(-7.307617, -7.5987263)]","[(-7.4086704, -6.953224)]","[(-7.3724217, -5.040554)]","[(-7.4757657, -4.3750153)]","[(-7.8965287, -3.164424)]","[(-7.1475196, -2.9463289)]","[(-7.001355, -1.2735064)]","[(-7.3075314, -0.78213346)]","[(-7.2116833, 0.63108426)]","[(-7.414702, 1.055102)]","[(-7.284331, 2.4930043)]","[(-7.3163238, 3.0348933)]","[(-7.5656953, 4.7237525)]","[(-7.6441936, 5.429305)]","[(-7.501068, 6.2462106)]","[(-7.2158866, 7.8696585)]","[(-7.1485286, 8.694813)]",[]
3,"[(-6.9701686, -9.030754)]","[(-6.53863, -8.104359)]","[(-6.6135488, -7.286493)]","[(-6.189233, -6.0087757)]","[(-6.319461, -5.393509)]","[(-6.740557, -4.073566)]","[(-6.3769317, -3.1464841)]","[(-6.216077, -2.1341555)]","[(-6.0419564, -1.5310923)]","[(-6.8941646, -0.6175777)]","[(-6.9093394, 0.89252543)]","[(-6.2178435, 1.2095072)]","[(-6.6541586, 2.4718304)]","[(-6.830012, 3.7989376)]","[(-6.417956, 4.9965377)]","[(-6.281809, 5.694481)]","[(-6.626082, 6.6007566)]","[(-6.36565, 7.0516124)]","[(-6.436314, 8.520201)]","[(-6.411516, 9.211834)]"
4,"[(-5.5032654, -9.795001)]","[(-5.502141, -8.596138)]","[(-5.9037704, -7.142615)]","[(-5.3923893, -6.0773797)]","[(-5.084386, -5.8951244)]","[(-5.253418, -4.974218)]","[(-5.3580384, -3.033913)]","[(-5.3752546, -2.6770718)]","[(-5.9804387, -1.2773857)]","[(-5.1000485, -0.91024286)]","[(-5.5618215, 0.9223506)]","[(-5.2930646, 1.705125)]","[(-5.7846136, 2.5152023)]","[(-5.2235117, 3.9502301)]","[(-5.249236, 4.321819)]","[(-5.84558, 5.362912)]","[(-5.6553564, 6.791557)]","[(-5.5400405, 7.2158313)]","[(-5.911793, 8.694639)]","[(-5.4065623, 9.9332695)]"
5,"[(-4.2983932, -9.116643)]","[(-4.143823, -8.147727)]","[(-4.115315, -7.3348784)]","[(-4.6114955, -6.817755)]","[(-4.5570297, -5.467446)]","[(-4.2648263, -4.1522245)]","[(-4.9782004, -3.757503)]","[(-4.042244, -2.2893023)]","[(-4.253986, -1.380029)]","[(-4.125773, -0.51151896)]","[(-4.22551, 0.04167247)]","[(-4.1111307, 1.1822454)]","[(-4.986564, 2.7577093)]","[(-4.9905825, 3.9067056)]","[(-4.0754247, 4.9320083)]","[(-4.335937, 5.5157704)]","[(-4.141459, 6.509059)]","[(-4.6981354, 7.548821)]","[(-4.786337, 8.078747)]","[(-4.1359663, 9.0935135)]"
6,"[(-3.2233574, -9.449511)]","[(-3.9631362, -8.778879)]","[(-3.5493221, -7.4754686)]","[(-3.1516604, -6.257495)]","[(-3.912512, -5.557879)]","[(-3.1292136, -4.628965)]","[(-3.2815468, -3.958662)]","[(-3.0415125, -2.5418308)]","[(-3.5972266, -1.6092498)]","[(-3.632504, -0.4595063)]","[(-3.8656962, 0.101602055)]","[(-3.381307, 1.0463045)]","[(-3.1860468, 2.6604893)]","[(-3.956037, 3.265586)]","[(-3.6118166, 4.9928665)]","[(-3.966568, 5.8108196)]","[(-3.8313115, 6.5885396)]","[(-3.7588441, 7.0103717)]","[(-3.3989668, 8.31613)]","[(-3.946068, 9.855277)]"
7,"[(-2.3259807, -9.785352)]","[(-2.3896742, -8.559543)]","[(-2.8452873, -7.05188)]","[(-2.0276725, -6.1692276)]","[(-2.0312812, -5.435107)]","[(-2.502823, -4.319381)]","[(-2.5002565, -3.9432693)]","[(-2.041028, -2.472061)]","[(-2.8258286, -1.4770232)]","[(-2.575499, -0.9376614)]","[(-2.0559099, 0.08882424)]","[(-2.9237118, 1.3617626)]","[(-2.568401, 2.9568198)]","[(-2.7751331, 3.6588387)]","[(-2.1453698, 4.93059)]","[(-2.0037105, 5.137689)]","[(-2.6132226, 6.8356385)]","[(-2.5510232, 7.3806973)]","[(-2.8214145, 8.104064)]","[(-2.0033836, 9.222025)]"
8,"[(-1.6054318, -9.139665)]","[(-1.0147903, -8.9793)]","[(-1.3936772, -7.1683755)]","[(-1.8949124, -6.597844)]","[(-1.9203644, -5.3597703)]","[(-1.9731561, -4.967162)]","[(-1.7507368, -3.8329887)]","[(-1.777375, -2.44127)]","[(-1.3647738, -1.843072)]","[(-1.896816, -0.31593794)]","[(-1.4951954, 0.3105466)]","[(-1.1881245, 1.5389694)]","[(-1.3566486, 2.5023289)]","[(-1.9903352, 3.7480726)]","[(-1.6048247, 4.614728)]","[(-1.1392902, 5.097904)]","[(-1.8905791, 6.5317106)]","[(-1.5069535, 7.694344)]","[(-1.1798865, 8.067553)]","[(-1.8376738, 9.542601)]"
9,"[(-0.50452346, -9.651553)]","[(-0.58547044, -8.320123)]","[(-0.15868045, -7.511717)]","[(-0.68812066, -6.791173)]","[(-0.9810187, -5.7092724)]","[(-0.59060955, -4.850678)]","[(-0.4816826, -3.47555)]","[(-0.9739285, -2.4738963)]","[(-0.06149876, -1.5152481)]","[(-0.8359158, -0.75818145)]","[(-0.020230869, 0.042233333)]","[(-0.40270957, 1.1768605)]","[(-0.8282772, 2.7485516)]","[(-0.2316828, 3.015603)]","[(-0.37084454, 4.0949936)]","[(-0.81900704, 5.1151304)]","[(-0.20650108, 6.33502)]","[(-0.13264139, 7.9408216)]","[(-0.96052605, 8.616055)]","[(-0.39874825, 9.584736)]"
