,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,"(0.9908233404159545,)","(0.9442222595214844,)","(0.7279196421305338,)","(0.8835390726725261,)","(0.9896891395250956,)","(0.9784639080365499,)","(0.9762245734532674,)","(0.9729895485772027,)","(0.9187506198883056,)","(0.9008158577813042,)","(0.9430818239847819,)","(0.9463452074262831,)","(0.9469766192966037,)","(0.6015673319498698,)",,,"(0.480560302734375,)",
1,,"(0.9454437467787001,)","(0.9933872567282782,)","(0.8248877207438151,)","(0.9457703060574002,)","(0.9544491344028049,)","(0.9313930193583171,)","(0.9392665174272326,)","(0.9744411124123468,)","(0.9915665858321719,)","(0.9951198425557878,)","(0.9925288518269857,)","(0.9876840697394477,)","(0.9729268868764241,)","(0.9550388389163547,)","(0.8962730089823405,)","(0.6918173472086588,)","(0.9803056067890591,)","(0.6353884802924262,)",
2,"(0.8614388995700413,)","(0.8563383526272244,)","(0.9078567928738064,)","(0.9124039755927191,)","(0.9653813785976834,)","(0.9381971571180555,)","(0.8727651807996961,)","(0.990047460132175,)","(0.8589589436848959,)","(0.9875329626931084,)","(0.991435768869188,)","(0.9968635082244873,)","(0.9884454038408067,)","(0.9785134739345974,)","(0.911040899488661,)","(0.988816049363878,)","(0.9196764893001981,)","(0.9664692613813612,)",,
3,"(0.7514188130696615,)","(0.9835911962721083,)","(0.9851697444915771,)","(0.8465044233534071,)","(0.8211500803629557,)","(0.8855517917209201,)","(0.9031155798170302,)","(0.9800018694665696,)","(0.9556303713056776,)","(0.9847591069009569,)","(0.9574870215521918,)","(0.938501485188802,)","(0.9874494155248006,)","(0.9756454626719157,)","(0.999622051583396,)","(0.9375408596462673,)","(0.8697769482930502,)","(0.4930981106228298,)","(0.973009090953403,)",
4,"(0.9408909585740831,)","(0.6643235948350694,)","(0.95115753809611,)","(0.8648647096421984,)","(0.9824121183819241,)","(0.9535757223765056,)","(0.9517753548092313,)","(0.975954204135471,)","(0.9438852310180664,)","(0.9816517392794292,)","(0.9634269873301188,)","(0.9749063942167494,)","(0.9920955061912536,)","(0.9636885192659166,)","(0.9526960055033366,)","(0.9815308464898004,)","(0.9189143710666232,)","(0.9474619971381293,)","(0.980287844604916,)","(0.6758318583170573,)"
5,"(0.6932807074652778,)","(0.9214675055609809,)","(0.9558205048243205,)","(0.9530734009212918,)","(0.9607850154240926,)","(0.9816901524861653,)","(0.9767398569318984,)","(0.9940015024609036,)","(0.9916565325525072,)","(0.9667987399631076,)","(0.9736929734547933,)","(0.9986398258143001,)","(0.9961636324723562,)","(0.9801846848593818,)","(0.9811499661869473,)","(0.9850211673312717,)","(0.9767833603752984,)","(0.9987628910276625,)","(0.9552226490444607,)","(0.999782485432095,)"
6,"(0.9445411152309842,)","(0.9207741843329535,)","(0.9963470376200146,)","(0.9990961806641685,)","(0.997831587658988,)","(0.9534151289198134,)","(0.9957576586140526,)","(0.9358965184953477,)","(0.9602355745103625,)","(0.9890593687693278,)","(0.9615692138671875,)","(0.9989557160271538,)","(0.9696943600972493,)","(0.9673425859875149,)","(0.9914831697940827,)","(0.994540536403656,)","(0.9459496392144098,)","(0.9692356692420112,)","(0.858362282647027,)","(0.49123213026258683,)"
7,"(0.9538462426927354,)","(0.9424450980292426,)","(0.987870438893636,)","(0.9954664773411221,)","(0.993016493320465,)","(0.9862603399488661,)","(0.9876735422346327,)","(0.9987392056319448,)","(0.9954737451341417,)","(0.996116919318835,)","(0.9906186044216156,)","(0.9722198062472873,)","(0.944717370139228,)","(0.9999556991789076,)","(0.9937642633914947,)","(0.9712085750367906,)","(0.999633236726125,)","(0.9975496133168539,)","(0.9772161271837022,)","(0.17456012301974821,)"
8,"(0.6352645026312934,)","(0.9994407745285167,)","(0.9993641846709781,)","(0.9918611188729604,)","(0.998182475566864,)","(0.9596822341283162,)","(0.9682647705078125,)","(0.9918424612945981,)","(0.9991941163937251,)","(0.9939256515767839,)","(0.9951524840460884,)","(0.9837754037645128,)","(0.9971397721105152,)","(0.9997836215628518,)","(0.9978863894939423,)","(0.9986566934320662,)","(0.9992795772022671,)","(0.9266354189978705,)","(0.97890545129776,)","(0.9908607535892062,)"
9,"(0.9325536568959554,)","(0.980926693810357,)","(0.9955917523966895,)","(0.9710715187920465,)","(0.9776349994871352,)","(0.9871253225538466,)","(0.9854740778605143,)","(0.9973184161716038,)","(0.9985552151997884,)","(0.999750985039605,)","(0.9987477880385187,)","(0.9977511141035292,)","(0.9757108079062567,)","(0.9770579020182292,)","(0.9511202759212918,)","(0.9852374209298028,)","(0.9960284968217213,)","(0.9885471410221524,)","(0.986915836069319,)","(0.950705803765191,)"
10,"(0.9591467062632243,)","(0.91965348455641,)","(0.9991149478488498,)","(0.9144359588623047,)","(0.9878817054960463,)","(0.9909762726889716,)","(0.9792262143558926,)","(0.9803750170601739,)","(0.9985691547393799,)","(0.9995479272471534,)","(0.9993699199623531,)","(0.9987160210808118,)","(0.9957634922530916,)","(0.9923914538489448,)","(0.9816149168544346,)","(0.9951828502946429,)","(0.9996199376053281,)","(0.9899892601701948,)","(0.9235492388407389,)","(0.8755738470289443,)"
11,,"(0.908387205335829,)","(0.9261470370822482,)","(0.9977995183732774,)","(0.9596713807847764,)","(0.9716783205668131,)","(0.993095948961046,)","(0.9856330871582031,)","(0.9967062089178297,)","(0.9972972051964866,)","(0.9965064138174057,)","(0.9944575111071269,)","(0.9888247622383965,)","(0.9735673983891805,)","(0.9982263409429126,)","(0.9502835167778863,)","(0.9857937428686354,)","(0.9535747528076172,)","(0.9912710587183634,)","(0.9877131581306458,)"
12,"(0.8274626308017307,)","(0.7835434807671441,)","(0.8216225730048285,)","(0.9057609558105468,)","(0.9616048124101427,)","(0.9980068206787109,)","(0.9947857009039984,)","(0.9967757940292359,)","(0.9969941702153947,)","(0.9955151422156228,)","(0.9904873490333557,)","(0.9956555893023809,)","(0.9875126944647895,)","(0.9963569730520249,)","(0.9887886087099711,)","(0.9859289593166776,)","(0.9736771583557129,)","(0.9661040835910373,)","(0.9467838181389703,)","(0.8964305241902669,)"
13,"(0.8178715387980143,)","(0.8484883308410645,)","(0.9549954043494331,)","(0.9668620851304796,)","(0.9996011058489481,)","(0.9710729757944743,)","(0.9649941020541721,)","(0.9930242127842374,)","(0.9952110085222456,)","(0.9898260964287652,)","(0.9820221159193251,)","(0.9951063010427686,)","(0.9923100948333741,)","(0.9952143139309353,)","(0.9818681293063694,)","(0.9775990936491225,)","(0.9796401765611437,)","(0.934259541829427,)","(0.7565056059095594,)","(0.9905865702364179,)"
14,,"(0.9283944924672445,)","(0.9701486587524414,)","(0.9496518664889866,)","(0.9847231388092041,)","(0.9745705763498942,)","(0.9931577483812968,)","(0.9885945399602254,)","(0.9891204244560665,)","(0.9696687883800931,)","(0.9960297644138336,)","(0.9463229073418511,)","(0.9862487951914469,)","(0.9964827564027574,)","(0.9907947010464139,)","(0.9814455800586277,)","(0.9733108096652561,)","(0.9378405623965793,)","(0.9058765623304579,)","(0.6992725796169705,)"
15,"(0.8547103563944498,)","(0.7479483922322592,)","(0.9531448894076877,)","(0.9906047185262045,)","(0.9911546150843302,)","(0.9528202639685737,)","(0.9736531257629395,)","(0.9991541624069213,)","(0.9878709885809157,)","(0.9959339989556206,)","(0.9964212622907427,)","(0.9970020453135172,)","(0.9806869453854031,)","(0.9936401493019528,)","(0.9663230922487047,)","(0.9815347181426154,)","(0.9536764780680338,)","(0.8639624489678277,)","(0.9031964090135363,)",
16,,"(0.9972647349039714,)","(0.724359279208713,)","(0.943528397878011,)","(0.863295406765408,)","(0.9884327371915181,)","(0.9735530694325765,)","(0.9653783162434896,)","(0.9851910405688815,)","(0.9963904721869363,)","(0.9888081616825528,)","(0.9883043527603149,)","(0.9954989380306668,)","(0.9788807100719876,)","(0.9883921318584018,)","(0.9968708816501829,)","(0.9990831666522556,)","(0.8821112632751464,)","(0.8455543094211154,)","(0.9574741893344455,)"
17,"(0.9474282794528537,)","(0.971267925368415,)","(0.5768685658772786,)","(0.9796217812432183,)","(0.9577805836995442,)","(0.9543434037102594,)","(0.9775273217095269,)","(0.9664389928181966,)","(0.9931173569626278,)","(0.9875346051322089,)","(0.9391701751285129,)","(0.9961601747406854,)","(0.9927981787257725,)","(0.9232045279608833,)","(0.9849760638342964,)","(0.9256702423095703,)","(0.9072833167182075,)","(0.879115358988444,)","(0.9957187768485811,)","(0.9002257664998372,)"
18,"(0.7002019670274522,)","(0.20018276638454857,)","(0.9764180713229709,)",,"(0.8017806794908311,)","(0.9114433924357096,)","(0.9812074899673462,)","(0.9971104741096497,)","(0.9706906424628363,)","(0.9884585513008965,)","(0.9989701161781946,)","(0.9910117500358158,)","(0.9776777055528428,)","(0.9518438445197211,)","(0.9749420536888971,)","(0.9285401185353597,)","(0.9886527445581225,)","(0.950743908352322,)",,
19,,,,,"(0.823538875579834,)","(0.849872080485026,)","(0.9757020950317383,)","(0.8083328670925565,)","(0.7674578772650824,)","(0.9640411112043593,)","(0.9520172331068251,)","(0.9868435780207316,)","(0.9524988386366102,)","(0.9434732649061415,)","(0.9537938647800022,)","(0.8259175618489583,)","(0.7920443640814887,)","(0.8721447414822049,)","(0.9515643914540609,)","(0.7205705430772569,)"
