,0
0,2
1,42
2,44
3,59
4,74
5,123
6,178
7,201
8,211
9,215
10,220
11,241
12,251
13,275
14,277
15,299
16,306
17,309
18,332
19,359
20,362
21,367
22,368
23,376
24,387
25,394
26,404
27,413
28,416
29,417
30,421
31,440
32,467
33,474
34,484
35,501
36,519
37,522
38,533
39,537
40,538
41,548
42,549
43,551
44,563
45,565
46,571
47,572
48,585
49,586
50,590
51,594
52,595
53,599
54,601
55,604
56,608
57,611
58,613
59,614
60,617
61,626
62,627
63,630
64,632
65,644
66,645
67,653
68,658
69,659
70,666
71,668
72,679
73,695
74,696
75,703
76,706
77,712
78,714
79,716
80,722
81,723
82,724
83,730
84,732
85,736
86,739
87,743
88,747
89,754
90,761
91,762
92,766
93,767
94,769
95,776
96,779
97,780
98,782
99,786
100,787
101,788
102,789
103,791
104,808
105,809
106,810
107,811
108,812
109,815
110,818
111,822
112,826
113,829
114,831
115,833
116,835
117,836
118,841
119,842
120,849
121,850
122,854
123,856
124,866
125,868
126,869
127,870
128,871
129,873
130,874
131,875
132,876
133,877
134,878
135,880
136,883
137,887
138,890
139,891
140,892
141,898
142,901
143,903
144,904
145,905
146,906
147,910
148,911
149,913
150,919
151,920
152,929
153,938
154,939
155,942
156,943
157,944
158,948
159,952
160,953
161,959
162,961
163,964
164,965
165,966
166,968
167,970
168,972
169,975
170,976
171,977
172,978
173,979
174,980
175,986
176,987
177,989
178,993
179,994
180,997
181,999
182,1001
183,1002
184,1003
185,1004
186,1005
187,1007
188,1008
189,1009
190,1010
191,1014
192,1016
193,1018
194,1020
195,1022
196,1025
197,1027
198,1030
199,1033
200,1034
201,1035
202,1036
203,1037
204,1038
205,1040
206,1041
207,1042
208,1044
209,1045
210,1046
211,1047
212,1048
213,1049
214,1050
215,1052
216,1053
217,1056
218,1058
219,1060
220,1061
221,1063
222,1064
223,1065
224,1068
225,1072
226,1074
227,1076
228,1077
229,1078
230,1081
231,1082
232,1083
233,1084
234,1085
235,1086
236,1087
237,1089
238,1091
239,1095
240,1096
241,1097
242,1098
243,1099
244,1101
245,1102
246,1105
247,1106
248,1107
249,1108
250,1110
251,1111
252,1113
253,1114
254,1115
255,1116
256,1117
257,1118
258,1119
259,1120
260,1121
261,1122
262,1123
263,1124
264,1126
265,1127
266,1128
267,1129
268,1130
269,1131
270,1132
271,1133
272,1134
273,1135
274,1136
275,1137
276,1138
277,1139
278,1141
279,1142
280,1143
281,1144
282,1145
283,1146
284,1147
285,1149
286,1150
287,1151
288,1152
289,1153
290,1155
291,1156
292,1157
293,1161
294,1164
295,1166
296,1167
297,1168
298,1169
299,1170
300,1171
301,1172
302,1173
303,1174
304,1177
305,1178
306,1179
307,1180
308,1181
309,1182
310,1183
311,1184
312,1185
313,1186
314,1187
315,1188
316,1189
317,1190
318,1191
319,1192
320,1193
321,1194
322,1195
323,1196
324,1197
325,1198
326,1199
327,1200
328,1201
329,1203
330,1204
331,1205
332,1206
333,1207
334,1208
335,1209
336,1210
337,1211
338,1212
339,1213
340,1214
341,1215
342,1216
343,1217
344,1218
345,1219
346,1220
347,1221
348,1222
349,1223
350,1224
351,1225
352,1226
353,1227
354,1228
355,1229
356,1230
357,1231
358,1232
359,1233
360,1234
361,1235
362,1236
363,1237
364,1238
365,1239
366,1240
367,1241
368,1242
