,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,1,0,0,2,2,2,2,3,4,3,4,3,3,2,2,0,2,0
1,0,0,0,3,2,1,1,2,0,2,5,4,2,3,4,3,1,2,0,1
2,0,1,1,2,4,4,5,4,3,3,3,3,6,5,3,1,1,2,0,1
3,0,2,3,2,3,4,4,6,2,2,5,3,4,5,3,3,5,4,2,0
4,1,3,2,4,2,5,6,3,4,8,4,8,5,3,3,3,3,1,2,2
5,1,3,3,4,6,9,8,3,7,4,2,6,4,2,3,4,2,5,2,1
6,2,1,4,5,5,5,3,9,4,6,6,2,2,2,3,3,1,3,2,2
7,4,2,3,2,5,3,5,4,5,7,7,4,5,5,5,3,4,4,2,3
8,1,4,2,4,4,7,5,5,3,5,5,8,2,5,5,3,8,5,3,1
9,4,2,2,3,2,5,6,6,5,6,8,6,7,4,1,4,8,3,3,2
10,1,3,4,4,3,5,4,7,9,10,5,8,5,7,4,4,5,4,1,1
11,3,5,2,3,3,6,2,6,3,5,5,6,2,5,3,4,5,4,2,0
12,1,2,4,3,3,3,4,4,1,6,4,3,5,4,6,3,5,4,2,0
13,1,1,4,7,5,3,3,4,4,5,2,3,4,7,6,3,2,1,2,2
14,1,1,2,6,3,4,5,8,5,5,2,2,5,1,1,3,2,2,4,2
15,0,1,4,1,4,5,4,4,5,4,3,4,4,2,3,2,1,3,4,1
16,0,1,1,1,2,4,2,5,6,2,2,4,6,5,5,2,5,2,2,0
17,0,2,0,2,2,3,3,4,3,4,2,3,4,2,6,2,2,2,0,0
18,1,0,2,2,2,2,2,5,5,3,4,3,3,1,4,1,2,0,0,0
19,0,0,0,2,2,1,3,4,4,4,2,3,3,2,1,0,0,0,0,0
