,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,42/400,100,59,[0.6954],[0.2816],[0.0136],[0.9984],"[-5.2857,-5.1122]","[8.7684,5.1516]",29.21,2123.14
1,algoQD,1,66/400,100,40,[0.716],[0.2626],[0.0136],[0.9992],"[-8.0748,-5.8700]","[8.7684,5.1516]",47.26,1067.91
2,algoQD,2,85/400,100,39,[0.7454],[0.2471],[0.0067],[0.9992],"[-8.0748,-9.6196]","[8.7684,5.1516]",63.36,1054.37
3,algoQD,3,95/400,100,30,[0.76],[0.2329],[0.0136],[0.9992],"[-8.0748,-9.6196]","[8.7684,6.9257]",72.20,1051.44
4,algoQD,4,109/400,100,31,[0.78],[0.225],[0.1447],[0.9992],"[-8.0748,-9.6196]","[8.7361,6.9257]",85.02,1051.10
5,algoQD,5,118/400,100,20,[0.7849],[0.2326],[0.0178],[0.9992],"[-8.0748,-9.6196]","[8.7361,6.9257]",92.62,1049.50
6,algoQD,6,128/400,100,26,[0.7998],[0.217],[0.0178],[0.9992],"[-8.0748,-9.6196]","[8.7361,6.9257]",102.38,1047.75
7,algoQD,7,137/400,100,23,[0.8142],[0.214],[0.0178],[0.9992],"[-8.0748,-9.6196]","[8.7361,6.9257]",111.55,1041.79
8,algoQD,8,151/400,100,27,[0.8144],[0.2158],[0.0178],[0.9992],"[-8.0748,-9.6196]","[8.7361,6.9257]",122.98,1040.46
9,algoQD,9,161/400,100,18,[0.8157],[0.2131],[0.0178],[0.9992],"[-8.0748,-9.6196]","[8.7361,7.2020]",131.33,1040.05
10,algoQD,10,167/400,100,18,[0.8176],[0.2095],[0.0178],[0.9992],"[-8.0748,-9.6196]","[8.7361,7.2020]",136.54,1040.55
11,algoQD,11,174/400,100,19,[0.8199],[0.2087],[0.0178],[0.9994],"[-8.0748,-9.6196]","[9.5035,8.6888]",142.67,1039.65
12,algoQD,12,180/400,100,16,[0.8231],[0.2078],[0.0178],[0.9994],"[-8.0748,-9.6196]","[9.6022,8.6888]",148.16,1042.53
13,algoQD,13,188/400,100,19,[0.834],[0.196],[0.0178],[0.9996],"[-8.0748,-9.6196]","[9.6022,8.6888]",156.80,1040.20
14,algoQD,14,191/400,100,13,[0.8386],[0.1904],[0.0656],[0.9996],"[-9.3967,-9.6196]","[9.6022,8.6888]",160.17,1040.19
15,algoQD,15,195/400,100,14,[0.8407],[0.1931],[0.0656],[0.9996],"[-9.3967,-9.6196]","[9.6022,8.6888]",163.93,1038.75
16,algoQD,16,203/400,100,19,[0.8416],[0.1908],[0.0656],[0.9996],"[-9.3967,-9.6196]","[9.6022,9.0684]",170.85,1045.76
17,algoQD,17,211/400,100,16,[0.8397],[0.1927],[0.0656],[0.9996],"[-9.3967,-9.6196]","[9.8253,9.0684]",177.17,1063.97
18,algoQD,18,215/400,100,12,[0.8407],[0.1888],[0.0889],[0.9996],"[-9.3967,-9.6196]","[9.8253,9.0684]",180.76,1065.48
19,algoQD,19,224/400,100,18,[0.8334],[0.1939],[0.0889],[0.9996],"[-9.3967,-9.6196]","[9.8253,9.6514]",186.69,1067.43
20,algoQD,20,227/400,100,15,[0.8341],[0.1923],[0.0889],[0.9996],"[-9.3967,-9.6196]","[9.8253,9.6514]",189.33,1067.57
21,algoQD,21,233/400,100,19,[0.8288],[0.1993],[0.0889],[0.9996],"[-9.3967,-9.6196]","[9.8253,9.6514]",193.12,1064.99
22,algoQD,22,240/400,100,12,[0.8273],[0.2042],[0.0889],[0.9997],"[-9.3967,-9.6196]","[9.8253,9.6514]",198.54,1063.53
23,algoQD,23,244/400,100,14,[0.83],[0.2029],[0.0889],[0.9997],"[-9.3967,-9.6196]","[9.8253,9.6514]",202.53,1071.55
24,algoQD,24,250/400,100,18,[0.8302],[0.2019],[0.0889],[0.9997],"[-9.3967,-9.6196]","[9.8253,9.8344]",207.55,1083.40
25,algoQD,25,256/400,100,19,[0.8286],[0.2051],[0.0124],[0.9997],"[-9.3967,-9.6196]","[9.8253,9.8344]",212.12,1084.64
