,0
0,70
1,79
2,138
3,178
4,189
5,190
6,204
7,225
8,303
9,308
10,310
11,315
12,321
13,331
14,332
15,334
16,350
17,357
18,360
19,364
20,368
21,370
22,373
23,395
24,414
25,416
26,418
27,419
28,438
29,440
30,441
31,446
32,462
33,469
34,471
35,479
36,487
37,491
38,518
39,531
40,532
41,545
42,561
43,562
44,569
45,580
46,589
47,591
48,595
49,598
50,606
51,607
52,608
53,615
54,616
55,618
56,620
57,624
58,630
59,631
60,633
61,638
62,642
63,643
64,644
65,645
66,656
67,657
68,659
69,667
70,669
71,672
72,674
73,677
74,678
75,687
76,690
77,692
78,697
79,705
80,706
81,710
82,712
83,718
84,721
85,724
86,728
87,730
88,734
89,736
90,738
91,739
92,744
93,745
94,748
95,754
96,757
97,761
98,769
99,771
100,772
101,773
102,776
103,780
104,781
105,782
106,789
107,790
108,791
109,794
110,795
111,798
112,800
113,805
114,809
115,815
116,817
117,818
118,829
119,830
120,835
121,839
122,851
123,852
124,853
125,857
126,867
127,868
128,869
129,870
130,874
131,876
132,878
133,880
134,884
135,886
136,891
137,892
138,893
139,897
140,898
141,902
142,903
143,907
144,908
145,909
146,910
147,911
148,914
149,915
150,917
151,920
152,921
153,922
154,924
155,925
156,926
157,927
158,928
159,934
160,936
161,937
162,938
163,942
164,944
165,946
166,959
167,960
168,962
169,963
170,966
171,967
172,970
173,973
174,976
175,977
176,978
177,979
178,982
179,984
180,988
181,989
182,991
183,994
184,995
185,998
186,1003
187,1004
188,1006
189,1008
190,1012
191,1014
192,1015
193,1020
194,1021
195,1022
196,1023
197,1025
198,1026
199,1028
200,1029
201,1033
202,1036
203,1037
204,1038
205,1046
206,1048
207,1052
208,1053
209,1054
210,1055
211,1058
212,1059
213,1060
214,1061
215,1062
216,1065
217,1066
218,1071
219,1073
220,1076
221,1077
222,1078
223,1080
224,1082
225,1083
226,1086
227,1089
228,1090
229,1091
230,1092
231,1095
232,1097
233,1098
234,1099
235,1100
236,1101
237,1102
238,1104
239,1105
240,1107
241,1111
242,1112
243,1113
244,1115
245,1117
246,1118
247,1120
248,1121
249,1122
250,1123
251,1124
252,1128
253,1131
254,1132
255,1134
256,1135
257,1136
258,1137
259,1139
260,1140
261,1141
262,1142
263,1143
264,1144
265,1145
266,1146
267,1149
268,1150
269,1151
270,1152
271,1153
272,1155
273,1157
274,1158
275,1159
276,1160
277,1161
278,1162
279,1163
280,1164
281,1165
282,1166
283,1169
284,1170
285,1172
286,1173
287,1175
288,1176
289,1177
290,1178
291,1179
292,1180
293,1183
294,1184
295,1185
296,1186
297,1187
298,1189
299,1190
300,1191
301,1192
302,1193
303,1194
304,1195
305,1196
306,1197
307,1198
308,1199
309,1200
310,1201
311,1202
312,1203
313,1205
314,1206
315,1207
316,1208
317,1209
318,1210
319,1211
320,1212
321,1213
322,1214
323,1216
324,1217
325,1218
326,1219
327,1220
328,1221
329,1222
330,1223
331,1224
332,1225
333,1226
334,1228
335,1229
336,1230
337,1231
338,1232
339,1233
340,1235
341,1236
342,1237
343,1238
344,1239
345,1240
346,1241
347,1242
348,1243
349,1244
350,1245
351,1246
352,1247
353,1248
354,1249
355,1250
356,1251
357,1252
358,1253
359,1254
360,1255
361,1256
362,1257
363,1258
364,1259
365,1260
366,1262
367,1263
368,1264
369,1265
370,1266
371,1267
372,1268
373,1269
374,1270
