,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],"[(-9.251806, -5.339638)]","[(-9.289246, -4.528189)]","[(-9.518072, -3.3578544)]","[(-9.468113, -2.4694095)]","[(-9.562445, -1.7138433)]","[(-9.073135, -0.30538934)]","[(-9.07344, 0.33052295)]","[(-9.758298, 1.3627322)]","[(-9.452305, 2.4834185)]","[(-9.721005, 3.0811052)]","[(-9.785116, 4.9852133)]","[(-9.842556, 5.2938523)]","[(-9.057698, 6.3558145)]",[],[],[]
1,[],[],"[(-8.002742, -7.5485644)]","[(-8.657565, -6.685407)]","[(-8.08695, -5.3456163)]","[(-8.042417, -4.001294)]","[(-8.611236, -3.9238083)]","[(-8.748219, -2.112705)]","[(-8.519755, -1.9600677)]","[(-8.905544, -0.05134233)]","[(-8.070025, 0.20704529)]","[(-8.475572, 1.4949119)]","[(-8.0764265, 2.300793)]","[(-8.288227, 3.3807874)]","[(-8.256894, 4.8348293)]","[(-8.643992, 5.6386476)]","[(-8.147469, 6.3728313)]",[],"[(-8.596867, 8.381003)]",[]
2,[],[],"[(-7.8985224, -7.155432)]","[(-7.8081317, -6.4503613)]","[(-7.2476583, -5.481548)]","[(-7.753185, -4.1090155)]","[(-7.73914, -3.1790864)]","[(-7.271549, -2.8437726)]","[(-7.4643974, -1.0378796)]","[(-7.281005, -0.4035777)]","[(-7.3597355, 0.5982481)]","[(-7.541564, 1.7865559)]","[(-7.4096136, 2.0742016)]","[(-7.496821, 3.6016421)]","[(-7.5137973, 4.835548)]","[(-7.6684566, 5.837693)]","[(-7.3390794, 6.8868494)]","[(-7.580783, 7.135198)]","[(-7.066049, 8.140142)]","[(-7.213582, 9.051837)]"
3,[],"[(-6.1192074, -8.887428)]","[(-6.9534965, -7.2039127)]","[(-6.4943447, -6.587179)]","[(-6.523209, -5.9577017)]","[(-6.7960615, -4.024016)]","[(-6.421944, -3.2054698)]","[(-6.756304, -2.6475196)]","[(-6.5808325, -1.665693)]","[(-6.593677, -0.8332852)]","[(-6.35782, 0.6148272)]","[(-6.7452216, 1.9249347)]","[(-6.9715466, 2.1384158)]","[(-6.907821, 3.4937854)]","[(-6.274527, 4.851189)]","[(-6.1269894, 5.585108)]","[(-6.3304214, 6.365373)]","[(-6.3596716, 7.9274755)]","[(-6.496586, 8.253482)]","[(-6.525031, 9.510323)]"
4,"[(-5.0766234, -9.676233)]","[(-5.464541, -8.900346)]","[(-5.05783, -7.523578)]","[(-5.439376, -6.631996)]","[(-5.172379, -5.390729)]","[(-5.4699907, -4.031914)]","[(-5.203673, -3.9523404)]","[(-5.655739, -2.7544048)]","[(-5.4891253, -1.086034)]","[(-5.751585, -0.71556693)]","[(-5.4664044, 0.47009107)]","[(-5.1727176, 1.6312468)]","[(-5.1340055, 2.044901)]","[(-5.4440084, 3.265671)]","[(-5.5718594, 4.123736)]","[(-5.3381205, 5.459537)]","[(-5.3484116, 6.999087)]","[(-5.2654643, 7.418492)]","[(-5.6216183, 8.753365)]",[]
5,"[(-4.266753, -9.110468)]","[(-4.678343, -8.00754)]","[(-4.974749, -7.9118185)]","[(-4.45982, -6.863492)]","[(-4.9048543, -5.3452263)]","[(-4.619927, -4.3939095)]","[(-4.503659, -3.6663866)]","[(-4.7123914, -2.5028632)]","[(-4.94729, -1.6766241)]","[(-4.323158, -0.23579265)]","[(-4.694126, 0.89656734)]","[(-4.052151, 1.5666577)]","[(-4.1806307, 2.8223484)]","[(-4.5877714, 3.0118673)]","[(-4.253211, 4.752071)]","[(-4.0265255, 5.6370964)]","[(-4.867255, 6.471852)]","[(-4.1618867, 7.811045)]","[(-4.30889, 8.713627)]","[(-4.987957, 9.365747)]"
6,[],"[(-3.7450323, -8.43073)]","[(-3.7120411, -7.549491)]","[(-3.9929726, -6.868278)]","[(-3.8806727, -5.851586)]","[(-3.964286, -4.2935033)]","[(-3.7448764, -3.97033)]","[(-3.4161828, -2.804509)]","[(-3.9884908, -1.6964333)]","[(-3.053439, -0.24923562)]","[(-3.7828865, 0.5926642)]","[(-3.7281375, 1.1838845)]","[(-3.2632105, 2.2492483)]","[(-3.3109107, 3.4109251)]","[(-3.388379, 4.934072)]","[(-3.8356907, 5.645959)]","[(-3.358127, 6.2681847)]","[(-3.3880243, 7.519878)]","[(-3.0378683, 8.343949)]","[(-3.5323746, 9.436334)]"
7,"[(-2.232483, -9.599193)]","[(-2.6062105, -8.197998)]","[(-2.2823935, -7.168486)]","[(-2.7733529, -6.9480467)]","[(-2.3418589, -5.5809174)]","[(-2.1468692, -4.1457257)]","[(-2.176997, -3.0762517)]","[(-2.116685, -2.98789)]","[(-2.8871336, -1.8923815)]","[(-2.3174407, -0.80452996)]","[(-2.4655194, 0.8780391)]","[(-2.3879414, 1.5736839)]","[(-2.4965634, 2.2910495)]","[(-2.798266, 3.159439)]","[(-2.590803, 4.820169)]","[(-2.0958216, 5.2531424)]","[(-2.1460936, 6.404806)]","[(-2.073607, 7.1861043)]","[(-2.2046986, 8.971485)]","[(-2.0401123, 9.944768)]"
8,"[(-1.2911557, -9.779346)]","[(-1.2146868, -8.855582)]","[(-1.1718917, -7.085807)]","[(-1.1543134, -6.2002225)]","[(-1.3546987, -5.5298615)]","[(-1.0551116, -4.104438)]","[(-1.6296066, -3.4238255)]","[(-1.386268, -2.0360458)]","[(-1.2978401, -1.0411475)]","[(-1.1859635, -0.9038246)]","[(-1.9006873, 0.99508345)]","[(-1.3987361, 1.1172278)]","[(-1.3539385, 2.4720225)]","[(-1.2924275, 3.9580498)]","[(-1.8217937, 4.4311314)]","[(-1.9775735, 5.0972114)]","[(-1.2425063, 6.5704618)]","[(-1.1687376, 7.2798176)]","[(-1.9965627, 8.089694)]","[(-1.7615799, 9.667286)]"
9,"[(-0.9639207, -9.388816)]","[(-0.6953719, -8.305527)]","[(-0.0983869, -7.3548846)]","[(-0.19698583, -6.6167607)]","[(-0.91053265, -5.050615)]","[(-0.95356417, -4.7819195)]","[(-0.23092557, -3.1350458)]","[(-0.6616729, -2.258849)]","[(-0.6037799, -1.1927981)]","[(-0.111410566, -0.17084624)]","[(-0.16376969, 0.02584263)]","[(-0.31298277, 1.0073797)]","[(-0.17074066, 2.74517)]","[(-0.40272468, 3.9706962)]","[(-0.8870454, 4.3847775)]","[(-0.17799886, 5.092634)]","[(-0.9304444, 6.649091)]","[(-0.81604075, 7.1932373)]","[(-0.6382322, 8.747793)]","[(-0.2372441, 9.182493)]"
