,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,1,1,0,2,1,2,1,2,3,1,2,0,2,0,0,0,0
1,0,0,2,2,1,1,2,2,4,2,2,1,4,2,1,3,0,1,0,0
2,1,0,0,1,1,2,3,2,3,2,4,4,4,5,1,1,2,2,1,1
3,0,1,3,3,2,4,2,3,4,3,3,1,6,4,2,1,2,2,2,0
4,2,1,3,1,3,3,4,3,2,4,4,4,2,4,2,3,3,2,1,0
5,4,1,2,4,5,5,7,7,8,3,4,4,5,5,2,4,6,1,2,0
6,3,2,4,4,6,7,5,3,4,5,4,2,1,5,5,3,5,2,2,3
7,1,2,3,3,5,4,7,3,3,6,3,2,5,6,4,2,3,4,2,2
8,3,2,3,3,4,3,7,4,3,4,3,6,7,4,4,5,2,1,2,2
9,2,2,5,1,4,3,4,6,5,5,8,4,8,6,4,4,4,5,2,1
10,2,3,5,3,4,3,5,4,6,11,8,8,6,6,4,5,2,4,3,0
11,2,2,5,5,5,4,2,4,7,4,5,4,8,6,4,5,5,2,5,0
12,2,3,2,4,8,5,6,4,4,4,7,5,3,4,7,5,7,5,2,2
13,2,2,3,4,4,4,2,4,4,6,7,5,7,1,4,6,3,4,2,0
14,3,3,4,5,4,5,4,3,5,4,7,8,4,5,2,3,2,2,2,3
15,0,1,4,3,5,5,3,4,4,1,5,2,3,3,2,3,4,1,2,0
16,1,2,6,2,2,5,4,3,4,4,1,3,2,5,1,1,3,4,0,0
17,0,0,1,2,3,3,2,3,2,3,4,2,4,1,5,3,3,2,0,1
18,0,0,0,0,2,2,3,4,1,3,4,5,3,3,3,1,1,0,0,0
19,0,0,0,0,0,2,4,5,3,2,3,2,3,1,2,1,1,0,0,0
