,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,40/400,100,54,[0.6949],[0.2585],[0.0084],[0.9886],"[-4.4968,-8.0105]","[6.5708,6.1286]",27.80,2041.58
1,algoQD,1,55/400,100,44,[0.7774],[0.1957],[0.0764],[0.9966],"[-6.2007,-8.0105]","[6.5708,6.1286]",42.76,1027.48
2,algoQD,2,79/400,100,36,[0.7336],[0.2296],[0.0764],[0.9966],"[-6.2007,-8.6914]","[9.0045,9.2653]",57.96,1026.25
3,algoQD,3,87/400,100,26,[0.7686],[0.2024],[0.0837],[0.9966],"[-6.2007,-8.6914]","[9.0045,9.2653]",66.87,1026.82
4,algoQD,4,100/400,100,25,[0.7786],[0.1995],[0.0837],[0.9966],"[-6.4025,-8.6914]","[9.6878,9.2653]",77.86,1025.95
5,algoQD,5,114/400,100,27,[0.7819],[0.2139],[0.0837],[0.9968],"[-7.2662,-8.6914]","[9.6878,9.2653]",89.14,1025.99
6,algoQD,6,124/400,100,26,[0.7751],[0.2214],[0.0837],[0.9998],"[-7.2662,-8.6914]","[9.6878,9.2653]",96.11,1025.94
7,algoQD,7,136/400,100,24,[0.7867],[0.2154],[0.0837],[0.9998],"[-7.2662,-8.6914]","[9.6878,9.9615]",107.00,1026.93
8,algoQD,8,152/400,100,30,[0.7897],[0.2133],[0.0837],[0.9998],"[-7.2662,-8.6914]","[9.6878,9.9615]",120.04,1026.38
9,algoQD,9,160/400,100,16,[0.7988],[0.2106],[0.0837],[0.9999],"[-7.2662,-8.6914]","[9.6878,9.9615]",127.81,1025.62
10,algoQD,10,169/400,100,22,[0.8079],[0.2047],[0.0837],[0.9999],"[-7.2662,-8.6914]","[9.6878,9.9615]",136.53,1027.02
11,algoQD,11,176/400,100,19,[0.8124],[0.2001],[0.0837],[0.9999],"[-7.2662,-9.4241]","[9.6878,9.9615]",142.98,1026.07
12,algoQD,12,182/400,100,17,[0.8165],[0.1937],[0.1312],[0.9999],"[-7.3157,-9.4241]","[9.6878,9.9615]",148.60,1027.66
13,algoQD,13,190/400,100,20,[0.8168],[0.1942],[0.1312],[0.9999],"[-8.5618,-9.4241]","[9.6878,9.9615]",155.20,1025.90
14,algoQD,14,197/400,100,20,[0.8194],[0.2004],[0.0201],[0.9999],"[-8.8987,-9.4241]","[9.6878,9.9615]",161.41,1027.32
15,algoQD,15,207/400,100,20,[0.8191],[0.1996],[0.0201],[0.9999],"[-8.8987,-9.4241]","[9.6878,9.9615]",169.55,1026.44
16,algoQD,16,213/400,100,19,[0.8235],[0.1969],[0.0201],[0.9999],"[-8.8987,-9.4241]","[9.6878,9.9615]",175.40,1027.45
17,algoQD,17,221/400,100,19,[0.8265],[0.1957],[0.0201],[0.9999],"[-8.8987,-9.4241]","[9.6878,9.9615]",182.66,1026.47
